Series,Year,Value,Unit,Reporting N,Denominator,"Per 100,000 pop. (95% CI)"
GRD: episodes with documented F84 (any position),2019,"2,334",episodes (flow),65,"19,107,216",12.2 (11.7 to 12.7)
GRD: unique persons within the year with F84,2019,"1,944",persons/year (flow),65,"19,107,216",10.2 (9.7 to 10.6)
GRD: episodes with documented F84 (any position),2020,"1,609",episodes (flow),65,"19,458,310",8.3 (7.9 to 8.7)
GRD: unique persons within the year with F84,2020,"1,319",persons/year (flow),65,"19,458,310",6.8 (6.4 to 7.2)
GRD: episodes with documented F84 (any position),2021,"2,367",episodes (flow),65,"19,678,363",12.0 (11.5 to 12.5)
GRD: unique persons within the year with F84,2021,"1,954",persons/year (flow),65,"19,678,363",9.9 (9.5 to 10.4)
GRD: episodes with documented F84 (any position),2022,"3,859",episodes (flow),65,"19,828,563",19.5 (18.9 to 20.1)
GRD: unique persons within the year with F84,2022,"3,231",persons/year (flow),65,"19,828,563",16.3 (15.7 to 16.9)
GRD: episodes with documented F84 (any position),2023,"6,423",episodes (flow),68,"19,960,889",32.2 (31.4 to 33.0)
GRD: unique persons within the year with F84,2023,"5,232",persons/year (flow),68,"19,960,889",26.2 (25.5 to 26.9)
GRD: episodes with documented F84 (any position),2024,"8,731",episodes (flow),72,"20,086,377",43.5 (42.6 to 44.4)
GRD: unique persons within the year with F84,2024,"7,169",persons/year (flow),72,"20,086,377",35.7 (34.9 to 36.5)
REM A05: strict-autism entries (05990022),2021,"2,085",entries (flow),449,"19,678,363",10.6 (10.1 to 11.1)
REM A05: strict-autism entries (05990022),2022,"4,640",entries (flow),658,"19,828,563",23.4 (22.7 to 24.1)
REM A05: strict-autism entries (05990022),2023,"8,049",entries (flow),920,"19,960,889",40.3 (39.4 to 41.2)
REM A05: strict-autism entries (05990022),2024,"11,842",entries (flow),"1,070","20,086,377",59.0 (57.9 to 60.0)
REM A05: strict-autism entries (05990022),2025,"13,155",entries (flow),952,"20,206,953",65.1 (64.0 to 66.2)
"REM P2: ASD under control, December (P2500500)",2019,"1,854",persons in December (stock),460,"19,107,216",9.7 (9.3 to 10.2)
"REM P2: ASD under control, December (P2500500)",2020,"1,919",persons in December (stock),400,"19,458,310",9.9 (9.4 to 10.3)
"REM P2: ASD under control, December (P2500500)",2021,"3,853",persons in December (stock),640,"19,678,363",19.6 (19.0 to 20.2)
"REM P2: ASD under control, December (P2500500)",2022,"7,923",persons in December (stock),897,"19,828,563",40.0 (39.1 to 40.8)
"REM P2: ASD under control, December (P2500500)",2023,"13,190",persons in December (stock),"1,012","19,960,889",66.1 (65.0 to 67.2)
"REM P2: ASD under control, December (P2500500)",2024,"21,737",persons in December (stock),"1,218","20,086,377",108.2 (106.8 to 109.7)
"REM P2: ASD under control, December (P2500500)",2025,"29,974",persons in December (stock),"1,325","20,206,953",148.3 (146.7 to 150.0)
Harmonised PIE ASD + Asperger (school stock),2019,"21,012",students (stock),—,"19,107,216",110.0 (108.5 to 111.5)
Harmonised PIE ASD + Asperger (school stock),2020,"23,590",students (stock),—,"19,458,310",121.2 (119.7 to 122.8)
Harmonised PIE ASD + Asperger (school stock),2021,"30,882",students (stock),—,"19,678,363",156.9 (155.2 to 158.7)
Harmonised PIE ASD + Asperger (school stock),2022,"42,940",students (stock),—,"19,828,563",216.6 (214.5 to 218.6)
Harmonised PIE ASD + Asperger (school stock),2023,"63,642",students (stock),—,"19,960,889",318.8 (316.4 to 321.3)
Harmonised PIE ASD + Asperger (school stock),2024,"86,475",students (stock),—,"20,086,377",430.5 (427.7 to 433.4)
Harmonised PIE ASD + Asperger (school stock),2025,"106,786",students (stock),—,"20,206,953",528.5 (525.3 to 531.6)
