REM module,Code,Definition era,Dictionary indicator,Years in which the dictionary contains it,Use in the study
A03,03500404,2019–2024,Children with an 18-month health check,"2019, 2020, 2021, 2022, 2023, 2024",Detection: 18-month check-up context (03500404/03500405) and M-CHAT screening within the subgroup with language or social-area alteration (03500406/03500407); never population screening coverage.
A03,03500405,2019–2024,Language and/or social-area alteration at the 18-month check,"2019, 2020, 2021, 2022, 2023, 2024",Detection: 18-month check-up context (03500404/03500405) and M-CHAT screening within the subgroup with language or social-area alteration (03500406/03500407); never population screening coverage.
A03,03500406,2019–2022,M-CHAT performed among children with language or social-area alteration,"2019, 2020, 2021, 2022",Detection: 18-month check-up context (03500404/03500405) and M-CHAT screening within the subgroup with language or social-area alteration (03500406/03500407); never population screening coverage.
A03,03500407,2019–2022,Altered M-CHAT among children with language or social-area alteration,"2019, 2020, 2021, 2022",Detection: 18-month check-up context (03500404/03500405) and M-CHAT screening within the subgroup with language or social-area alteration (03500406/03500407); never population screening coverage.
A03,09600212,2023–2024,Suspected autism in other check-ups or consultations,"2023, 2024","M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,09600213,2023–2024,M-CHAT-R/F first part: low risk,"2023, 2024","M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,09600214,2023–2024,M-CHAT-R/F first part: medium risk,"2023, 2024","M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,09600215,2023–2024,M-CHAT-R/F first part: high risk,"2023, 2024","M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,09600216,2023–2024,M-CHAT-R/F high risk with specialist referral,"2023, 2024","M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,09600217,2023–2023,M-CHAT-R/F second part: medium risk in the first part,2023,"M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,09600218,2023–2024,M-CHAT-R/F second part: no referral required,"2023, 2024","M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,09600219,2023–2024,M-CHAT-R/F second part: referral required,"2023, 2024","M-CHAT-R/F detection at 16–30 months: low, medium and high risk, second stage and referral; a new era, not comparable with 2019–2022."
A03,03700104,2024–2024,Children aged 31–59 months evaluated at the integral health check,2024,"Detection at 31–59 months added in 2024: evaluation, suspicion, alert and referral."
A03,03700105,2024–2024,Children aged 31–59 months with suspicion detected elsewhere,2024,"Detection at 31–59 months added in 2024: evaluation, suspicion, alert and referral."
A03,03700106,2024–2024,Autism suspicion by alert-sign guide: yes,2024,"Detection at 31–59 months added in 2024: evaluation, suspicion, alert and referral."
A03,03700107,2024–2024,Autism suspicion by alert-sign guide: no,2024,"Detection at 31–59 months added in 2024: evaluation, suspicion, alert and referral."
A03,03700108,2024–2024,Referral after alert-sign evaluation: yes,2024,"Detection at 31–59 months added in 2024: evaluation, suspicion, alert and referral."
A03,03700109,2024–2024,Referral after alert-sign evaluation: no,2024,"Detection at 31–59 months added in 2024: evaluation, suspicion, alert and referral."
A03,03710013,2025–2025,"M-CHAT reason: altered EEDP language or social area, ages 16–30 months",2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710014,2025–2025,"M-CHAT reason: autism risk factor or alert sign, ages 16–30 months",2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710015,2025–2025,"M-CHAT reason: both altered EEDP and autism risk factor or alert sign, ages 16–30 months",2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710016,2025–2025,M-CHAT-R/F result: low risk,2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710017,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710018,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710019,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710020,2025–2025,Suspected autism at ages 30–59 months: no diagnostic referral required,2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A03,03710021,2025–2025,Suspected autism at ages 30–59 months: diagnostic referral required,2025,"2025 redesign (16–30 and 30–59 months): reason for application, risk level and need for referral; its own era."
A05,05990022,2021–2025,Entry: autism,"2021, 2022, 2023, 2024, 2025",Mental-health programme entry by spectrum diagnostic category; 05990022 is the strict autism series.
A05,05990023,2021–2025,Entry: Asperger syndrome,"2021, 2022, 2023, 2024, 2025",Mental-health programme entry by spectrum diagnostic category; 05990022 is the strict autism series.
A05,05990024,2021–2025,Entry: Rett syndrome,"2021, 2022, 2023, 2024, 2025",Mental-health programme entry by spectrum diagnostic category; 05990022 is the strict autism series.
A05,05990025,2021–2025,Entry: childhood disintegrative disorder,"2021, 2022, 2023, 2024, 2025",Mental-health programme entry by spectrum diagnostic category; 05990022 is the strict autism series.
A05,05990026,2021–2025,"Entry: pervasive developmental disorder, unspecified","2021, 2022, 2023, 2024, 2025",Mental-health programme entry by spectrum diagnostic category; 05990022 is the strict autism series.
A05,05990027,2021–2025,Clinical discharge: autism,"2021, 2022, 2023, 2024, 2025",Mental-health programme exit for the same category; never subtracted from entries to build a prevalence.
A05,05990028,2021–2025,Clinical discharge: Asperger syndrome,"2021, 2022, 2023, 2024, 2025",Mental-health programme exit for the same category; never subtracted from entries to build a prevalence.
A05,05990029,2021–2025,Clinical discharge: Rett syndrome,"2021, 2022, 2023, 2024, 2025",Mental-health programme exit for the same category; never subtracted from entries to build a prevalence.
A05,05990030,2021–2025,Clinical discharge: childhood disintegrative disorder,"2021, 2022, 2023, 2024, 2025",Mental-health programme exit for the same category; never subtracted from entries to build a prevalence.
A05,05990031,2021–2025,"Clinical discharge: pervasive developmental disorder, unspecified","2021, 2022, 2023, 2024, 2025",Mental-health programme exit for the same category; never subtracted from entries to build a prevalence.
A05,06902600,2019–2020,Entry to the mental-health programme: pervasive developmental disorders,"2019, 2020",Broad PDD before 2021 (entry/exit); inseparably includes Rett and is shown only as a flagged sensitivity.
A05,05225000,2019–2020,Clinical discharge: pervasive developmental disorders,"2019, 2020",Broad PDD before 2021 (entry/exit); inseparably includes Rett and is shown only as a flagged sensitivity.
A27,29101566,2023–2025,Counselling in the screening context: number of M-CHAT-R/F,"2023, 2024, 2025","Counselling and assisted referral specific to M-CHAT-R/F screening from 2023; counts interventions, not people."
A27,29101574,2023–2025,Assisted referral in the screening context: number of M-CHAT-R/F,"2023, 2024, 2025","Counselling and assisted referral specific to M-CHAT-R/F screening from 2023; counts interventions, not people."
A28,29101629,2023–2025,Entry to primary-level rehabilitation by health condition: autism,"2023, 2024, 2025",ASD entries to community-based (primary) and hospital rehabilitation from 2023.
A28,29101651,2023–2025,Entry to hospital-level rehabilitation by health condition: autism,"2023, 2024, 2025",ASD entries to community-based (primary) and hospital rehabilitation from 2023.
P2,P2500500,2019–2025,Autism spectrum disorder population under control,"2019, 2020, 2021, 2022, 2023, 2024, 2025",Half-yearly stock of children and adolescents with ASD under control in the NANEAS programme; December is primary and June the sensitivity; never summed.
P2,P2501878,2023–2025,Total NANEAS population under control,"2023, 2024, 2025","Total NANEAS under control, available only from December 2023; the only admissible denominator for the ASD/NANEAS proportion."
P6,P6241010,2021–2025,Autism under control in primary care,"2021, 2022, 2023, 2024, 2025",Stock of the population under mental-health control in primary care by spectrum category.
P6,P6241020,2021–2025,Asperger syndrome under control in primary care,"2021, 2022, 2023, 2024, 2025",Stock of the population under mental-health control in primary care by spectrum category.
P6,P6241030,2021–2025,Rett syndrome under control in primary care,"2021, 2022, 2023, 2024, 2025",Stock of the population under mental-health control in primary care by spectrum category.
P6,P6241040,2021–2025,Childhood disintegrative disorder under control in primary care,"2021, 2022, 2023, 2024, 2025",Stock of the population under mental-health control in primary care by spectrum category.
P6,P6241050,2021–2025,"Pervasive developmental disorder, unspecified, under control in primary care","2021, 2022, 2023, 2024, 2025",Stock of the population under mental-health control in primary care by spectrum category.
P6,P6241060,2021–2025,Autism under control in specialty care,"2021, 2022, 2023, 2024, 2025",Stock of the population under specialty mental-health control by spectrum category.
