Year,Sex,Age band (years),DEIS discharges,F84 in DIAG1,"Per 100,000 discharges (95% CI)"
2019,Both sexes,1–9,"116,093",63,54.3 (41.7 to 69.4)
2019,Both sexes,10–19,"101,164",172,170.0 (145.6 to 197.4)
2019,Both sexes,20–29,"234,833",54,23.0 (17.3 to 30.0)
2019,Both sexes,30–39,"258,755",5,1.9 (0.6 to 4.5)
2019,Both sexes,40–49,"173,842",1,0.6 (0.0 to 3.2)
2019,Both sexes,50–59,"184,754",1,0.5 (0.0 to 3.0)
2019,Both sexes,60–69,"195,764",0,0.0 (0.0 to 1.9)
2019,Both sexes,70–79,"165,387",0,0.0 (0.0 to 2.2)
2019,Both sexes,80+,"117,556",0,0.0 (0.0 to 3.1)
2019,Both sexes,<1,"75,187",0,0.0 (0.0 to 4.9)
2019,Both sexes,SUPRIMIDO,"43,845",8,18.2 (7.9 to 36.0)
2019,Males,TOTAL,"672,960",237,35.2 (30.9 to 40.0)
2019,Females,TOTAL,"950,375",59,6.2 (4.7 to 8.0)
2019,SUPRIMIDO,TOTAL,"43,845",8,18.2 (7.9 to 36.0)
2019,Both sexes,TOTAL,"1,667,180",304,18.2 (16.2 to 20.4)
2020,Both sexes,1–9,"61,699",44,71.3 (51.8 to 95.7)
2020,Both sexes,10–19,"73,524",141,191.8 (161.4 to 226.2)
2020,Both sexes,20–29,"196,510",50,25.4 (18.9 to 33.5)
2020,Both sexes,30–39,"227,114",10,4.4 (2.1 to 8.1)
2020,Both sexes,40–49,"144,050",1,0.7 (0.0 to 3.9)
2020,Both sexes,50–59,"154,597",0,0.0 (0.0 to 2.4)
2020,Both sexes,60–69,"161,363",2,1.2 (0.2 to 4.5)
2020,Both sexes,70–79,"132,391",0,0.0 (0.0 to 2.8)
2020,Both sexes,80+,"94,463",0,0.0 (0.0 to 3.9)
2020,Both sexes,<1,"47,224",1,2.1 (0.1 to 11.8)
2020,Both sexes,SUPRIMIDO,"37,542",6,16.0 (5.9 to 34.8)
2020,Males,TOTAL,"541,438",175,32.3 (27.7 to 37.5)
2020,Females,TOTAL,"751,497",74,9.8 (7.7 to 12.4)
2020,SUPRIMIDO,TOTAL,"37,542",6,16.0 (5.9 to 34.8)
2020,Both sexes,TOTAL,"1,330,477",255,19.2 (16.9 to 21.7)
2021,Both sexes,1–9,"67,270",90,133.8 (107.6 to 164.4)
2021,Both sexes,10–19,"78,258",142,181.5 (152.8 to 213.9)
2021,Both sexes,20–29,"195,952",45,23.0 (16.8 to 30.7)
2021,Both sexes,30–39,"251,902",16,6.4 (3.6 to 10.3)
2021,Both sexes,40–49,"176,830",1,0.6 (0.0 to 3.2)
2021,Both sexes,50–59,"183,952",0,0.0 (0.0 to 2.0)
2021,Both sexes,60–69,"186,453",0,0.0 (0.0 to 2.0)
2021,Both sexes,70–79,"146,248",0,0.0 (0.0 to 2.5)
2021,Both sexes,80+,"99,337",0,0.0 (0.0 to 3.7)
2021,Both sexes,<1,"45,204",0,0.0 (0.0 to 8.2)
2021,Both sexes,SUPRIMIDO,"35,656",5,14.0 (4.6 to 32.7)
2021,Males,TOTAL,"611,247",225,36.8 (32.2 to 41.9)
2021,Females,TOTAL,"820,159",69,8.4 (6.5 to 10.6)
2021,SUPRIMIDO,TOTAL,"35,656",5,14.0 (4.6 to 32.7)
2021,Both sexes,TOTAL,"1,467,062",299,20.4 (18.1 to 22.8)
2022,Both sexes,1–9,"88,945",112,125.9 (103.7 to 151.5)
2022,Both sexes,10–19,"87,821",263,299.5 (264.4 to 337.9)
2022,Both sexes,20–29,"204,897",57,27.8 (21.1 to 36.0)
2022,Both sexes,30–39,"263,754",16,6.1 (3.5 to 9.9)
2022,Both sexes,40–49,"180,208",6,3.3 (1.2 to 7.2)
2022,Both sexes,50–59,"182,745",0,0.0 (0.0 to 2.0)
2022,Both sexes,60–69,"205,364",0,0.0 (0.0 to 1.8)
2022,Both sexes,70–79,"167,475",1,0.6 (0.0 to 3.3)
2022,Both sexes,80+,"118,247",0,0.0 (0.0 to 3.1)
2022,Both sexes,<1,"58,093",2,3.4 (0.4 to 12.4)
2022,Both sexes,SUPRIMIDO,"39,569",13,32.9 (17.5 to 56.2)
2022,Males,TOTAL,"651,407",310,47.6 (42.4 to 53.2)
2022,INTERSEX,TOTAL,15,0,"0.0 (0.0 to 24,592.5)"
2022,Females,TOTAL,"906,127",147,16.2 (13.7 to 19.1)
2022,SUPRIMIDO,TOTAL,"39,569",13,32.9 (17.5 to 56.2)
2022,Both sexes,TOTAL,"1,597,118",470,29.4 (26.8 to 32.2)
2023,Both sexes,1–9,"91,036",109,119.7 (98.3 to 144.4)
2023,Both sexes,10–19,"87,053",359,412.4 (370.8 to 457.3)
2023,Both sexes,20–29,"183,091",61,33.3 (25.5 to 42.8)
2023,Both sexes,30–39,"240,220",27,11.2 (7.4 to 16.4)
2023,Both sexes,40–49,"168,089",3,1.8 (0.4 to 5.2)
2023,Both sexes,50–59,"173,491",5,2.9 (0.9 to 6.7)
2023,Both sexes,60–69,"205,865",1,0.5 (0.0 to 2.7)
2023,Both sexes,70–79,"169,778",1,0.6 (0.0 to 3.3)
2023,Both sexes,80+,"115,813",0,0.0 (0.0 to 3.2)
2023,Both sexes,<1,"49,723",0,0.0 (0.0 to 7.4)
2023,Both sexes,SUPRIMIDO,"128,108",19,14.8 (8.9 to 23.2)
2023,Males,TOTAL,"629,245",393,62.5 (56.4 to 68.9)
2023,Females,TOTAL,"854,914",173,20.2 (17.3 to 23.5)
2023,SUPRIMIDO,TOTAL,"128,108",19,14.8 (8.9 to 23.2)
2023,Both sexes,TOTAL,"1,612,267",585,36.3 (33.4 to 39.3)
2024,Both sexes,1–9,"106,417",134,125.9 (105.5 to 149.1)
2024,Both sexes,10–19,"101,296",397,391.9 (354.3 to 432.4)
2024,Both sexes,20–29,"191,286",105,54.9 (44.9 to 66.4)
2024,Both sexes,30–39,"262,602",27,10.3 (6.8 to 15.0)
