Module,Control,Key,Expected,Observed,Relative difference (%),Status,Explanation
00 provenance,artefact_count_by_source,casen_2024,1,1,0.000,matches,
00 provenance,artefact_count_by_source,casen_2024_metadata,8,8,0.000,matches,
00 provenance,artefact_count_by_source,deis_egresos,6,6,0.000,matches,
00 provenance,artefact_count_by_source,deis_egresos_dictionary,1,1,0.000,matches,
00 provenance,artefact_count_by_source,deis_establishments,2,2,0.000,matches,
00 provenance,artefact_count_by_source,deis_rem20,2,2,0.000,matches,
00 provenance,artefact_count_by_source,encavi_2023_2024,3,3,0.000,matches,
00 provenance,artefact_count_by_source,endide_2022,3,3,0.000,matches,
00 provenance,artefact_count_by_source,fonasa_aggregates,8,8,0.000,matches,
00 provenance,artefact_count_by_source,fonasa_aps,7,7,0.000,matches,
00 provenance,artefact_count_by_source,fonasa_dictionary,1,1,0.000,matches,
00 provenance,artefact_count_by_source,grd_dictionaries,4,4,0.000,matches,
00 provenance,artefact_count_by_source,grd_publico,6,6,0.000,matches,
00 provenance,artefact_count_by_source,ine_base2024_national,1,1,0.000,matches,
00 provenance,artefact_count_by_source,ine_censo2024,2,2,0.000,matches,
00 provenance,artefact_count_by_source,ine_population_base2017,2,2,0.000,matches,
00 provenance,artefact_count_by_source,isapre_communal,7,7,0.000,matches,
00 provenance,artefact_count_by_source,junaeb_eve_metadata,44,44,0.000,matches,
00 provenance,artefact_count_by_source,junaeb_eve_microdata,28,28,0.000,matches,
00 provenance,artefact_count_by_source,mineduc_pie_reports,3,3,0.000,matches,
00 provenance,artefact_count_by_source,rem_pathway_codes,1,1,0.000,matches,
00 provenance,artefact_count_by_source,rem_serie_a,7,7,0.000,matches,
00 provenance,artefact_count_by_source,rem_serie_a_dictionary,7,7,0.000,matches,
00 provenance,artefact_count_by_source,rem_serie_p,7,7,0.000,matches,
00 provenance,artefact_count_by_source,rem_serie_p_dictionary,7,7,0.000,matches,
00 provenance,artefact_count_by_source,repo_population_parquet,1,1,0.000,matches,
00 provenance,artefact_count_by_source,repo_shapes,10,10,0.000,matches,
00 provenance,artefact_count_by_source,sae_poverty_2024,3,3,0.000,matches,
00 provenance,artefact_count_total,all,182,182,0.000,matches,
00 provenance,artefacts_missing_on_disk,all,0,0,—,matches,
00 provenance,bytes_by_source,casen_2024,"1,608,073,353","1,608,073,353",0.000,matches,
00 provenance,bytes_by_source,casen_2024_metadata,"10,913,816","10,913,816",0.000,matches,
00 provenance,bytes_by_source,deis_egresos,"1,708,779,998","1,708,779,998",0.000,matches,
00 provenance,bytes_by_source,deis_egresos_dictionary,"684,270","684,270",0.000,matches,
00 provenance,bytes_by_source,deis_establishments,"3,196,498","3,196,498",0.000,matches,
00 provenance,bytes_by_source,deis_rem20,"27,106,174","27,106,174",0.000,matches,
00 provenance,bytes_by_source,encavi_2023_2024,"92,101,950","92,101,950",0.000,matches,
00 provenance,bytes_by_source,endide_2022,"12,517,956","12,517,956",0.000,matches,
00 provenance,bytes_by_source,fonasa_aggregates,"18,247,935","18,247,935",0.000,matches,
00 provenance,bytes_by_source,fonasa_aps,"111,073,940","111,073,940",0.000,matches,
00 provenance,bytes_by_source,fonasa_dictionary,"9,855","9,855",0.000,matches,
00 provenance,bytes_by_source,grd_dictionaries,"1,972,306","1,972,306",0.000,matches,
00 provenance,bytes_by_source,grd_publico,"2,996,906,984","2,996,906,984",0.000,matches,
00 provenance,bytes_by_source,ine_base2024_national,"918,408","918,408",0.000,matches,
00 provenance,bytes_by_source,ine_censo2024,"1,086,989","1,086,989",0.000,matches,
00 provenance,bytes_by_source,ine_population_base2017,"14,547,867","14,547,867",0.000,matches,
00 provenance,bytes_by_source,isapre_communal,"23,596,876","23,596,876",0.000,matches,
00 provenance,bytes_by_source,junaeb_eve_metadata,"7,244,492","7,244,492",0.000,matches,
00 provenance,bytes_by_source,junaeb_eve_microdata,"9,625,722,727","9,625,722,727",0.000,matches,
00 provenance,bytes_by_source,mineduc_pie_reports,"1,619,015","1,619,015",0.000,matches,
00 provenance,bytes_by_source,rem_pathway_codes,"12,236","12,236",0.000,matches,
00 provenance,bytes_by_source,rem_serie_a,"3,732,290,996","3,732,290,996",0.000,matches,
00 provenance,bytes_by_source,rem_serie_a_dictionary,"11,319,401","11,319,401",0.000,matches,
00 provenance,bytes_by_source,rem_serie_p,"709,812,061","709,812,061",0.000,matches,
00 provenance,bytes_by_source,rem_serie_p_dictionary,"2,882,223","2,882,223",0.000,matches,
00 provenance,bytes_by_source,repo_population_parquet,"2,990,717","2,990,717",0.000,matches,
00 provenance,bytes_by_source,repo_shapes,"117,845,274","117,845,274",0.000,matches,
00 provenance,bytes_by_source,sae_poverty_2024,"1,010,370","1,010,370",0.000,matches,
00 provenance,bytes_total,all,"20,844,484,687","20,844,484,687",0.000,matches,
00 provenance,bytes_total_gb,all,20.8440,20.8440,0.000,matches,
00 provenance,casen_2024_bytes,casen_2024.dta,"1,608,073,353","1,608,073,353",0.000,matches,
00 provenance,download_manifest_rows,Autism/metadata/download_manifest.csv,143,143,0.000,matches,
00 provenance,fonasa_source_manifest_rows,FONASA/metadata/source_manifest.csv,7,7,0.000,matches,
00 provenance,grd_sources_manifest_rows,GRD/metadata/SOURCES_MANIFEST.md,6,6,0.000,matches,
00 provenance,junaeb_microdata_bytes,2019–2025,"9,625,722,727","9,625,722,727",0.000,matches,
00 provenance,junaeb_microdata_files,2019–2025,28,28,0.000,matches,
00 provenance,manifest_bytes_agreement_rate,all,1,1,0.000,matches,
00 provenance,manifest_listed_artefacts,all,161,161,0.000,matches,
00 provenance,manifest_sha256_agreement_rate,all,1,1,0.000,matches,
00 provenance,manifest_sha256_agreement_rate_by_manifest,Autism/metadata/download_manifest.csv,1,1,0.000,matches,
00 provenance,manifest_sha256_agreement_rate_by_manifest,DEIS/Egresos/metadata/canonical_manifest.csv,1,1,0.000,matches,
00 provenance,manifest_sha256_agreement_rate_by_manifest,FONASA/metadata/source_manifest.csv,1,1,0.000,matches,
00 provenance,manifest_sha256_agreement_rate_by_manifest,GRD/metadata/SOURCES_MANIFEST.md,1,1,0.000,matches,
00 provenance,manifest_sha256_agreement_rate_by_manifest,REM/SerieA/metadata/canonical_manifest.csv,1,1,0.000,matches,
00 provenance,manifest_sha256_agreement_rate_by_manifest,REM/SerieP/manifest_extract_rem_series_p.csv,1,1,0.000,matches,
00 provenance,manifest_sha256_mismatches,all,0,0,—,matches,
00 provenance,manifest_unlisted_artefacts,all,21,21,0.000,matches,
00 provenance,rem_official_zips_present,SERIE_REM_2019..2025.zip,7,7,0.000,matches,
00 provenance,seriep_manifest_rows,REM/SerieP/manifest_extract_rem_series_p.csv,14,14,0.000,matches,
