Panel,Series,Code,Definition era,Year,December (stock),Estab. December,June (stock),Estab. June,June/December ratio
a,P2 ASD,P2500500,2019–2025,2019,"1,854",460,"1,502",374,0.81
a,P2 ASD,P2500500,2019–2025,2020,"1,919",400,172,28,0.09
a,P2 ASD,P2500500,2019–2025,2021,"3,853",640,"2,434",475,0.63
a,P2 ASD,P2500500,2019–2025,2022,"7,923",897,"5,364",765,0.68
a,P2 ASD,P2500500,2019–2025,2023,"13,190","1,012","10,523",980,0.80
a,P2 ASD,P2500500,2019–2025,2024,"21,737","1,218","17,743","1,168",0.82
a,P2 ASD,P2500500,2019–2025,2025,"29,974","1,325","26,195","1,256",0.87
b,P6 primary,P6223000,2019–2020,2019,"5,520",727,"4,864",707,0.88
b,P6 primary,P6223000,2019–2020,2020,"5,185",695,725,53,0.14
b,P6 primary,P6241010,2021–2025,2021,"2,257",482,"1,448",359,0.64
b,P6 primary,P6241010,2021–2025,2022,"5,042",704,"3,264",592,0.65
b,P6 primary,P6241010,2021–2025,2023,"9,717",956,"7,199",835,0.74
b,P6 primary,P6241010,2021–2025,2024,"15,934","1,160","13,996","1,061",0.88
b,P6 primary,P6241010,2021–2025,2025,"21,843","1,274","18,013","1,204",0.82
b,P6 primary,P6241010+P6241020+P6241040+P6241050,2021–2025,2021,"6,237",815,"5,623",734,0.90
b,P6 primary,P6241010+P6241020+P6241040+P6241050,2021–2025,2022,"10,298",948,"7,523",864,0.73
b,P6 primary,P6241010+P6241020+P6241040+P6241050,2021–2025,2023,"14,895","1,103","12,010","1,018",0.81
b,P6 primary,P6241010+P6241020+P6241040+P6241050,2021–2025,2024,"20,911","1,258","19,618","1,182",0.94
b,P6 primary,P6241010+P6241020+P6241040+P6241050,2021–2025,2025,"27,319","1,344","23,138","1,279",0.85
c,P6 specialty,P6223380,2019–2020,2019,"6,624",111,"6,221",109,0.94
c,P6 specialty,P6223380,2019–2020,2020,"6,905",121,"5,543",105,0.80
c,P6 specialty,P6241060,2021–2025,2021,"3,562",95,"3,204",90,0.90
c,P6 specialty,P6241060,2021–2025,2022,"4,684",113,"4,427",102,0.95
c,P6 specialty,P6241060,2021–2025,2023,"7,982",129,"6,624",123,0.83
c,P6 specialty,P6241060,2021–2025,2024,"8,835",144,"9,262",139,1.05
c,P6 specialty,P6241060,2021–2025,2025,"12,645",153,"9,940",142,0.79
c,P6 specialty,P6241060+P6241070+P6241090+P6241100,2021–2025,2021,"9,163",132,"8,933",126,0.97
c,P6 specialty,P6241060+P6241070+P6241090+P6241100,2021–2025,2022,"10,719",134,"9,606",126,0.90
c,P6 specialty,P6241060+P6241070+P6241090+P6241100,2021–2025,2023,"13,653",148,"12,694",144,0.93
c,P6 specialty,P6241060+P6241070+P6241090+P6241100,2021–2025,2024,"15,304",158,"15,766",157,1.03
c,P6 specialty,P6241060+P6241070+P6241090+P6241100,2021–2025,2025,"20,365",169,"16,120",159,0.79
