Series,Code,Year,Sex,Entries (sum of age × sex cells),INE population,"Crude rate per 100,000 (95% CI)","WHO-standardised rate per 100,000 (95% CI)",Reporting establishments
broad PDD,06902600,2019,Males,"3,355","9,424,139",35.6 (34.4 to 36.8),45.2 (43.7 to 46.8),651
broad PDD,06902600,2019,Females,"1,073","9,683,077",11.1 (10.4 to 11.8),14.6 (13.7 to 15.5),651
broad PDD,06902600,2019,Both sexes,"4,428","19,107,216",23.2 (22.5 to 23.9),30.2 (29.3 to 31.1),651
broad PDD,06902600,2020,Males,"1,953","9,599,101",20.3 (19.5 to 21.3),26.0 (24.9 to 27.2),492
broad PDD,06902600,2020,Females,607,"9,859,209",6.2 (5.7 to 6.7),8.1 (7.5 to 8.8),492
broad PDD,06902600,2020,Both sexes,"2,560","19,458,310",13.2 (12.7 to 13.7),17.2 (16.6 to 17.9),492
PDD family,05990022+05990023+05990025+05990026,2021,Males,"3,704","9,708,512",38.2 (36.9 to 39.4),49.6 (48.1 to 51.3),710
PDD family,05990022+05990023+05990025+05990026,2021,Females,"1,244","9,969,851",12.5 (11.8 to 13.2),16.7 (15.8 to 17.7),710
PDD family,05990022+05990023+05990025+05990026,2021,Both sexes,"4,948","19,678,363",25.1 (24.4 to 25.9),33.5 (32.6 to 34.5),710
PDD family,05990022+05990023+05990025+05990026,2022,Males,"5,792","9,782,978",59.2 (57.7 to 60.7),77.9 (75.9 to 80.0),869
PDD family,05990022+05990023+05990025+05990026,2022,Females,"2,213","10,045,585",22.0 (21.1 to 23.0),30.3 (29.0 to 31.6),869
PDD family,05990022+05990023+05990025+05990026,2022,Both sexes,"8,005","19,828,563",40.4 (39.5 to 41.3),54.5 (53.3 to 55.8),869
PDD family,05990022+05990023+05990025+05990026,2023,Males,"8,371","9,848,466",85.0 (83.2 to 86.8),112.6 (110.2 to 115.0),"1,040"
PDD family,05990022+05990023+05990025+05990026,2023,Females,"3,715","10,112,423",36.7 (35.6 to 37.9),50.3 (48.7 to 51.9),"1,040"
PDD family,05990022+05990023+05990025+05990026,2023,Both sexes,"12,086","19,960,889",60.5 (59.5 to 61.6),82.0 (80.6 to 83.5),"1,040"
PDD family,05990022+05990023+05990025+05990026,2024,Males,"10,143","9,910,500",102.3 (100.4 to 104.4),136.7 (134.1 to 139.4),"1,153"
PDD family,05990022+05990023+05990025+05990026,2024,Females,"4,731","10,175,877",46.5 (45.2 to 47.8),64.3 (62.4 to 66.1),"1,153"
PDD family,05990022+05990023+05990025+05990026,2024,Both sexes,"14,874","20,086,377",74.1 (72.9 to 75.2),101.2 (99.5 to 102.8),"1,153"
PDD family,05990022+05990023+05990025+05990026,2025,Males,"10,508","9,970,025",105.4 (103.4 to 107.4),142.3 (139.5 to 145.0),995
PDD family,05990022+05990023+05990025+05990026,2025,Females,"5,162","10,236,928",50.4 (49.1 to 51.8),70.6 (68.7 to 72.6),995
PDD family,05990022+05990023+05990025+05990026,2025,Both sexes,"15,670","20,206,953",77.5 (76.3 to 78.8),107.1 (105.4 to 108.8),995
strict autism,05990022,2021,Males,"1,624","9,708,512",16.7 (15.9 to 17.6),22.0 (20.9 to 23.1),449
strict autism,05990022,2021,Females,461,"9,969,851",4.6 (4.2 to 5.1),6.3 (5.7 to 6.9),449
strict autism,05990022,2021,Both sexes,"2,085","19,678,363",10.6 (10.1 to 11.1),14.3 (13.7 to 14.9),449
strict autism,05990022,2022,Males,"3,466","9,782,978",35.4 (34.3 to 36.6),46.9 (45.4 to 48.5),658
strict autism,05990022,2022,Females,"1,175","10,045,585",11.7 (11.0 to 12.4),16.3 (15.4 to 17.3),658
strict autism,05990022,2022,Both sexes,"4,641","19,828,563",23.4 (22.7 to 24.1),31.9 (31.0 to 32.8),658
strict autism,05990022,2023,Males,"5,734","9,848,466",58.2 (56.7 to 59.7),77.5 (75.5 to 79.6),920
strict autism,05990022,2023,Females,"2,315","10,112,423",22.9 (22.0 to 23.8),31.7 (30.5 to 33.1),920
strict autism,05990022,2023,Both sexes,"8,049","19,960,889",40.3 (39.4 to 41.2),55.1 (53.9 to 56.3),920
strict autism,05990022,2024,Males,"8,164","9,910,500",82.4 (80.6 to 84.2),110.4 (108.1 to 112.9),"1,070"
strict autism,05990022,2024,Females,"3,679","10,175,877",36.2 (35.0 to 37.3),50.2 (48.6 to 51.9),"1,070"
strict autism,05990022,2024,Both sexes,"11,843","20,086,377",59.0 (57.9 to 60.0),80.9 (79.4 to 82.4),"1,070"
strict autism,05990022,2025,Males,"8,867","9,970,025",88.9 (87.1 to 90.8),120.4 (117.9 to 122.9),952
strict autism,05990022,2025,Females,"4,289","10,236,928",41.9 (40.7 to 43.2),58.9 (57.1 to 60.7),952
strict autism,05990022,2025,Both sexes,"13,156","20,206,953",65.1 (64.0 to 66.2),90.2 (88.7 to 91.8),952
