Series,Sex,Age group,2021,2022,2023,2024,2025
PDD family,Males,0–4,809,"1,122","1,266","1,163","1,140"
PDD family,Males,5–9,"1,382","2,250","3,298","4,050","4,038"
PDD family,Males,10–14,761,"1,374","2,067","2,697","2,919"
PDD family,Males,15–19,496,705,"1,182","1,470","1,564"
PDD family,Males,20–24,124,184,263,367,394
PDD family,Males,25–29,46,55,110,169,177
PDD family,Males,30–34,31,39,64,94,115
PDD family,Males,35–39,23,24,40,50,65
PDD family,Males,40–44,11,7,19,34,32
PDD family,Males,45–49,11,11,21,14,21
PDD family,Males,50+,10,21,41,35,43
PDD family,Females,0–4,241,406,465,398,456
PDD family,Females,5–9,339,614,"1,013","1,323","1,500"
PDD family,Females,10–14,310,601,"1,104","1,447","1,521"
PDD family,Females,15–19,185,354,639,888,962
PDD family,Females,20–24,34,75,149,247,270
PDD family,Females,25–29,29,47,87,128,141
PDD family,Females,30–34,13,21,67,102,92
PDD family,Females,35–39,9,22,55,75,77
PDD family,Females,40–44,14,19,31,46,38
PDD family,Females,45–49,17,11,22,27,40
PDD family,Females,50+,53,43,83,50,65
strict autism,Males,0–4,408,753,841,942,940
strict autism,Males,5–9,637,"1,488","2,489","3,431","3,538"
strict autism,Males,10–14,316,726,"1,371","2,153","2,484"
strict autism,Males,15–19,192,344,755,"1,116","1,267"
strict autism,Males,20–24,29,86,143,266,309
strict autism,Males,25–29,19,25,59,106,136
strict autism,Males,30–34,13,18,27,62,80
strict autism,Males,35–39,5,12,19,29,49
strict autism,Males,40–44,3,3,9,23,23
strict autism,Males,45–49,1,4,11,11,15
strict autism,Males,50+,1,7,10,25,26
strict autism,Females,0–4,114,260,288,311,367
strict autism,Females,5–9,130,374,717,"1,079","1,298"
strict autism,Females,10–14,104,287,698,"1,121","1,268"
strict autism,Females,15–19,63,160,375,682,789
strict autism,Females,20–24,8,34,86,196,223
strict autism,Females,25–29,10,23,53,91,115
strict autism,Females,30–34,4,8,34,73,72
strict autism,Females,35–39,6,8,26,46,64
strict autism,Females,40–44,3,8,11,35,30
strict autism,Females,45–49,6,1,6,22,27
strict autism,Females,50+,13,12,21,23,36
