Block,Sex,Age group (years),2019,2020,2021,2022,2023,2024,2025
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,0–4,739,405,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,5–9,"1,350",759,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,10–14,728,399,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,15–19,367,239,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,20–24,77,60,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,25–29,38,25,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,30–34,22,19,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,35–39,6,9,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,40–44,3,7,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,45–49,4,9,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,50–54,7,6,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,55–59,6,6,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,60–64,3,4,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,65–69,1,1,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,70–74,2,1,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,75–79,1,0,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,80+,1,4,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,Reported total (COL02/COL03),"3,347","1,955",n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Males,Sum of age cells,"3,355","1,953",n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Females,0–4,277,113,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Females,5–9,303,201,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Females,10–14,208,121,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Females,15–19,130,84,n/e,n/e,n/e,n/e,n/e
"Broad PDD 2019–2020 (06902600; sensitivity, Rett inseparable)",Females,20–24,32,15,n/e,n/e,n/e,n/e,n/e
