Code,Hospital,Fixed panel of 65,Years with episodes (n),2019,2020,2021,2022,2023,2024
101100,Hospital Dr. Juan Noé Crevanni (Arica),Yes,6,"19,727 (38)","15,212 (33)","16,662 (67)","17,972 (95)","19,420 (151)","19,662 (169)"
102100,Hospital Dr. Ernesto Torres Galdames (Iquique),Yes,6,"22,248 (62)","17,306 (33)","17,903 (42)","19,358 (94)","20,603 (128)","20,297 (212)"
103100,Hospital Dr. Leonardo Guzmán (Antofagasta),Yes,6,"23,571 (89)","18,513 (75)","20,137 (124)","20,590 (165)","21,076 (285)","23,141 (334)"
103101,Hospital Dr. Carlos Cisternas (Calama),Yes,6,"9,501 (20)","9,077 (17)","8,977 (17)","10,483 (41)","11,384 (118)","11,021 (133)"
104100,Hospital San José del Carmen (Copiapó),Yes,6,"13,862 (12)","10,900 (7)","11,853 (13)","12,260 (27)","13,600 (43)","14,272 (57)"
104103,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Yes,6,"5,720 (14)","4,521 (6)","4,778 (12)","5,735 (22)","6,336 (31)","6,455 (33)"
105100,Hospital San Juan de Dios (La Serena),Yes,6,"18,580 (30)","12,393 (24)","14,273 (54)","15,382 (92)","19,951 (136)","21,122 (206)"
105101,Hospital San Pablo (Coquimbo),Yes,6,"19,255 (50)","13,748 (26)","14,627 (55)","16,120 (71)","18,575 (146)","18,660 (213)"
105102,Hospital Dr. Antonio Tirado Lanas (Ovalle),Yes,6,"12,859 (17)","7,982 (11)","8,287 (8)","11,170 (46)","12,687 (68)","11,587 (101)"
106100,Hospital Carlos Van Buren (Valparaíso),Yes,6,"42,027 (80)","13,553 (38)","14,647 (44)","17,478 (89)","20,843 (161)","21,316 (275)"
106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Yes,6,"6,126 (4)","3,959 (1)","3,705 (0)","4,008 (4)","4,818 (3)","4,779 (13)"
106103,Hospital Claudio Vicuña (San Antonio),Yes,6,"9,089 (21)","5,903 (11)","6,870 (6)","7,885 (12)","9,338 (18)","9,901 (37)"
