REM module,Code,Definition era,Indicator,Dictionary label (last year found; verbatim Spanish),Dictionary section (verbatim Spanish),Meaning of COL01 (verbatim Spanish),Meaning of COL02 (verbatim Spanish),Age × sex columns (COL04–COL37),Number of COL tokens in the row,Layout check,Dictionary file (last year found),2019,2020,2021,2022,2023,2024,2025,Found only within its era
A03,03500404,2019–2024,Children with the 18-month health check,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,Yes,Yes,Yes,Yes,Yes,Yes,—,Yes
A03,03500405,2019–2024,Language or social-area alteration at the 18-month check,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,Yes,Yes,Yes,Yes,Yes,Yes,—,Yes
A03,03500406,2019–2022,M-CHAT performed among children with language/social alteration,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado con alteración del área de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,No,2,ok,SA_22_V1.1-CODIGOS.xlsm,Yes,Yes,Yes,Yes,—,—,—,Yes
A03,03500407,2019–2022,Altered M-CHAT among children with language/social alteration,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y con alteración del área de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,No,2,ok,SA_22_V1.1-CODIGOS.xlsm,Yes,Yes,Yes,Yes,—,—,—,Yes
A03,09600212,2023–2024,Suspected autism in other checks or consultations,Niños/as con sospecha del Espectro Autista en otros controles o consultas.,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,Yes,Yes,—,Yes
A03,09600213,2023–2024,M-CHAT-R/F first part: low risk,Resultado M-CHAT R/F 1° parte | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,Yes,Yes,—,Yes
A03,09600214,2023–2024,M-CHAT-R/F first part: medium risk,[Resultado M-CHAT R/F 1° parte] Riesgo medio,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,Yes,Yes,—,Yes
A03,09600215,2023–2024,M-CHAT-R/F first part: high risk,[Resultado M-CHAT R/F 1° parte] Riego Alto,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,Yes,Yes,—,Yes
A03,09600216,2023–2024,M-CHAT-R/F high risk with specialist referral,[Resultado M-CHAT R/F 1° parte] Riesgo Alto con derivación a especialista,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,Yes,Yes,—,Yes
A03,09600217,2023–2023,M-CHAT-R/F second part: medium risk in first part,Resultado M-CHAT R/F 2° Parte | Riesgo Medio en 1° parte,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_23_V1.4.xlsm,—,—,—,—,Yes,—,—,Yes
