Source,Year,Raw name,Normalised name,Rows,Persons in the unlinked rows,% of the source's national total,Reason
FONASA,2018,(missing),MISSING,40,608,0.00%,non-geographic placeholder (no comuna)
FONASA,2018,UNKNOWN,UNKNOWN,191,"202,488",1.44%,non-geographic placeholder (no comuna)
FONASA,2019,UNKNOWN,UNKNOWN,187,"212,817",1.43%,non-geographic placeholder (no comuna)
FONASA,2020,UNKNOWN,UNKNOWN,197,"228,169",1.51%,non-geographic placeholder (no comuna)
FONASA,2021,(missing),MISSING,1,1,0.00%,non-geographic placeholder (no comuna)
FONASA,2021,UNKNOWN,UNKNOWN,197,"195,187",1.28%,non-geographic placeholder (no comuna)
FONASA,2022,(missing),MISSING,1,1,0.00%,non-geographic placeholder (no comuna)
FONASA,2022,Unknown,UNKNOWN,191,"165,719",1.06%,non-geographic placeholder (no comuna)
FONASA,2023,Unknown,UNKNOWN,87,"171,644",1.06%,non-geographic placeholder (no comuna)
FONASA,2024,(missing),MISSING,90,"1,804",0.01%,non-geographic placeholder (no comuna)
FONASA,2024,Unknown,UNKNOWN,154,"191,087",1.14%,non-geographic placeholder (no comuna)
FONASA,2025,(missing),MISSING,3,3,0.00%,non-geographic placeholder (no comuna)
FONASA,2025,Unknown,UNKNOWN,195,"180,139",1.05%,non-geographic placeholder (no comuna)
ISAPRE,2019,Sin Código de Comuna,SIN CODIGO DE COMUNA,40,140,0.00%,non-geographic placeholder (no comuna)
ISAPRE,2020,Sin Código de Comuna,SIN CODIGO DE COMUNA,44,156,0.00%,non-geographic placeholder (no comuna)
ISAPRE,2021,Sin dato Comuna,SIN DATO COMUNA,20,22,0.00%,non-geographic placeholder (no comuna)
ISAPRE,2022,Sin dato Comuna,SIN DATO COMUNA,37,84,0.00%,non-geographic placeholder (no comuna)
ISAPRE,2023,Sin dato Comuna,SIN DATO COMUNA,4,4,0.00%,non-geographic placeholder (no comuna)
ISAPRE,2025,Sin dato Comuna,SIN DATO COMUNA,39,70,0.00%,non-geographic placeholder (no comuna)
