F84 code position,Sex,Age group (years),2019,2020,2021,2022,2023,2024
Any position,Males,0–4,428 (678.2),256 (754.5),"364 (1,056.3)","709 (1,501.5)","1,058 (2,003.6)","1,069 (2,307.5)"
Any position,Males,5–9,"571 (2,022.9)","328 (2,260.7)","569 (3,589.5)","919 (4,439.8)","1,499 (6,521.1)","2,163 (8,521.8)"
Any position,Males,10–14,"390 (1,905.5)","318 (2,588.1)","446 (3,288.1)","645 (3,963.6)","943 (5,237.1)","1,405 (6,823.4)"
Any position,Males,15–19,"193 (1,310.3)","170 (1,840.4)","200 (2,080.9)","328 (2,933.3)","597 (4,522.7)","671 (4,687.7)"
Any position,Males,20–24,83 (545.3),47 (435.3),85 (786.2),102 (889.0),"177 (1,414.1)","242 (1,871.0)"
Any position,Males,25–29,54 (327.9),31 (254.7),59 (455.8),67 (511.6),77 (537.5),120 (809.1)
Any position,Males,30–34,30 (186.8),27 (211.1),32 (222.6),48 (338.0),68 (420.8),63 (368.9)
Any position,Males,35–39,17 (102.5),10 (78.0),19 (132.9),30 (217.0),27 (168.0),40 (230.6)
Any position,Males,40–44,5 (29.4),9 (67.8),4 (26.7),14 (95.5),17 (101.2),22 (122.5)
Any position,Males,45–49,3 (14.3),3 (18.6),6 (33.0),11 (65.5),9 (48.8),15 (76.6)
Any position,Males,50–54,4 (15.1),1 (5.0),6 (28.2),4 (19.6),8 (36.0),12 (50.5)
Any position,Males,55–59,3 (8.9),2 (7.8),4 (14.3),0 (0.0),1 (3.3),7 (22.2)
Any position,Males,60–64,2 (5.4),1 (3.7),3 (10.1),3 (9.5),9 (25.0),9 (22.9)
Any position,Males,65–69,1 (2.6),1 (3.7),3 (10.4),2 (6.1),2 (5.3),5 (12.1)
Any position,Males,70–74,1 (2.7),1 (3.9),2 (7.6),2 (6.6),3 (8.6),1 (2.6)
Any position,Males,75–79,0 (0.0),0 (0.0),1 (4.5),2 (7.6),1 (3.3),2 (6.0)
Any position,Males,80+,1 (2.7),1 (3.9),3 (11.6),0 (0.0),1 (2.8),0 (0.0)
Any position,Males,Unknown,0 (0.0),0 (0.0),0 (—),0 (0.0),0 (0.0),"3 (7,317.1)"
Any position,Males,Total,"1,786 (380.2)","1,206 (376.7)","1,806 (528.8)","2,886 (761.0)","4,497 (1,052.3)","5,849 (1,291.0)"
Any position,Females,0–4,165 (341.4),102 (381.6),114 (422.1),242 (680.9),373 (913.7),348 (977.9)
Any position,Females,5–9,135 (804.0),"101 (1,101.7)","121 (1,269.8)","192 (1,629.3)","399 (2,909.9)","586 (3,793.6)"
Any position,Females,10–14,138 (820.7),"105 (1,023.5)","189 (1,588.5)","285 (1,989.3)","563 (3,717.4)","893 (5,236.9)"
Any position,Females,15–19,53 (192.0),46 (243.7),76 (435.2),144 (723.5),"331 (1,574.8)","585 (2,734.4)"
Any position,Females,20–24,18 (31.8),12 (27.8),18 (46.0),37 (86.8),96 (223.5),178 (434.2)
Any position,Females,25–29,9 (12.8),16 (29.1),15 (28.9),28 (48.0),68 (115.2),112 (195.3)
