Sex,Year,Episodes,Unknown age/sex (crude rate only),INE population (30 June),"Crude rate per 100,000 (95% CI)","WHO age-standardised rate per 100,000 (95% CI)"
Males,2019,"1,786",0,"9,424,139",19.0 (18.1 to 19.9),23.8 (22.7 to 24.9)
Males,2020,"1,206",0,"9,599,101",12.6 (11.9 to 13.3),15.9 (15.1 to 16.9)
Males,2021,"1,806",0,"9,708,512",18.6 (17.8 to 19.5),23.8 (22.7 to 24.9)
Males,2022,"2,886",0,"9,782,978",29.5 (28.4 to 30.6),38.6 (37.2 to 40.0)
Males,2023,"4,497",0,"9,848,466",45.7 (44.3 to 47.0),60.6 (58.9 to 62.4)
Males,2024,"5,849",3,"9,910,500",59.0 (57.5 to 60.6),79.0 (76.9 to 81.0)
Females,2019,547,0,"9,683,077",5.6 (5.2 to 6.1),7.6 (7.0 to 8.3)
Females,2020,403,0,"9,859,209",4.1 (3.7 to 4.5),5.5 (5.0 to 6.1)
Females,2021,560,0,"9,969,851",5.6 (5.2 to 6.1),7.7 (7.0 to 8.3)
Females,2022,972,0,"10,045,585",9.7 (9.1 to 10.3),13.4 (12.5 to 14.2)
Females,2023,"1,924",0,"10,112,423",19.0 (18.2 to 19.9),26.3 (25.2 to 27.5)
Females,2024,"2,878",0,"10,175,877",28.3 (27.3 to 29.3),39.0 (37.5 to 40.4)
Both sexes,2019,"2,334",1,"19,107,216",12.2 (11.7 to 12.7),15.8 (15.2 to 16.5)
Both sexes,2020,"1,609",0,"19,458,310",8.3 (7.9 to 8.7),10.8 (10.3 to 11.4)
Both sexes,2021,"2,367",1,"19,678,363",12.0 (11.5 to 12.5),15.8 (15.2 to 16.5)
Both sexes,2022,"3,859",1,"19,828,563",19.5 (18.9 to 20.1),26.2 (25.4 to 27.1)
Both sexes,2023,"6,423",2,"19,960,889",32.2 (31.4 to 33.0),43.8 (42.7 to 44.9)
Both sexes,2024,"8,731",7,"20,086,377",43.5 (42.6 to 44.4),59.3 (58.1 to 60.6)
