Code,Hospital,Fixed panel of 65,GRD episodes 2024,Episodes with F84 2024,"Rate per 100,000 episodes (exact 95% CI)",Mean coding depth 2024,Fixed-effect RR 2019–2024 vs hospital mean (95% CI),Depth-adjusted fixed-effect RR (95% CI),Random-intercept RR (95% posterior interval)
113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",Yes,"9,941",518,"5,210.7 (4,771.6 to 5,679.4)",4.60,8.63 (7.71 to 9.66),9.31 (8.14 to 10.65),8.50 (7.02 to 10.30)
109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Yes,"9,168",331,"3,610.4 (3,231.9 to 4,021.0)",4.88,7.20 (6.35 to 8.16),7.55 (6.61 to 8.63),7.09 (5.84 to 8.60)
112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",Yes,"7,344",258,"3,513.1 (3,097.4 to 3,968.9)",5.58,5.25 (4.54 to 6.06),5.51 (4.74 to 6.40),5.16 (4.24 to 6.29)
119102,Hospital Penco - Lirquén,No,"4,157",86,"2,068.8 (1,654.8 to 2,555.0)",6.17,3.63 (2.40 to 5.47),3.53 (2.35 to 5.32),3.50 (2.65 to 4.62)
111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",Yes,"20,269",337,"1,662.6 (1,489.8 to 1,850.0)",4.84,3.00 (2.64 to 3.41),3.12 (2.73 to 3.56),2.96 (2.43 to 3.59)
103100,Hospital Dr. Leonardo Guzmán (Antofagasta),Yes,"23,141",334,"1,443.3 (1,292.7 to 1,606.7)",4.21,2.75 (2.43 to 3.12),3.01 (2.59 to 3.51),2.71 (2.23 to 3.29)
107100,Hospital Dr. Gustavo Fricke (Viña del Mar),Yes,"27,950",370,"1,323.8 (1,192.3 to 1,465.8)",6.26,2.25 (1.98 to 2.57),2.18 (1.91 to 2.49),2.22 (1.83 to 2.70)
112104,Instituto de Neurocirugía Dr. Alfonso Asenjo,Yes,"3,560",47,"1,320.2 (970.1 to 1,755.6)",7.45,2.41 (1.76 to 3.31),2.28 (1.66 to 3.13),2.36 (1.85 to 3.01)
106100,Hospital Carlos Van Buren (Valparaíso),Yes,"21,316",275,"1,290.1 (1,142.1 to 1,452.0)",8.54,1.85 (1.59 to 2.16),1.65 (1.36 to 1.99),1.83 (1.50 to 2.23)
103101,Hospital Dr. Carlos Cisternas (Calama),Yes,"11,021",133,"1,206.8 (1,010.4 to 1,430.2)",4.77,1.82 (1.48 to 2.24),1.94 (1.56 to 2.41),1.79 (1.45 to 2.21)
105101,Hospital San Pablo (Coquimbo),Yes,"18,660",213,"1,141.5 (993.3 to 1,305.5)",5.11,1.79 (1.51 to 2.11),1.82 (1.54 to 2.16),1.76 (1.44 to 2.15)
117101,Hospital Clínico Herminda Martín (Chillán),Yes,"25,827",281,"1,088.0 (964.5 to 1,222.9)",5.12,2.34 (2.05 to 2.66),2.44 (2.13 to 2.80),2.31 (1.90 to 2.80)
118105,Hospital San José (Coronel),Yes,"7,656",83,"1,084.1 (863.5 to 1,343.9)",7.06,1.46 (1.10 to 1.94),1.43 (1.07 to 1.89),1.43 (1.14 to 1.81)
102100,Hospital Dr. Ernesto Torres Galdames (Iquique),Yes,"20,297",212,"1,044.5 (908.6 to 1,195.0)",5.06,1.59 (1.35 to 1.88),1.64 (1.38 to 1.93),1.57 (1.28 to 1.92)
114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Yes,"49,411",515,"1,042.3 (954.2 to 1,136.3)",8.11,1.86 (1.67 to 2.07),1.66 (1.43 to 1.93),1.83 (1.52 to 2.22)
119100,Hospital Las Higueras (Talcahuano),Yes,"25,653",257,"1,001.8 (883.1 to 1,132.1)",4.61,1.87 (1.62 to 2.16),1.98 (1.70 to 2.31),1.84 (1.51 to 2.24)
121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Yes,"29,540",290,"981.7 (872.0 to 1,101.5)",5.62,1.67 (1.46 to 1.92),1.69 (1.47 to 1.94),1.65 (1.36 to 2.01)
118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Yes,"35,148",344,"978.7 (878.0 to 1,087.8)",6.53,2.01 (1.78 to 2.26),1.93 (1.70 to 2.18),1.98 (1.63 to 2.40)
105100,Hospital San Juan de Dios (La Serena),Yes,"21,122",206,"975.3 (846.6 to 1,118.0)",5.34,1.65 (1.40 to 1.96),1.71 (1.44 to 2.03),1.63 (1.33 to 2.00)
117102,Hospital de San Carlos,Yes,"9,160",89,"971.6 (780.3 to 1,195.7)",5.22,1.39 (1.07 to 1.82),1.46 (1.11 to 1.90),1.37 (1.09 to 1.72)
118106,Hospital de Lota,No,"6,247",58,"928.4 (705.0 to 1,200.2)",6.76,1.52 (1.02 to 2.28),1.40 (0.93 to 2.11),1.49 (1.13 to 1.96)
116108,Hospital Presidente Carlos Ibáñez del Campo (Linares),Yes,"14,174",124,"874.8 (727.6 to 1,043.1)",5.51,1.46 (1.19 to 1.79),1.47 (1.20 to 1.80),1.44 (1.16 to 1.77)
105102,Hospital Dr. Antonio Tirado Lanas (Ovalle),Yes,"11,587",101,"871.7 (710.0 to 1,059.2)",4.65,1.24 (0.97 to 1.59),1.33 (1.04 to 1.72),1.23 (0.98 to 1.53)
