Block,Indicator,Unit,2019,2020,2021,2022,2023,2024
Panel and episodes,Hospitals observed (n),hospitals,65,65,65,65,68,72
Panel and episodes,Fixed-panel hospitals (n),hospitals,65,65,65,65,65,65
Panel and episodes,"GRD episodes, observed panel, all activity (n)",episodes,"1,151,475","781,912","816,909","932,839","1,039,587","1,085,813"
Panel and episodes,"GRD episodes, fixed panel of 65, all activity (n)",episodes,"1,151,475","781,912","816,909","932,839","1,025,029","1,048,706"
Panel and episodes,"GRD episodes, strict hospitalisation (n)",episodes,"886,627","702,275","713,978","778,072","846,043","873,772"
Panel and episodes,"GRD episodes, major ambulatory surgery (n)",episodes,"146,948","79,637","102,931","154,767","193,544","212,041"
Panel and episodes,"GRD episodes, other activity (emergency, day hospital, unidentified) (n)",episodes,"117,900",category absent,category absent,category absent,category absent,category absent
Episodes with documented F84,"F84 in any position, observed panel (n)",episodes,"2,334","1,609","2,367","3,859","6,423","8,731"
Episodes with documented F84,"F84 in any position, observed panel, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",202.7 (194.6–211.1),205.8 (195.8–216.1),289.8 (278.2–301.7),413.7 (400.7–426.9),617.8 (602.8–633.1),804.1 (787.3–821.1)
Episodes with documented F84,"F84 in any position, fixed panel of 65 (n)",episodes,"2,334","1,609","2,367","3,859","6,371","8,480"
Episodes with documented F84,"F84 in any position, fixed panel of 65, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",202.7 (194.6–211.1),205.8 (195.8–216.1),289.8 (278.2–301.7),413.7 (400.7–426.9),621.5 (606.4–637.0),808.6 (791.5–826.0)
Episodes with documented F84,"F84 principal, observed panel (n)",episodes,228,157,186,295,361,390
Episodes with documented F84,"F84 principal, observed panel, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",19.8 (17.3–22.5),20.1 (17.1–23.5),22.8 (19.6–26.3),31.6 (28.1–35.4),34.7 (31.2–38.5),35.9 (32.4–39.7)
Episodes with documented F84,"F84 principal, fixed panel of 65 (n)",episodes,228,157,186,295,358,381
Episodes with documented F84,"F84 principal, fixed panel of 65, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",19.8 (17.3–22.5),20.1 (17.1–23.5),22.8 (19.6–26.3),31.6 (28.1–35.4),34.9 (31.4–38.7),36.3 (32.8–40.2)
Episodes with documented F84,"F84 as secondary diagnosis only, n (% of episodes with F84)",n (%),"2,106 (90.2%)","1,452 (90.2%)","2,181 (92.1%)","3,564 (92.4%)","6,062 (94.4%)","8,341 (95.5%)"
Episodes with documented F84,F84 both principal and secondary (n),episodes,6,6,3,8,7,15
Activity type (observed panel),Strict hospitalisation: F84 any position (n),episodes,"1,911","1,526","2,187","3,509","5,792","7,619"
Activity type (observed panel),"Strict hospitalisation: F84 any position, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",215.5 (206.0–225.4),217.3 (206.5–228.5),306.3 (293.6–319.4),451.0 (436.2–466.2),684.6 (667.1–702.5),872.0 (852.5–891.8)
Activity type (observed panel),"Strict hospitalisation, fixed panel of 65: F84 any position (n)",episodes,"1,911","1,526","2,187","3,509","5,747","7,424"
Activity type (observed panel),"Strict hospitalisation, fixed panel of 65: F84 any position, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",215.5 (206.0–225.4),217.3 (206.5–228.5),306.3 (293.6–319.4),451.0 (436.2–466.2),687.3 (669.6–705.3),876.5 (856.7–896.7)
Activity type (observed panel),Strict hospitalisation: F84 principal (n),episodes,203,155,186,295,361,390
Activity type (observed panel),"Strict hospitalisation: F84 principal, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",22.9 (19.9–26.3),22.1 (18.7–25.8),26.1 (22.4–30.1),37.9 (33.7–42.5),42.7 (38.4–47.3),44.6 (40.3–49.3)
Activity type (observed panel),Major ambulatory surgery: F84 any position (n),episodes,168,83,180,350,631,"1,112"
Activity type (observed panel),"Major ambulatory surgery: F84 any position, per 100,000 episodes (95% CI)","per 100,000 GRD episodes",114.3 (97.7–133.0),104.2 (83.0–129.2),174.9 (150.3–202.4),226.1 (203.1–251.1),326.0 (301.1–352.5),524.4 (494.1–556.2)
Activity type (observed panel),Other activity: F84 any position (n),episodes,255,category absent,category absent,category absent,category absent,category absent
Coding depth,"Coded diagnoses per episode, all episodes: mean (median)",diagnoses per episode,4.39 (4),5.21 (4),5.56 (4),5.38 (4),5.51 (4),5.78 (5)
Coding depth,"Coded diagnoses per episode, episodes with F84 any position: mean (median)",diagnoses per episode,4.97 (4),5.73 (5),5.57 (5),5.39 (4),5.71 (5),6.00 (5)
Unique persons (within each year only),"Persons with F84 any position (n, within year)",persons,"1,944","1,319","1,954","3,231","5,232","7,169"
Unique persons (within each year only),F84 episodes per person (ratio),ratio,1.20,1.22,1.21,1.19,1.23,1.22
