Block,Module,Code(s),Indicator,Definition era,Measure (unit),2019,2020,2021,2022,2023,2024,2025
A03 context of the 18-month check (2019–2024),A03,03500404,Children with the 18-month health check (context),2019–2024,Annual sum of months (children reported),"37,952 (n=701)","20,594 (n=663)","34,371 (n=745)","50,513 (n=908)","74,940 (n=1,136)","85,187 (n=1,283)",not defined
A03 context of the 18-month check (2019–2024),A03,03500405,Language and/or social-area alteration at the 18-month check (selection criterion),2019–2024,Annual sum of months (children reported),"5,160 (n=470)","2,358 (n=404)","5,118 (n=518)","7,870 (n=651)","10,333 (n=831)","14,774 (n=955)",not defined
"A03 detection, legacy era 2019–2022 (subgroup with language/social alteration)",A03,03500406,M-CHAT performed in the subgroup with language/social alteration,2019–2022,Annual sum of months (screening records),"2,613 (n=263)",816 (n=198),"1,833 (n=273)","3,455 (n=399)",not defined,not defined,not defined
"A03 detection, legacy era 2019–2022 (subgroup with language/social alteration)",A03,03500407,Altered M-CHAT in the subgroup with language/social alteration,2019–2022,Annual sum of months (screening records),"1,640 (n=188)",288 (n=134),879 (n=230),"1,535 (n=315)",not defined,not defined,not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600212,Suspected autism in other checks or consultations,2023–2024,Annual sum of months (children reported),not defined,not defined,not defined,not defined,"8,221 (n=731)","12,281 (n=861)",not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600213,M-CHAT-R/F first part: low risk,2023–2024,Annual sum of months (screening results),not defined,not defined,not defined,not defined,"14,083 (n=880)","18,142 (n=1,082)",not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600214,M-CHAT-R/F first part: medium risk,2023–2024,Annual sum of months (screening results),not defined,not defined,not defined,not defined,"3,642 (n=627)","4,698 (n=734)",not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600215,M-CHAT-R/F first part: high risk,2023–2024,Annual sum of months (screening results),not defined,not defined,not defined,not defined,"1,907 (n=478)","2,234 (n=552)",not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600216,M-CHAT-R/F high risk with specialist referral,2023–2024,Annual sum of months (referral records),not defined,not defined,not defined,not defined,"1,152 (n=373)","1,741 (n=454)",not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600217,M-CHAT-R/F second part: medium risk in the first part (2023 only),2023,Annual sum of months (screening records),not defined,not defined,not defined,not defined,920 (n=247),not defined,not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600218,M-CHAT-R/F second part: no referral required,2023–2024,Annual sum of months (screening results),not defined,not defined,not defined,not defined,817 (n=267),"2,341 (n=528)",not defined
"A03 detection, 2023–2024 era (M-CHAT-R/F)",A03,09600219,M-CHAT-R/F second part: referral required,2023–2024,Annual sum of months (referral records),not defined,not defined,not defined,not defined,"1,136 (n=346)","2,283 (n=516)",not defined
"A03 detection, 31–59 months (2024 only)",A03,03700104,Children aged 31–59 months evaluated at the integral health check,2024,Annual sum of months (children reported),not defined,not defined,not defined,not defined,not defined,"39,466 (n=694)",not defined
"A03 detection, 31–59 months (2024 only)",A03,03700105,Children aged 31–59 months suspected elsewhere,2024,Annual sum of months (children reported),not defined,not defined,not defined,not defined,not defined,"4,576 (n=564)",not defined
"A03 detection, 31–59 months (2024 only)",A03,03700106,Autism suspicion by alert-sign guide: yes,2024,Annual sum of months (screening results),not defined,not defined,not defined,not defined,not defined,"5,860 (n=674)",not defined
"A03 detection, 31–59 months (2024 only)",A03,03700107,Autism suspicion by alert-sign guide: no,2024,Annual sum of months (screening results),not defined,not defined,not defined,not defined,not defined,"6,327 (n=495)",not defined
"A03 detection, 31–59 months (2024 only)",A03,03700108,Referral after alert-sign evaluation: yes,2024,Annual sum of months (referral records),not defined,not defined,not defined,not defined,not defined,"4,866 (n=629)",not defined
"A03 detection, 31–59 months (2024 only)",A03,03700109,Referral after alert-sign evaluation: no,2024,Annual sum of months (referral records),not defined,not defined,not defined,not defined,not defined,"4,935 (n=464)",not defined
"A03 detection, 2025 redesign",A03,03710013,"M-CHAT motive: altered EEDP language/social area, 16–30 months",2025,Annual sum of months (screening records),not defined,not defined,not defined,not defined,not defined,not defined,"14,671 (n=869)"
"A03 detection, 2025 redesign",A03,03710014,"M-CHAT motive: autism risk factor or alert sign, 16–30 months",2025,Annual sum of months (screening records),not defined,not defined,not defined,not defined,not defined,not defined,"5,921 (n=665)"
"A03 detection, 2025 redesign",A03,03710015,"M-CHAT motive: both motives, 16–30 months",2025,Annual sum of months (screening records),not defined,not defined,not defined,not defined,not defined,not defined,"2,656 (n=503)"
"A03 detection, 2025 redesign",A03,03710016,M-CHAT-R/F result: low risk,2025,Annual sum of months (screening results),not defined,not defined,not defined,not defined,not defined,not defined,"12,971 (n=818)"
"A03 detection, 2025 redesign",A03,03710017,M-CHAT-R/F medium risk: no diagnostic referral required,2025,Annual sum of months (screening results),not defined,not defined,not defined,not defined,not defined,not defined,"1,637 (n=395)"
"A03 detection, 2025 redesign",A03,03710018,M-CHAT-R/F medium risk: diagnostic referral required,2025,Annual sum of months (referral records),not defined,not defined,not defined,not defined,not defined,not defined,"2,500 (n=534)"
"A03 detection, 2025 redesign",A03,03710019,M-CHAT-R/F high risk: diagnostic referral required,2025,Annual sum of months (referral records),not defined,not defined,not defined,not defined,not defined,not defined,"2,181 (n=505)"
"A03 detection, 2025 redesign",A03,03710020,Suspected autism 30–59 months: no diagnostic referral required,2025,Annual sum of months (screening results),not defined,not defined,not defined,not defined,not defined,not defined,"5,140 (n=501)"
"A03 detection, 2025 redesign",A03,03710021,Suspected autism 30–59 months: diagnostic referral required,2025,Annual sum of months (referral records),not defined,not defined,not defined,not defined,not defined,not defined,"5,883 (n=642)"
A27 support and assisted referral (2023–2025),A27,29101566,"Counselling in M-CHAT-R/F screening context (interventions, not persons)",2023–2025,Annual sum of months (interventions),not defined,not defined,not defined,not defined,"2,380 (n=150)","3,874 (n=180)","3,026 (n=169)"
A27 support and assisted referral (2023–2025),A27,29101574,"Assisted referral in M-CHAT-R/F screening context (interventions, not persons)",2023–2025,Annual sum of months (interventions),not defined,not defined,not defined,not defined,672 (n=98),"1,068 (n=118)",878 (n=114)
A05 broad PDD 2019–2020 (separate sensitivity),A05,06902600,Mental-health programme entries: pervasive developmental disorders (broad PDD; Rett inseparable),2019–2020,Annual sum of months (entries reported),"4,417 (n=651)","2,560 (n=492)",not defined,not defined,not defined,not defined,not defined
A05 broad PDD 2019–2020 (separate sensitivity),A05,05225000,Mental-health programme exits (clinical discharges): broad PDD,2019–2020,Annual sum of months (exits reported),"1,208 (n=387)",646 (n=260),not defined,not defined,not defined,not defined,not defined
A05 mental-health programme entries and exits (2021–2025),A05,05990022,Mental-health programme entries for strict autism (05990022; identical in both variants),2021–2025,Annual sum of months (entries reported),not defined,not defined,"2,085 (n=449)","4,640 (n=658)","8,049 (n=920)","11,842 (n=1,070)","13,155 (n=952)"
A05 mental-health programme entries and exits (2021–2025),A05,05990022,Mental-health programme entries for strict autism (05990022; identical in both variants),2021–2025,Annual sum of months (entries reported); stable establishment panel,not defined,not defined,"1,522 (n=258)","2,852 (n=258)","4,187 (n=258)","5,694 (n=258)","6,767 (n=258)"
A05 mental-health programme entries and exits (2021–2025),A05,05990022 + 05990023 + 05990025 + 05990026,"Mental-health programme entries, PDD family of the variant: F84 family excluding Rett syndrome",2021–2025,Annual sum of months (entries reported),not defined,not defined,"4,948 (n=710)","8,004 (n=869)","12,086 (n=1,040)","14,873 (n=1,153)","15,669 (n=995)"
A05 mental-health programme entries and exits (2021–2025),A05,05990022 + 05990023 + 05990025 + 05990026,"Mental-health programme entries, PDD family of the variant: F84 family excluding Rett syndrome",2021–2025,Annual sum of months (entries reported); stable establishment panel,not defined,not defined,"3,753 (n=432)","5,750 (n=432)","8,076 (n=432)","9,464 (n=432)","10,928 (n=432)"
A05 mental-health programme entries and exits (2021–2025),A05,05990027,Mental-health programme exits for strict autism (05990027; identical in both variants),2021–2025,Annual sum of months (exits reported),not defined,not defined,494 (n=207),831 (n=307),"1,814 (n=438)","3,315 (n=625)","3,367 (n=624)"
A05 mental-health programme entries and exits (2021–2025),A05,05990027 + 05990028 + 05990030 + 05990031,"Mental-health programme exits, PDD family of the variant: F84 family excluding Rett syndrome",2021–2025,Annual sum of months (exits reported),not defined,not defined,"1,485 (n=387)","1,799 (n=492)","2,975 (n=587)","4,872 (n=725)","4,449 (n=675)"
P2 NANEAS under control (stock),P2,P2500500,NANEAS with autism spectrum disorder under control,2019–2025,December stock (people under control),"1,854 (n=460)","1,919 (n=400)","3,853 (n=640)","7,923 (n=897)","13,190 (n=1,012)","21,737 (n=1,218)","29,974 (n=1,325)"
P2 NANEAS under control (stock),P2,P2500500,NANEAS with autism spectrum disorder under control,2019–2025,December stock (people under control); stable establishment panel,"1,040 (n=193)","1,154 (n=193)","1,748 (n=193)","2,997 (n=193)","4,711 (n=193)","6,849 (n=193)","9,128 (n=193)"
P2 NANEAS under control (stock),P2,P2500500,NANEAS with autism spectrum disorder under control,2019–2025,"June stock, sensitivity (people under control)","1,502 (n=374)",172 (n=28),"2,434 (n=475)","5,364 (n=765)","10,523 (n=980)","17,743 (n=1,168)","26,195 (n=1,256)"
P2 NANEAS under control (stock),P2,P2501878,Total NANEAS under control (denominator only from December 2023),2023–2025,December stock (people under control),not defined,not defined,not defined,not defined,"59,907 (n=1,187)","77,081 (n=1,293)","100,789 (n=1,394)"
P2 NANEAS under control (stock),P2,P2501878,Total NANEAS under control (denominator only from December 2023),2023–2025,"June stock, sensitivity (people under control)",not defined,not defined,not defined,not defined,not reported,"64,833 (n=1,261)","84,281 (n=1,342)"
P6 broad PDD 2019–2020 (separate sensitivity),P6,P6223000,Primary care: broad PDD under control (Rett inseparable),2019–2020,December stock (people under control),"5,520 (n=727)","5,185 (n=695)",not defined,not defined,not defined,not defined,not defined
P6 broad PDD 2019–2020 (separate sensitivity),P6,P6223380,Specialty: broad PDD under control (Rett inseparable),2019–2020,December stock (people under control),"6,624 (n=111)","6,905 (n=121)",not defined,not defined,not defined,not defined,not defined
P6 mental-health population under control (2021–2025),P6,P6241010,Primary care: strict autism under control (P6241010; identical in both variants),2021–2025,December stock (people under control),not defined,not defined,"2,257 (n=482)","5,042 (n=704)","9,717 (n=956)","15,934 (n=1,160)","21,843 (n=1,274)"
P6 mental-health population under control (2021–2025),P6,P6241010,Primary care: strict autism under control (P6241010; identical in both variants),2021–2025,December stock (people under control); stable establishment panel,not defined,not defined,"1,853 (n=353)","3,629 (n=353)","6,359 (n=353)","9,152 (n=353)","11,783 (n=353)"
