Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,35.9 (30.0 to 42.1),< 0.001,33.19,1.73,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth (centred),2019–2024,6,46.9 (40.8 to 53.3),< 0.001,6.55,3.63,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,32.9 (28.4 to 37.6),< 0.001,15.06,2.83,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,58.3 (35.0 to 85.6),< 0.001,6.72,3.42,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,40.1 (33.9 to 46.6),< 0.001,12.13,2.60,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,No covariates,2019–2024,6,36.1 (30.1 to 42.5),< 0.001,34.13,1.73,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,Mean coding depth (centred),2019–2024,6,47.1 (41.0 to 53.6),< 0.001,6.72,3.61,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,No covariates,2019–2024,6,37.2 (30.6 to 44.1),< 0.001,35.03,1.83,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,14.6 (10.2 to 19.3),< 0.001,1.97,2.01,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,No covariates,2019–2024,6,14.9 (10.5 to 19.5),< 0.001,1.90,2.02,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,14.0 (4.1 to 24.9),0.005,3.14,2.04,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,43.6 (38.4 to 49.1),< 0.001,16.93,2.54,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects,2019–2024,400,35.9 (33.9 to 38.0),< 0.001,3.83,1.20,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545.
