display_rank,in_fixed_panel,n_f84_any,n_episodes_total,rate,lo,hi,display_suppressed
1.0,True,8.0,11565.0,69.17423259835711,29.86452379376136,136.30081470119597,False
2.0,True,14.0,17718.0,79.01569025849419,43.19861314087704,132.5749019180245,False
3.0,True,5.0,3951.0,126.55024044545685,41.09051860588257,295.3260460471443,False
4.0,True,38.0,27157.0,139.92709062120264,99.02073736125548,192.06086430481864,False
5.0,True,41.0,27131.0,151.11864656665807,108.44534985240234,205.00950781664855,False
6.0,True,12.0,5573.0,215.3238830073569,111.26099244073599,376.12749054686776,False
7.0,True,43.0,18875.0,227.81456953642385,164.87053357333608,306.86473012123776,False
8.0,True,13.0,4779.0,272.02343586524375,144.84102303837213,465.1683598694052,False
9.0,True,25.0,8784.0,284.60837887067396,184.18353651900418,420.13811131068263,False
10.0,True,30.0,10207.0,293.91594004114825,198.3038505086795,419.5832800510205,False
11.0,True,41.0,13211.0,310.3474377412762,222.71067949780698,421.02134256100913,False
12.0,True,93.0,26632.0,349.2039651547011,281.8526686814709,427.7984493291252,False
13.0,True,21.0,5972.0,351.64099129269925,217.67131587535476,537.5206084216906,False
14.0,False,17.0,4682.0,363.0926954293037,211.51487547217616,581.3465787250451,False
15.0,True,26.0,7085.0,366.9724770642202,239.718605724719,537.6997047724068,False
16.0,True,37.0,9901.0,373.6996263003737,263.1190240087469,515.0957089377926,False
17.0,True,62.0,15901.0,389.91258411420665,298.9437424449568,499.85033567540563,False
18.0,True,19.0,4817.0,394.4363711853851,237.47646178880487,615.9612533025863,False
19.0,True,57.0,14272.0,399.3834080717489,302.4890930698202,517.4475294490107,False
20.0,True,24.0,5966.0,402.2795843110962,257.7481202595787,598.5601339884882,False
21.0,False,42.0,10354.0,405.64033223874833,292.34987186090103,548.3078885309122,False
22.0,True,35.0,8369.0,418.2100609391803,291.29863069088015,581.6289564951975,False
23.0,True,102.0,23550.0,433.1210191082803,353.1584296976115,525.7793656455572,False
24.0,True,32.0,7001.0,457.0775603485216,312.6407129165057,645.2571358294597,False
25.0,True,48.0,9685.0,495.611770779556,365.42499559610985,657.109304926456,False
26.0,True,171.0,33858.0,505.050505050505,432.1874707542639,586.6806846313882,False
27.0,True,33.0,6455.0,511.2316034082107,351.90831251324295,717.9592450684632,False
28.0,True,107.0,20928.0,511.27675840978594,419.00364199653956,617.8256272978992,False
29.0,True,21.0,3897.0,538.8760585065435,333.57277352004587,823.7292977917208,False
30.0,True,122.0,21397.0,570.1733887928215,473.49453830670603,680.7878200292894,False
31.0,True,149.0,25837.0,576.6923404420018,487.8134229467663,677.080289565188,False
32.0,False,19.0,3204.0,593.0087390761548,357.0299988878505,926.0566033578522,False
33.0,True,183.0,30453.0,600.9260171411684,517.0117117685161,694.5797252974946,False
34.0,True,65.0,10702.0,607.3631096991217,468.7500255020956,774.1341414303081,False
35.0,True,85.0,13434.0,632.7229417894894,505.3966131070008,782.3717159364222,False
36.0,False,26.0,4042.0,643.2459178624443,420.1895896980787,942.5043068561362,False
37.0,True,95.0,14245.0,666.9006669006669,539.562464467042,815.2514820888417,False
38.0,True,64.0,9526.0,671.8454755406257,517.4028820725955,857.9316734084085,False
39.0,True,59.0,8632.0,683.5032437442076,520.3143376818053,881.6693855720084,False
40.0,True,209.0,30527.0,684.6398270383595,594.9613107929544,784.0192271023435,False
41.0,True,69.0,10011.0,689.2418339826191,536.2712871525804,872.2796533317878,False
42.0,True,144.0,20389.0,706.2631811270784,595.6222531652629,831.4949872359658,False
43.0,True,193.0,26962.0,715.8222683777168,618.3906044508116,824.2474863951386,False
44.0,True,51.0,6789.0,751.2152010605391,559.329059335554,987.7092558050344,False
45.0,True,152.0,20170.0,753.5944471988101,638.5551537628885,883.3725252979164,False
46.0,True,158.0,20091.0,786.421780896919,668.578064031692,919.0548450463989,False
47.0,True,37.0,4694.0,788.2403067746059,554.9939191969755,1086.4854312298858,False
48.0,True,169.0,19662.0,859.5259892177805,734.8206156484179,999.3305973958636,False
49.0,True,101.0,11587.0,871.6665228273065,709.9866988266069,1059.153842287309,False
50.0,True,124.0,14174.0,874.841258642585,727.6476965646084,1043.0669824283414,False
51.0,False,58.0,6247.0,928.4456539138787,705.0077105850768,1200.2313069424454,False
52.0,True,89.0,9160.0,971.6157205240174,780.2872067942222,1195.6567510235418,False
53.0,True,206.0,21122.0,975.2864312091658,846.6433860228027,1117.9521540835144,False
54.0,True,344.0,35148.0,978.7185615113235,878.0138397981274,1087.8070384406317,False
55.0,True,290.0,29540.0,981.719702098849,871.9702939455779,1101.4601420283223,False
56.0,True,257.0,25653.0,1001.8321443885706,883.0818733634487,1132.1010183894928,False
57.0,True,515.0,49411.0,1042.2780352553075,954.1922529764897,1136.3082652282515,False
58.0,True,212.0,20297.0,1044.4893333990244,908.6127211317616,1194.9539034593272,False
59.0,True,83.0,7656.0,1084.1170323928945,863.4931648093403,1343.9261729005495,False
60.0,True,281.0,25827.0,1088.0086730940488,964.5029543910669,1222.945252914312,False
61.0,True,213.0,18660.0,1141.4790996784566,993.3219270468219,1305.5031693509957,False
62.0,True,133.0,11021.0,1206.7870429180655,1010.4175723996423,1430.1790566100954,False
63.0,True,275.0,21316.0,1290.1107149559016,1142.1230128170812,1451.9512559904006,False
64.0,True,47.0,3560.0,1320.2247191011236,970.0514653670156,1755.61899833278,False
