pair,scope,analysis,n,rho,window,inference,n_communes
GRD–A05,commune,core,157,0.34098450126830354,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,all_three_complete,133,0.3137797002683098,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,exclude_counts_1_4,153,0.34608915336469515,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,exclude_metropolitan,116,0.23866528274324375,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,stable_establishments,144,0.2959488787074994,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,raw_sir,157,0.33695011752739723,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,empirical_bayes,157,0.3552707471517436,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,counts_no_denominator,157,0.7977608252240812,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,commune,partial_population_rank,157,0.41891553566212875,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–A05,region,core,16,0.22352941176470587,2021–2024,descriptive; identical pair-complete communes aggregated,157.0
GRD–P2,commune,core,236,0.10864305734458092,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,all_three_complete,133,0.17392701563950583,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,exclude_counts_1_4,216,0.15927838887884457,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,exclude_metropolitan,195,0.023010754429166454,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,stable_establishments,212,0.1257949559856133,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,raw_sir,236,0.11427241105539342,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,empirical_bayes,236,0.17572340882013265,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,counts_no_denominator,236,0.8178553948613652,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,partial_population_rank,236,0.27673240124112725,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,commune,age_compatible_p2,236,0.07974765595839618,2021–2024,descriptive; no spatially adjusted CI/p-value,
GRD–P2,region,core,16,0.5911764705882353,2021–2024,descriptive; identical pair-complete communes aggregated,236.0
A05–P2,commune,core,133,0.3210128441864498,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,all_three_complete,133,0.3210128441864498,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,exclude_counts_1_4,133,0.3210128441864498,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,exclude_metropolitan,99,0.09532467532467533,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,stable_establishments,111,0.31320638820638813,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,raw_sir,133,0.3172330418991849,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,empirical_bayes,133,0.31907958498689054,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,counts_no_denominator,133,0.6783215097108919,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,partial_population_rank,133,0.2691174285131449,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,commune,age_compatible_p2,133,0.30973974964548406,2021–2024,descriptive; no spatially adjusted CI/p-value,
A05–P2,region,core,15,0.22499999999999998,2021–2024,descriptive; identical pair-complete communes aggregated,133.0
