k,rho,rho_lo,rho_hi,n_communes
0,0.3409845012683036,0.1947480884129693,0.47239164492813235,157
5,0.3550598350180086,0.20759351752939292,0.48674679704718826,152
10,0.3571366713903322,0.2061274759786599,0.4915306705677247,145
15,0.4378590473407669,0.28857740254949293,0.5663577125216079,132
20,0.5151962480298312,0.3673879646744606,0.637621784567339,116
25,0.5416960398092474,0.39058277818270687,0.6643822603727589,105
30,0.5471707170717072,0.3929887696381147,0.671427656151034,100
35,0.550489921612542,0.39249298923747167,0.6769293779202137,95
40,0.5540355677154583,0.3865552842058244,0.6861412437428293,85
45,0.540427291823119,0.36638901401606905,0.6779292037215636,82
50,0.5296251217137293,0.34943559285784154,0.6720362942936796,79
55,0.5484768396160801,0.3712593936715089,0.6871401075948147,78
60,0.5244096728307255,0.33763327303573426,0.6714543576588848,75
