source,series,year,numerator,denominator,indicator,lo,hi,n_reporting
GRD,observed/all/any,2019,2334.0,1151475.0,202.69654139256173,194.5558439213228,211.09035167793016,65
GRD,observed/all/any,2024,8731.0,1085813.0,804.0979432001643,787.3188387984341,821.1445686140285,72
GRD,fixed65/all/any,2019,2334.0,1151475.0,202.69654139256173,194.5558439213228,211.09035167793016,65
GRD,fixed65/all/any,2024,8480.0,1048706.0,808.6155700453702,791.4956121631183,826.0125294457106,65
GRD,observed/all/principal,2019,228.0,1151475.0,19.800690418810657,17.313743246947833,22.544574441041828,65
GRD,observed/all/principal,2024,390.0,1085813.0,35.91778694858139,32.44108276051105,39.665583806533114,72
GRD,observed/all/secondary_only,2019,2106.0,1151475.0,182.89585097375107,175.1671391893437,190.8777679118306,65
GRD,observed/all/secondary_only,2024,8341.0,1085813.0,768.180156251583,751.78205908667,784.8457966834509,72
GRD,observed/hospitalisation/any,2019,1911.0,886627.0,215.53595818760311,205.97965688704983,225.4212197206791,65
GRD,observed/hospitalisation/any,2024,7619.0,873772.0,871.9665999826042,852.4958417520305,891.7698837352457,72
GRD,observed/cma/any,2019,168.0,146948.0,114.32615619130576,97.69167411899107,132.98110134899315,61
GRD,observed/cma/any,2024,1112.0,212041.0,524.4268797072265,494.05255922089214,556.1799745031577,68
REM,05990022/annual_sum/all,2021,2085.0,,,,,449
REM,05990022/annual_sum/stable,2021,1522.0,,,,,258
REM,05990022/annual_sum/all,2025,13155.0,,,,,952
REM,05990022/annual_sum/stable,2025,6767.0,,,,,258
REM,P2500500/december_stock/all,2019,1854.0,,,,,460
REM,P2500500/december_stock/stable,2019,1040.0,,,,,193
REM,P2500500/december_stock/all,2025,29974.0,,,,,1325
REM,P2500500/december_stock/stable,2025,9128.0,,,,,193
