code,year,total,reporting,stable_n,stable_total,national_months,establishments_all_expected_months,empty_rows,zero_rows,exact_duplicates,negative_rows
05990022,2021,2085.0,449,258,1522.0,12,2,0,0,0,0
05990022,2022,4640.0,658,258,2852.0,12,5,0,1,0,0
05990022,2023,8049.0,920,258,4187.0,12,14,0,3,0,0
05990022,2024,11842.0,1070,258,5694.0,12,29,1,0,0,0
05990022,2025,13155.0,952,258,6767.0,12,55,1,0,0,0
P2500500,2019,1854.0,460,193,1040.0,1,460,0,0,0,0
P2500500,2020,1919.0,400,193,1154.0,1,400,0,0,0,0
P2500500,2021,3853.0,640,193,1748.0,1,640,0,0,0,0
P2500500,2022,7923.0,897,193,2997.0,1,897,0,0,0,0
P2500500,2023,13190.0,1012,193,4711.0,1,1012,0,0,0,0
P2500500,2024,21737.0,1218,193,6849.0,1,1218,0,0,0,0
P2500500,2025,29974.0,1325,193,9128.0,1,1325,0,0,0,0
