year,category,panel,n_episodes,sex,age_group
2019,F80,observed,808,,
2019,F80,fixed65,808,,
2019,F80,observed,241,HOMBRE,0-4
2019,F80,observed,48,HOMBRE,10-14
2019,F80,observed,143,HOMBRE,5-9
2019,F80,observed,11,HOMBRE,55-59
2019,F80,observed,9,HOMBRE,60-64
2019,F80,observed,11,HOMBRE,65-69
2019,F80,observed,11,HOMBRE,70-74
2019,F80,observed,10,HOMBRE,75-79
2019,F80,observed,11,HOMBRE,80+
2019,F80,observed,117,MUJER,0-4
2019,F80,observed,30,MUJER,10-14
2019,F80,observed,9,MUJER,15-19
2019,F80,observed,2,MUJER,35-39
2019,F80,observed,72,MUJER,5-9
2019,F80,observed,3,MUJER,55-59
2019,F80,observed,6,MUJER,60-64
2019,F80,observed,10,MUJER,70-74
2019,F80,observed,6,MUJER,75-79
2019,F80,observed,9,MUJER,80+
2019,F81,observed,124,,
2019,F81,fixed65,124,,
2019,F81,observed,26,HOMBRE,10-14
2019,F81,observed,9,HOMBRE,15-19
2019,F81,observed,1,HOMBRE,45-49
2019,F81,observed,35,HOMBRE,5-9
2019,F81,observed,1,HOMBRE,55-59
2019,F81,observed,2,HOMBRE,80+
2019,F81,observed,27,MUJER,10-14
2019,F81,observed,1,MUJER,40-44
2019,F81,observed,10,MUJER,5-9
2019,F82,observed,472,,
2019,F82,fixed65,472,,
2019,F82,observed,164,HOMBRE,0-4
2019,F82,observed,29,HOMBRE,10-14
2019,F82,observed,7,HOMBRE,15-19
2019,F82,observed,2,HOMBRE,25-29
2019,F82,observed,67,HOMBRE,5-9
2019,F82,observed,129,MUJER,0-4
2019,F82,observed,17,MUJER,10-14
2019,F82,observed,7,MUJER,15-19
2019,F82,observed,26,MUJER,5-9
2019,F82,observed,1,MUJER,50-54
2019,F82,observed,1,MUJER,80+
2019,F83,observed,358,,
2019,F83,fixed65,358,,
2019,F83,observed,143,HOMBRE,0-4
2019,F83,observed,10,HOMBRE,10-14
2019,F83,observed,35,HOMBRE,5-9
2019,F83,observed,115,MUJER,0-4
2019,F83,observed,13,MUJER,10-14
2019,F83,observed,25,MUJER,5-9
2019,F84,observed,2385,,
2019,F84,fixed65,2385,,
2019,F84,observed,428,HOMBRE,0-4
2019,F84,observed,390,HOMBRE,10-14
2019,F84,observed,193,HOMBRE,15-19
2019,F84,observed,83,HOMBRE,20-24
2019,F84,observed,54,HOMBRE,25-29
2019,F84,observed,30,HOMBRE,30-34
2019,F84,observed,17,HOMBRE,35-39
