age_group,count,population,rate,lo,hi
0-4,428.0,612613.0,69.86466170322863,63.401731874704005,76.80772156883133
5-9,571.0,649322.0,87.93787981925763,80.87200183220712,95.45577802568283
10-14,390.0,629243.0,61.97923536694091,55.979882804320084,68.44638168358351
15-19,193.0,647322.0,29.815146094215862,25.756960951740837,34.3312304049387
20-24,83.0,735379.0,11.286697063690967,8.989791209404007,13.991559154839353
25-29,54.0,827193.0,6.528101664303252,4.904110887367851,8.517756605013668
30-34,30.0,769391.0,3.8991877991814303,2.6307656343030934,5.566333034153982
35-39,17.0,705386.0,2.4100279846778925,1.4039301133857616,3.858688266552868
40-44,5.0,665145.0,0.7517157912936278,0.24408007128046072,1.7542538964169725
45+,15.0,3183145.0,0.4712320676563587,0.2637450110750001,0.7772256328720764
