year,variant,panel,position,activity,sex,age_group,n_f84,n_total_episodes
2019,sin_rett,observed,any,all,HOMBRE,0-4,428,63105
2019,sin_rett,observed,any,all,HOMBRE,5-9,571,28227
2019,sin_rett,observed,any,all,HOMBRE,10-14,390,20467
2019,sin_rett,observed,any,all,HOMBRE,15-19,193,14730
2019,sin_rett,observed,any,all,HOMBRE,20-24,83,15220
2019,sin_rett,observed,any,all,HOMBRE,25-29,54,16469
2019,sin_rett,observed,any,all,HOMBRE,30-34,30,16060
2019,sin_rett,observed,any,all,HOMBRE,35-39,17,16581
2019,sin_rett,observed,any,all,HOMBRE,40-44,5,16992
2019,sin_rett,observed,any,all,HOMBRE,45-49,3,20945
2019,sin_rett,observed,any,all,HOMBRE,50-54,4,26517
2019,sin_rett,observed,any,all,HOMBRE,55-59,3,33607
2019,sin_rett,observed,any,all,HOMBRE,60-64,2,36899
2019,sin_rett,observed,any,all,HOMBRE,65-69,1,38512
2019,sin_rett,observed,any,all,HOMBRE,70-74,1,37138
2019,sin_rett,observed,any,all,HOMBRE,75-79,0,31058
2019,sin_rett,observed,any,all,HOMBRE,80+,1,37172
2019,sin_rett,observed,any,all,HOMBRE,unknown,0,7
2019,sin_rett,observed,any,all,MUJER,0-4,165,48336
2019,sin_rett,observed,any,all,MUJER,5-9,135,16791
2019,sin_rett,observed,any,all,MUJER,10-14,138,16814
2019,sin_rett,observed,any,all,MUJER,15-19,53,27602
2019,sin_rett,observed,any,all,MUJER,20-24,18,56625
2019,sin_rett,observed,any,all,MUJER,25-29,9,70109
2019,sin_rett,observed,any,all,MUJER,30-34,12,63354
2019,sin_rett,observed,any,all,MUJER,35-39,4,50734
2019,sin_rett,observed,any,all,MUJER,40-44,3,34747
2019,sin_rett,observed,any,all,MUJER,45-49,2,32312
2019,sin_rett,observed,any,all,MUJER,50-54,2,32902
2019,sin_rett,observed,any,all,MUJER,55-59,5,36408
2019,sin_rett,observed,any,all,MUJER,60-64,0,36784
2019,sin_rett,observed,any,all,MUJER,65-69,1,36803
2019,sin_rett,observed,any,all,MUJER,70-74,0,37015
2019,sin_rett,observed,any,all,MUJER,75-79,0,33414
2019,sin_rett,observed,any,all,MUJER,80+,0,50856
2019,sin_rett,observed,any,all,MUJER,unknown,0,8
2019,sin_rett,observed,any,all,unknown,0-4,0,36
2019,sin_rett,observed,any,all,unknown,5-9,0,16
2019,sin_rett,observed,any,all,unknown,10-14,1,7
2019,sin_rett,observed,any,all,unknown,15-19,0,7
2019,sin_rett,observed,any,all,unknown,20-24,0,3
2019,sin_rett,observed,any,all,unknown,25-29,0,6
2019,sin_rett,observed,any,all,unknown,30-34,0,0
2019,sin_rett,observed,any,all,unknown,35-39,0,5
2019,sin_rett,observed,any,all,unknown,40-44,0,4
2019,sin_rett,observed,any,all,unknown,45-49,0,6
2019,sin_rett,observed,any,all,unknown,50-54,0,5
2019,sin_rett,observed,any,all,unknown,55-59,0,7
2019,sin_rett,observed,any,all,unknown,60-64,0,5
2019,sin_rett,observed,any,all,unknown,65-69,0,9
2019,sin_rett,observed,any,all,unknown,70-74,0,7
2019,sin_rett,observed,any,all,unknown,75-79,0,11
2019,sin_rett,observed,any,all,unknown,80+,0,5
2019,sin_rett,observed,any,all,unknown,unknown,0,16
2020,sin_rett,observed,any,all,HOMBRE,0-4,256,33932
2020,sin_rett,observed,any,all,HOMBRE,5-9,328,14509
2020,sin_rett,observed,any,all,HOMBRE,10-14,318,12287
2020,sin_rett,observed,any,all,HOMBRE,15-19,170,9237
2020,sin_rett,observed,any,all,HOMBRE,20-24,47,10796
2020,sin_rett,observed,any,all,HOMBRE,25-29,31,12171
2020,sin_rett,observed,any,all,HOMBRE,30-34,27,12793
2020,sin_rett,observed,any,all,HOMBRE,35-39,10,12820
2020,sin_rett,observed,any,all,HOMBRE,40-44,9,13276
2020,sin_rett,observed,any,all,HOMBRE,45-49,3,16163
2020,sin_rett,observed,any,all,HOMBRE,50-54,1,20121
2020,sin_rett,observed,any,all,HOMBRE,55-59,2,25670
2020,sin_rett,observed,any,all,HOMBRE,60-64,1,27341
2020,sin_rett,observed,any,all,HOMBRE,65-69,1,26675
2020,sin_rett,observed,any,all,HOMBRE,70-74,1,25535
2020,sin_rett,observed,any,all,HOMBRE,75-79,0,21190
2020,sin_rett,observed,any,all,HOMBRE,80+,1,25623
2020,sin_rett,observed,any,all,HOMBRE,unknown,0,3
2020,sin_rett,observed,any,all,MUJER,0-4,102,26728
2020,sin_rett,observed,any,all,MUJER,5-9,101,9168
2020,sin_rett,observed,any,all,MUJER,10-14,105,10259
2020,sin_rett,observed,any,all,MUJER,15-19,46,18878
2020,sin_rett,observed,any,all,MUJER,20-24,12,43148
2020,sin_rett,observed,any,all,MUJER,25-29,16,54900
2020,sin_rett,observed,any,all,MUJER,30-34,5,50361
2020,sin_rett,observed,any,all,MUJER,35-39,9,37812
2020,sin_rett,observed,any,all,MUJER,40-44,2,23411
2020,sin_rett,observed,any,all,MUJER,45-49,1,20025
2020,sin_rett,observed,any,all,MUJER,50-54,0,20193
2020,sin_rett,observed,any,all,MUJER,55-59,1,23205
2020,sin_rett,observed,any,all,MUJER,60-64,1,23519
2020,sin_rett,observed,any,all,MUJER,65-69,0,23487
2020,sin_rett,observed,any,all,MUJER,70-74,1,22840
2020,sin_rett,observed,any,all,MUJER,75-79,1,20666
2020,sin_rett,observed,any,all,MUJER,80+,0,33031
2020,sin_rett,observed,any,all,MUJER,unknown,0,5
2020,sin_rett,observed,any,all,unknown,0-4,0,32
2020,sin_rett,observed,any,all,unknown,5-9,0,7
2020,sin_rett,observed,any,all,unknown,10-14,0,1
2020,sin_rett,observed,any,all,unknown,15-19,0,5
2020,sin_rett,observed,any,all,unknown,20-24,0,6
2020,sin_rett,observed,any,all,unknown,25-29,0,5
2020,sin_rett,observed,any,all,unknown,30-34,0,1
2020,sin_rett,observed,any,all,unknown,35-39,0,7
2020,sin_rett,observed,any,all,unknown,40-44,0,2
2020,sin_rett,observed,any,all,unknown,45-49,0,9
2020,sin_rett,observed,any,all,unknown,50-54,0,7
2020,sin_rett,observed,any,all,unknown,55-59,0,16
2020,sin_rett,observed,any,all,unknown,60-64,0,9
2020,sin_rett,observed,any,all,unknown,65-69,0,7
2020,sin_rett,observed,any,all,unknown,70-74,0,7
2020,sin_rett,observed,any,all,unknown,75-79,0,2
2020,sin_rett,observed,any,all,unknown,80+,0,11
2020,sin_rett,observed,any,all,unknown,unknown,0,0
2021,sin_rett,observed,any,all,HOMBRE,0-4,364,34459
2021,sin_rett,observed,any,all,HOMBRE,5-9,569,15852
2021,sin_rett,observed,any,all,HOMBRE,10-14,446,13564
2021,sin_rett,observed,any,all,HOMBRE,15-19,200,9611
2021,sin_rett,observed,any,all,HOMBRE,20-24,85,10812
2021,sin_rett,observed,any,all,HOMBRE,25-29,59,12943
2021,sin_rett,observed,any,all,HOMBRE,30-34,32,14377
2021,sin_rett,observed,any,all,HOMBRE,35-39,19,14294
2021,sin_rett,observed,any,all,HOMBRE,40-44,4,14993
2021,sin_rett,observed,any,all,HOMBRE,45-49,6,18182
2021,sin_rett,observed,any,all,HOMBRE,50-54,6,21279
2021,sin_rett,observed,any,all,HOMBRE,55-59,4,28011
2021,sin_rett,observed,any,all,HOMBRE,60-64,3,29638
2021,sin_rett,observed,any,all,HOMBRE,65-69,3,28893
2021,sin_rett,observed,any,all,HOMBRE,70-74,2,26395
2021,sin_rett,observed,any,all,HOMBRE,75-79,1,22424
2021,sin_rett,observed,any,all,HOMBRE,80+,3,25813
2021,sin_rett,observed,any,all,HOMBRE,unknown,0,0
2021,sin_rett,observed,any,all,MUJER,0-4,114,27009
2021,sin_rett,observed,any,all,MUJER,5-9,121,9529
2021,sin_rett,observed,any,all,MUJER,10-14,189,11898
2021,sin_rett,observed,any,all,MUJER,15-19,76,17465
2021,sin_rett,observed,any,all,MUJER,20-24,18,39102
2021,sin_rett,observed,any,all,MUJER,25-29,15,51954
2021,sin_rett,observed,any,all,MUJER,30-34,10,50822
2021,sin_rett,observed,any,all,MUJER,35-39,10,39198
2021,sin_rett,observed,any,all,MUJER,40-44,2,25862
2021,sin_rett,observed,any,all,MUJER,45-49,1,22525
2021,sin_rett,observed,any,all,MUJER,50-54,2,22363
2021,sin_rett,observed,any,all,MUJER,55-59,0,25201
2021,sin_rett,observed,any,all,MUJER,60-64,0,25730
2021,sin_rett,observed,any,all,MUJER,65-69,0,25575
2021,sin_rett,observed,any,all,MUJER,70-74,1,24513
2021,sin_rett,observed,any,all,MUJER,75-79,1,22668
2021,sin_rett,observed,any,all,MUJER,80+,0,33886
2021,sin_rett,observed,any,all,MUJER,unknown,0,6
2021,sin_rett,observed,any,all,unknown,0-4,0,13
2021,sin_rett,observed,any,all,unknown,5-9,1,4
2021,sin_rett,observed,any,all,unknown,10-14,0,6
2021,sin_rett,observed,any,all,unknown,15-19,0,3
2021,sin_rett,observed,any,all,unknown,20-24,0,2
2021,sin_rett,observed,any,all,unknown,25-29,0,3
2021,sin_rett,observed,any,all,unknown,30-34,0,1
2021,sin_rett,observed,any,all,unknown,35-39,0,5
2021,sin_rett,observed,any,all,unknown,40-44,0,3
2021,sin_rett,observed,any,all,unknown,45-49,0,1
2021,sin_rett,observed,any,all,unknown,50-54,0,2
2021,sin_rett,observed,any,all,unknown,55-59,0,3
2021,sin_rett,observed,any,all,unknown,60-64,0,7
2021,sin_rett,observed,any,all,unknown,65-69,0,0
2021,sin_rett,observed,any,all,unknown,70-74,0,1
2021,sin_rett,observed,any,all,unknown,75-79,0,1
2021,sin_rett,observed,any,all,unknown,80+,0,8
2021,sin_rett,observed,any,all,unknown,unknown,0,0
2022,sin_rett,observed,any,all,HOMBRE,0-4,709,47219
2022,sin_rett,observed,any,all,HOMBRE,5-9,919,20699
2022,sin_rett,observed,any,all,HOMBRE,10-14,645,16273
2022,sin_rett,observed,any,all,HOMBRE,15-19,328,11182
2022,sin_rett,observed,any,all,HOMBRE,20-24,102,11474
2022,sin_rett,observed,any,all,HOMBRE,25-29,67,13095
2022,sin_rett,observed,any,all,HOMBRE,30-34,48,14200
2022,sin_rett,observed,any,all,HOMBRE,35-39,30,13826
2022,sin_rett,observed,any,all,HOMBRE,40-44,14,14665
2022,sin_rett,observed,any,all,HOMBRE,45-49,11,16800
2022,sin_rett,observed,any,all,HOMBRE,50-54,4,20389
2022,sin_rett,observed,any,all,HOMBRE,55-59,0,27022
2022,sin_rett,observed,any,all,HOMBRE,60-64,3,31737
2022,sin_rett,observed,any,all,HOMBRE,65-69,2,32535
2022,sin_rett,observed,any,all,HOMBRE,70-74,2,30301
2022,sin_rett,observed,any,all,HOMBRE,75-79,2,26485
2022,sin_rett,observed,any,all,HOMBRE,80+,0,31316
2022,sin_rett,observed,any,all,HOMBRE,unknown,0,3
2022,sin_rett,observed,any,all,MUJER,0-4,242,35543
2022,sin_rett,observed,any,all,MUJER,5-9,192,11784
2022,sin_rett,observed,any,all,MUJER,10-14,285,14327
2022,sin_rett,observed,any,all,MUJER,15-19,144,19904
2022,sin_rett,observed,any,all,MUJER,20-24,37,42611
2022,sin_rett,observed,any,all,MUJER,25-29,28,58390
2022,sin_rett,observed,any,all,MUJER,30-34,10,58263
2022,sin_rett,observed,any,all,MUJER,35-39,14,44721
2022,sin_rett,observed,any,all,MUJER,40-44,1,29795
2022,sin_rett,observed,any,all,MUJER,45-49,7,25263
2022,sin_rett,observed,any,all,MUJER,50-54,0,24437
2022,sin_rett,observed,any,all,MUJER,55-59,5,28614
2022,sin_rett,observed,any,all,MUJER,60-64,1,30515
2022,sin_rett,observed,any,all,MUJER,65-69,2,31053
2022,sin_rett,observed,any,all,MUJER,70-74,2,29638
2022,sin_rett,observed,any,all,MUJER,75-79,2,27742
2022,sin_rett,observed,any,all,MUJER,80+,0,40962
2022,sin_rett,observed,any,all,MUJER,unknown,0,4
2022,sin_rett,observed,any,all,unknown,0-4,0,31
2022,sin_rett,observed,any,all,unknown,5-9,1,2
2022,sin_rett,observed,any,all,unknown,10-14,0,3
2022,sin_rett,observed,any,all,unknown,15-19,0,2
2022,sin_rett,observed,any,all,unknown,20-24,0,1
2022,sin_rett,observed,any,all,unknown,25-29,0,0
2022,sin_rett,observed,any,all,unknown,30-34,0,1
2022,sin_rett,observed,any,all,unknown,35-39,0,1
2022,sin_rett,observed,any,all,unknown,40-44,0,1
2022,sin_rett,observed,any,all,unknown,45-49,0,0
2022,sin_rett,observed,any,all,unknown,50-54,0,0
2022,sin_rett,observed,any,all,unknown,55-59,0,4
2022,sin_rett,observed,any,all,unknown,60-64,0,1
2022,sin_rett,observed,any,all,unknown,65-69,0,1
2022,sin_rett,observed,any,all,unknown,70-74,0,0
2022,sin_rett,observed,any,all,unknown,75-79,0,3
2022,sin_rett,observed,any,all,unknown,80+,0,1
2022,sin_rett,observed,any,all,unknown,unknown,0,0
2023,sin_rett,observed,any,all,HOMBRE,0-4,1058,52804
2023,sin_rett,observed,any,all,HOMBRE,5-9,1499,22987
2023,sin_rett,observed,any,all,HOMBRE,10-14,943,18006
2023,sin_rett,observed,any,all,HOMBRE,15-19,597,13200
2023,sin_rett,observed,any,all,HOMBRE,20-24,177,12517
2023,sin_rett,observed,any,all,HOMBRE,25-29,77,14326
2023,sin_rett,observed,any,all,HOMBRE,30-34,68,16159
2023,sin_rett,observed,any,all,HOMBRE,35-39,27,16070
2023,sin_rett,observed,any,all,HOMBRE,40-44,17,16794
2023,sin_rett,observed,any,all,HOMBRE,45-49,9,18452
2023,sin_rett,observed,any,all,HOMBRE,50-54,8,22238
2023,sin_rett,observed,any,all,HOMBRE,55-59,1,29865
2023,sin_rett,observed,any,all,HOMBRE,60-64,9,35955
2023,sin_rett,observed,any,all,HOMBRE,65-69,2,37812
2023,sin_rett,observed,any,all,HOMBRE,70-74,3,34863
2023,sin_rett,observed,any,all,HOMBRE,75-79,1,30190
2023,sin_rett,observed,any,all,HOMBRE,80+,1,35106
2023,sin_rett,observed,any,all,HOMBRE,unknown,0,1
2023,sin_rett,observed,any,all,MUJER,0-4,373,40824
2023,sin_rett,observed,any,all,MUJER,5-9,399,13712
2023,sin_rett,observed,any,all,MUJER,10-14,563,15145
2023,sin_rett,observed,any,all,MUJER,15-19,331,21018
2023,sin_rett,observed,any,all,MUJER,20-24,96,42948
2023,sin_rett,observed,any,all,MUJER,25-29,68,59032
2023,sin_rett,observed,any,all,MUJER,30-34,41,61153
2023,sin_rett,observed,any,all,MUJER,35-39,18,48912
2023,sin_rett,observed,any,all,MUJER,40-44,9,34201
2023,sin_rett,observed,any,all,MUJER,45-49,13,28201
2023,sin_rett,observed,any,all,MUJER,50-54,4,27819
2023,sin_rett,observed,any,all,MUJER,55-59,4,32011
2023,sin_rett,observed,any,all,MUJER,60-64,2,35504
2023,sin_rett,observed,any,all,MUJER,65-69,0,36745
2023,sin_rett,observed,any,all,MUJER,70-74,0,35075
2023,sin_rett,observed,any,all,MUJER,75-79,1,32795
2023,sin_rett,observed,any,all,MUJER,80+,2,47099
2023,sin_rett,observed,any,all,MUJER,unknown,0,9
2023,sin_rett,observed,any,all,unknown,0-4,1,26
2023,sin_rett,observed,any,all,unknown,5-9,0,0
2023,sin_rett,observed,any,all,unknown,10-14,0,1
2023,sin_rett,observed,any,all,unknown,15-19,1,1
2023,sin_rett,observed,any,all,unknown,20-24,0,2
2023,sin_rett,observed,any,all,unknown,25-29,0,1
2023,sin_rett,observed,any,all,unknown,30-34,0,1
2023,sin_rett,observed,any,all,unknown,35-39,0,0
2023,sin_rett,observed,any,all,unknown,40-44,0,1
2023,sin_rett,observed,any,all,unknown,45-49,0,1
2023,sin_rett,observed,any,all,unknown,50-54,0,0
2023,sin_rett,observed,any,all,unknown,55-59,0,1
2023,sin_rett,observed,any,all,unknown,60-64,0,1
2023,sin_rett,observed,any,all,unknown,65-69,0,1
2023,sin_rett,observed,any,all,unknown,70-74,0,0
2023,sin_rett,observed,any,all,unknown,75-79,0,1
2023,sin_rett,observed,any,all,unknown,80+,0,1
2023,sin_rett,observed,any,all,unknown,unknown,0,0
2024,sin_rett,observed,any,all,HOMBRE,0-4,1069,46327
2024,sin_rett,observed,any,all,HOMBRE,5-9,2163,25382
2024,sin_rett,observed,any,all,HOMBRE,10-14,1405,20591
2024,sin_rett,observed,any,all,HOMBRE,15-19,671,14314
2024,sin_rett,observed,any,all,HOMBRE,20-24,242,12934
2024,sin_rett,observed,any,all,HOMBRE,25-29,120,14832
2024,sin_rett,observed,any,all,HOMBRE,30-34,63,17077
2024,sin_rett,observed,any,all,HOMBRE,35-39,40,17343
2024,sin_rett,observed,any,all,HOMBRE,40-44,22,17955
2024,sin_rett,observed,any,all,HOMBRE,45-49,15,19580
2024,sin_rett,observed,any,all,HOMBRE,50-54,12,23766
2024,sin_rett,observed,any,all,HOMBRE,55-59,7,31568
2024,sin_rett,observed,any,all,HOMBRE,60-64,9,39242
2024,sin_rett,observed,any,all,HOMBRE,65-69,5,41306
2024,sin_rett,observed,any,all,HOMBRE,70-74,1,37991
2024,sin_rett,observed,any,all,HOMBRE,75-79,2,33583
2024,sin_rett,observed,any,all,HOMBRE,80+,0,39242
2024,sin_rett,observed,any,all,HOMBRE,unknown,3,41
2024,sin_rett,observed,any,all,MUJER,0-4,348,35586
2024,sin_rett,observed,any,all,MUJER,5-9,586,15447
2024,sin_rett,observed,any,all,MUJER,10-14,893,17052
2024,sin_rett,observed,any,all,MUJER,15-19,585,21394
2024,sin_rett,observed,any,all,MUJER,20-24,178,40993
2024,sin_rett,observed,any,all,MUJER,25-29,112,57360
2024,sin_rett,observed,any,all,MUJER,30-34,65,61622
2024,sin_rett,observed,any,all,MUJER,35-39,45,51190
2024,sin_rett,observed,any,all,MUJER,40-44,25,35331
2024,sin_rett,observed,any,all,MUJER,45-49,11,29494
2024,sin_rett,observed,any,all,MUJER,50-54,8,29650
2024,sin_rett,observed,any,all,MUJER,55-59,6,33671
2024,sin_rett,observed,any,all,MUJER,60-64,2,38383
2024,sin_rett,observed,any,all,MUJER,65-69,3,39552
2024,sin_rett,observed,any,all,MUJER,70-74,3,38318
2024,sin_rett,observed,any,all,MUJER,75-79,1,35225
2024,sin_rett,observed,any,all,MUJER,80+,7,52341
2024,sin_rett,observed,any,all,MUJER,unknown,0,14
2024,sin_rett,observed,any,all,unknown,0-4,1,20
2024,sin_rett,observed,any,all,unknown,5-9,0,3
2024,sin_rett,observed,any,all,unknown,10-14,1,2
2024,sin_rett,observed,any,all,unknown,15-19,2,7
2024,sin_rett,observed,any,all,unknown,20-24,0,3
2024,sin_rett,observed,any,all,unknown,25-29,0,5
2024,sin_rett,observed,any,all,unknown,30-34,0,8
2024,sin_rett,observed,any,all,unknown,35-39,0,4
2024,sin_rett,observed,any,all,unknown,40-44,0,5
2024,sin_rett,observed,any,all,unknown,45-49,0,6
2024,sin_rett,observed,any,all,unknown,50-54,0,6
2024,sin_rett,observed,any,all,unknown,55-59,0,6
2024,sin_rett,observed,any,all,unknown,60-64,0,6
