year,variant,panel,activity,depth_bin,n_total,n_f84_any,share_f84_within_bin,rate_per_100k_episodes,rate_lo,rate_hi
2019,sin_rett,observed,all,0,77,0,0.0,0.0,0.0,4790.752537810306
2019,sin_rett,observed,all,1,200436,26,0.000129717216468,12.971721646809954,8.473559248636143,19.00657770217178
2019,sin_rett,observed,all,2,196575,411,0.0020908050362457,209.0805036245708,189.35309723856187,230.30468959815968
2019,sin_rett,observed,all,3,166601,491,0.0029471611815055,294.7161181505513,269.2209955127858,321.97487961580833
2019,sin_rett,observed,all,4,147586,437,0.0029609854593254,296.098545932541,268.98422887003096,325.20550173043114
2019,sin_rett,observed,all,5,117712,275,0.0023362104118526,233.62104118526577,206.82253416141856,262.92810395449385
2019,sin_rett,observed,all,6-7,155876,328,0.0021042367009674,210.42367009674356,188.26501630700864,234.4735544198598
2019,sin_rett,observed,all,8-10,104872,205,0.0019547639026622,195.47639026622932,169.63193714574078,224.14527001836447
2019,sin_rett,observed,all,11+,61740,161,0.0026077097505668,260.77097505668934,222.0458529534065,304.3075909128425
2020,sin_rett,observed,all,0,1,0,0.0,0.0,0.0,368887.9454113936
2020,sin_rett,observed,all,1,101093,17,0.0001681619894552,16.816198945525407,9.79605558209499,26.924363522604548
2020,sin_rett,observed,all,2,107903,174,0.0016125594283754,161.25594283754853,138.18529744959417,187.07697212423471
2020,sin_rett,observed,all,3,104578,293,0.0028017365028973,280.1736502897359,249.00818540688667,314.16099044188786
2020,sin_rett,observed,all,4,100242,279,0.0027832644999102,278.3264499910217,246.62251685998584,312.9757092618201
2020,sin_rett,observed,all,5,83819,201,0.0023980243142962,239.80243142962811,207.79494553644824,275.3445521407624
2020,sin_rett,observed,all,6-7,119956,302,0.0025175897829204,251.7589782920404,224.16242061621423,281.81495144763323
2020,sin_rett,observed,all,8-10,92485,206,0.0022273882251175,222.73882251175863,193.35894036409837,255.3212455917391
2020,sin_rett,observed,all,11+,71835,137,0.0019071483260249,190.7148326024918,160.117678615993,225.45612123348425
2021,sin_rett,observed,all,1,100467,22,0.0002189773756556,21.897737565568793,13.723195549015706,33.1534378324477
2021,sin_rett,observed,all,2,105595,310,0.0029357450636867,293.57450636867276,261.80024294461265,328.14198617209166
2021,sin_rett,observed,all,3,103579,449,0.0043348555209067,433.48555209067473,394.31180129686254,475.4979421210688
2021,sin_rett,observed,all,4,98890,384,0.0038831024370512,388.31024370512694,350.43831816258506,429.15915346518784
2021,sin_rett,observed,all,5,85559,301,0.0035180401827978,351.8040182797835,313.17889094133307,393.87741918506464
2021,sin_rett,observed,all,6-7,127103,395,0.0031077157895565,310.77157895565017,280.8762299623284,342.9825689550031
2021,sin_rett,observed,all,8-10,104213,303,0.0029075067410016,290.75067410016027,258.93114360814576,325.4010653651898
2021,sin_rett,observed,all,11+,91503,203,0.0022185064970547,221.85064970547413,192.38023455266196,254.55851248164052
2022,sin_rett,observed,all,0,2,0,0.0,0.0,0.0,184443.9727056968
2022,sin_rett,observed,all,1,125543,39,0.0003106505340799,31.065053407995663,22.09028977277624,42.46695065900357
2022,sin_rett,observed,all,2,123908,506,0.004083674984666,408.3674984666043,373.55647758877967,445.54930115966374
2022,sin_rett,observed,all,3,119905,723,0.0060297735707435,602.9773570743505,559.8203981503682,648.5783802827318
2022,sin_rett,observed,all,4,113886,672,0.0059006374795848,590.0637479584848,546.2880509403028,636.4138595178713
2022,sin_rett,observed,all,5,97415,512,0.0052558640866396,525.5864086639634,481.0405935409718,573.1475045035395
2022,sin_rett,observed,all,6-7,141937,669,0.0047133587436679,471.3358743667966,436.29156725777455,508.4458736076321
2022,sin_rett,observed,all,8-10,113756,450,0.0039558352965997,395.583529659974,359.87375567464085,433.8779439708413
2022,sin_rett,observed,all,11+,96487,288,0.0029848580637806,298.4858063780613,265.00497507134173,335.025647355624
2023,sin_rett,observed,all,1,133708,25,0.0001869746013701,18.69746013701499,12.100010356769474,27.601139570953393
2023,sin_rett,observed,all,2,134586,734,0.0054537619068848,545.3761906884818,506.630117542674,586.2995216161906
2023,sin_rett,observed,all,3,130654,1141,0.008732989422444,873.2989422444012,823.3557062019181,925.4795336234324
2023,sin_rett,observed,all,4,126193,1025,0.0081224790598527,812.2479059852765,763.2776716181057,863.5358423415244
2023,sin_rett,observed,all,5,108737,894,0.0082216724757902,822.1672475790209,769.1496283030511,877.876612175205
2023,sin_rett,observed,all,6-7,160336,1225,0.0076402055683065,764.0205568306557,721.8299510191177,808.0337043590948
2023,sin_rett,observed,all,8-10,130563,812,0.0062192198402303,621.9219840230387,579.8754054833015,666.2115578453822
2023,sin_rett,observed,all,11+,114810,567,0.0049385941991115,493.85941991115754,454.0406379148491,536.2347817600001
2024,sin_rett,observed,all,1,133658,22,0.0001645992009456,16.45992009456972,10.31534429082405,24.920516831858347
2024,sin_rett,observed,all,2,132641,879,0.0066269102313764,662.6910231376422,619.6002676932546,707.9886368147161
2024,sin_rett,observed,all,3,129028,1378,0.0106798524351303,1067.985243513036,1012.3345973881096,1125.8994318995276
2024,sin_rett,observed,all,4,126976,1335,0.0105137978830645,1051.3797883064517,995.7309460097016,1109.329082471104
2024,sin_rett,observed,all,5,111752,1160,0.0103801274250125,1038.012742501253,979.1307309090636,1099.5103294022606
2024,sin_rett,observed,all,6-7,170027,1771,0.0104159927540919,1041.5992754091997,993.6477996310462,1091.2666631274326
2024,sin_rett,observed,all,8-10,144995,1302,0.008979619986896,897.96199868961,849.8431121183249,948.0956835824716
2024,sin_rett,observed,all,11+,136736,884,0.0064650128715188,646.501287151884,604.5803150542864,690.5629582206698
