year,variant,position,panel,activity,n_episodes_cell,n_invalid_dates,n_valid_dates,mean_days,sd_days,median_days,q25_days,q75_days,p90_days,max_days,total_days,n_los_zero,unit,denominator,script
2019,all_episodes,all,fixed65,all,1151475,20,1151455,5.2613,12.7664,2.0,1.0,5.0,12.0,2322.0,6058095.0,252823,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,all_episodes,all,fixed65,cma,146948,0,146948,0.0778,0.3997,0.0,0.0,0.0,0.0,31.0,11434.0,136403,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,all_episodes,all,fixed65,hospitalisation,886627,2,886625,6.7146,14.2137,3.0,2.0,7.0,15.0,2322.0,5953330.0,43957,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,all_episodes,all,fixed65,other,117900,18,117882,0.7917,1.6978,0.0,0.0,1.0,2.0,212.0,93331.0,72463,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,all_episodes,all,observed,all,1151475,20,1151455,5.2613,12.7664,2.0,1.0,5.0,12.0,2322.0,6058095.0,252823,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,all_episodes,all,observed,cma,146948,0,146948,0.0778,0.3997,0.0,0.0,0.0,0.0,31.0,11434.0,136403,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,all_episodes,all,observed,hospitalisation,886627,2,886625,6.7146,14.2137,3.0,2.0,7.0,15.0,2322.0,5953330.0,43957,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,all_episodes,all,observed,other,117900,18,117882,0.7917,1.6978,0.0,0.0,1.0,2.0,212.0,93331.0,72463,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,fixed65,all,2385,0,2385,7.8491,24.7269,2.0,0.0,6.0,17.0,557.0,18720.0,627,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,fixed65,cma,168,0,168,0.0476,0.2136,0.0,0.0,0.0,0.0,1.0,8.0,160,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,fixed65,hospitalisation,1960,0,1960,9.4179,27.0061,3.0,1.0,8.0,21.0,557.0,18459.0,280,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,fixed65,other,257,0,257,0.9844,2.5708,0.0,0.0,1.0,3.0,22.0,253.0,187,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,observed,all,2385,0,2385,7.8491,24.7269,2.0,0.0,6.0,17.0,557.0,18720.0,627,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,observed,cma,168,0,168,0.0476,0.2136,0.0,0.0,0.0,0.0,1.0,8.0,160,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,observed,hospitalisation,1960,0,1960,9.4179,27.0061,3.0,1.0,8.0,21.0,557.0,18459.0,280,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,any,observed,other,257,0,257,0.9844,2.5708,0.0,0.0,1.0,3.0,22.0,253.0,187,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,principal,fixed65,all,241,0,241,14.2116,23.8763,5.0,1.0,18.0,35.0,196.0,3425.0,35,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,principal,fixed65,cma,1,0,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
