year,level,source_file,n_total_raw,n_weight_present_positive,n_weight_missing,n_positive_all,n_positive_weight_valid,n_filter_yesno_all,n_filter_yesno_weight_valid,n_explicit_outcome_complete_case,n_item_blank_filter_yes,n_item_positive_filter_not_yes,n_item_nonempty,item_observed_values,weighted_numerator_full,weighted_denominator_full,weighted_denominator_filter_valid,weighted_numerator_filter_valid,weighted_denominator_complete_case,weighted_numerator_complete_case,design_inference_defensible,include_in_central_evidence,weighted_pct_full,weighted_pct_filter_valid,weighted_pct_complete_case,saved_pct_full,saved_pct_filter_valid,note
2023,parvularia,microdata/2023/eve_2023_parvularia_desidentificado.csv,261098,261098,0,11388,11388,252056,252056,195810,56246,0,11388,"{"""": 249710, ""y"": 11388}",11388.0,261098.0,252056.0,11388.0,195810.0,11388.0,False,False,4.361580709159013,4.518043609356651,5.815841887544048,,,No public expansion weights; weighted columns use unit weights only for arithmetic audit.
2023,basico1,microdata/2023/eve_2023_1ero_basico_desidentificado.csv,159887,159887,0,6660,6660,154807,154807,119526,35281,0,6660,"{"""": 153227, ""y"": 6660}",6660.0,159887.0,154807.0,6660.0,119526.0,6660.0,False,False,4.165441843301832,4.30213104058602,5.572009437277245,,,No public expansion weights; weighted columns use unit weights only for arithmetic audit.
2023,basico5,microdata/2023/eve_2023_5to_basico_desidentificado.csv,166218,166218,0,4822,4822,160157,160157,124543,35614,0,4822,"{"""": 161396, ""y"": 4822}",4822.0,166218.0,160157.0,4822.0,124543.0,4822.0,False,False,2.901009517621437,3.0107956567618026,3.871755136780068,,,No public expansion weights; weighted columns use unit weights only for arithmetic audit.
2023,medio1,microdata/2023/eve_2023_1ero_medio_desidentificado.csv,178466,178466,0,4618,4618,169554,169554,125178,44376,0,4618,"{"""": 173848, ""y"": 4618}",4618.0,178466.0,169554.0,4618.0,125178.0,4618.0,False,False,2.5876077236000135,2.723616075114713,3.689146655163048,,,No public expansion weights; weighted columns use unit weights only for arithmetic audit.
2024,parvularia,microdata/2024/eve_2024_parvularia_desidentificado.csv,258255,258255,0,17641,17641,248804,248804,201027,47777,0,17641,"{"""": 240614, ""sí"": 17641}",24343.986335,361184.63153799996,348046.57925099996,24343.986335,280356.976254,24343.986335,False,False,6.740039361956847,6.994462174398762,8.683210476968709,6.740039361956847,6.994462174398762,"Expansion weights verified; strata, PSU and school identifier not available. Complete-case means no at filter OR yes at filter with explicit ASD-category value."
2024,basico1,microdata/2024/eve_2024_1ro_basico_desidentificado.csv,154166,154166,0,10245,10245,148789,148789,116718,32071,0,10245,"{"""": 143921, ""sí"": 10245}",13371.001683999999,202487.348748,195478.790486,13371.001683999999,152835.318139,13371.001683999999,False,False,6.603376342608203,6.840129126416718,8.748633396267346,6.603376342608202,6.840129126416718,"Expansion weights verified; strata, PSU and school identifier not available. Complete-case means no at filter OR yes at filter with explicit ASD-category value."
2024,basico5,microdata/2024/eve_2024_5to_basico_desidentificado.csv,165533,165533,0,7468,7468,159738,159738,124804,34934,0,7468,"{"""": 158065, ""sí"": 7468}",10044.235699,223663.52194500004,215858.702735,10044.235699,168199.37216199999,10044.235699,False,False,4.490779547623295,4.653152998575581,5.971624965000446,4.490779547623294,4.653152998575581,"Expansion weights verified; strata, PSU and school identifier not available. Complete-case means no at filter OR yes at filter with explicit ASD-category value."
2024,medio1,microdata/2024/eve_2024_1ero_medio_desidentificado.csv,184963,184505,458,0,0,175483,175048,122592,52563,0,0,"{"""": 184963}",0.0,256487.224788,243583.25749699998,0.0,170138.06841900002,0.0,False,False,,,,,,"All ASD item values empty: not estimable, not zero."
2025,parvularia,microdata/2025/eve_2025_parvularia_desidentificado.csv,239332,239332,0,18785,18785,232421,232421,232421,0,0,62202,"{"""": 177130, ""0"": 43417, ""1"": 18785}",25699.0357645,334102.2544872,324544.79858079995,25699.0357645,324544.79858079995,25699.0357645,False,False,7.691967180510173,7.918486408310706,7.918486408310706,7.691967180510173,7.918486408310706,"Expansion weights verified; strata, PSU and school identifier not available. Complete-case means no at filter OR yes at filter with explicit ASD-category value."
2025,basico1,microdata/2025/eve_2025_1ero_basico_desidentificado.csv,148970,148970,0,12536,12536,144632,144632,144632,0,0,43552,"{"""": 105418, ""0"": 31016, ""1"": 12536}",16508.7288216,197819.3596283,192122.24281800003,16508.7288216,192122.24281800003,16508.7288216,False,False,8.345355506467964,8.592825369647043,8.592825369647043,8.345355506467964,8.592825369647043,"Expansion weights verified; strata, PSU and school identifier not available. Complete-case means no at filter OR yes at filter with explicit ASD-category value."
2025,basico5,microdata/2025/eve_2025_5to_basico_desidentificado.csv,171925,171925,0,9887,9887,167097,167097,167097,0,0,46670,"{"""": 125255, ""0"": 36783, ""1"": 9887}",13389.030974300002,234673.1623035,228196.7854298,13389.030974300002,228196.7854298,13389.030974300002,False,False,5.705395045124132,5.867317959401693,5.867317959401693,5.705395045124132,5.867317959401693,"Expansion weights verified; strata, PSU and school identifier not available. Complete-case means no at filter OR yes at filter with explicit ASD-category value."
2025,medio1,microdata/2025/eve_2025_1ero_medio_desidentificado.csv,183573,183573,0,9164,9164,176496,176496,176496,0,0,52568,"{"""": 131005, ""0"": 43404, ""1"": 9164}",13017.86893646,258740.900127,248920.80333754,13017.86893646,248920.80333754,13017.86893646,False,False,5.031237400067144,5.229723173762858,5.229723173762858,5.031237400067144,5.229723173762858,"Expansion weights verified; strata, PSU and school identifier not available. Complete-case means no at filter OR yes at filter with explicit ASD-category value."
