population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,known_count,variant,year,sex,count,col01_total,n_reporting_establishments,unknown_excluded,per,unit,script
9708512.0,16.727589150634,15.923830733607891,17.561409202609994,21.957551657037477,20.89981519815955,23.056167823648572,1624.0,strict_autism,2021,HOMBRE,1624,1624.0,449,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
9782978.0,35.42888474245777,34.25911410499703,36.62841024162043,46.94577266308747,45.39220230768613,48.54015313815744,3466.0,strict_autism,2022,HOMBRE,3466,3465.0,658,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
9848466.0,58.22226527461231,56.72492250242992,59.7491276024294,77.52877228731319,75.53088488172622,79.56729893163717,5734.0,strict_autism,2023,HOMBRE,5734,5734.0,920,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
9910500.0,82.37727662580092,80.59993728042947,84.18392967792086,110.43976815967196,108.05125171838029,112.86888670857788,8164.0,strict_autism,2024,HOMBRE,8164,8164.0,1070,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
9970025.0,88.93658742079383,87.0949616903652,90.8073474556035,120.37483766808668,117.8749987770596,122.91540878910308,8867.0,strict_autism,2025,HOMBRE,8867,8867.0,952,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
9969851.0,4.623940718873331,4.21142501811826,5.0659416825104095,6.300263891833833,5.733879273403531,6.909038600748501,461.0,strict_autism,2021,MUJER,461,461.0,449,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
10045585.0,11.696680681115136,11.03736547166687,12.3850910109115,16.29882266601207,15.375881834618864,17.26410367964327,1175.0,strict_autism,2022,MUJER,1175,1175.0,658,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
10112423.0,22.892634139216685,21.96949350493857,23.844596880241102,31.73820595229684,30.45232850139234,33.06593239318936,2315.0,strict_autism,2023,MUJER,2315,2315.0,920,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
10175877.0,36.15413197309677,34.99520309484743,37.34166207037348,50.220215597846256,48.60207192568394,51.8800116241604,3679.0,strict_autism,2024,MUJER,3679,3678.0,1070,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
10236928.0,41.89733482544763,40.65273121989811,43.17035747719111,58.90078311389695,57.14117486637728,60.702227828035355,4289.0,strict_autism,2025,MUJER,4289,4289.0,952,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
19678363.0,10.595393529431284,10.145434363548452,11.060169479810565,14.275309650951826,13.666889069126857,14.904483603157267,2085.0,strict_autism,2021,TOTAL,2085,2085.0,449,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
19828563.0,23.405629545620627,22.73703515827968,24.088892979389577,31.90236825388942,30.988408666978092,32.83706695445952,4641.0,strict_autism,2022,TOTAL,4641,4640.0,658,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
19960889.0,40.32385531526176,39.447684432118095,41.2145807198501,55.056554788276806,53.85689225056488,56.27683520264143,8049.0,strict_autism,2023,TOTAL,8049,8049.0,920,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
20086377.0,58.960359053302646,57.90319763351565,60.03197454477059,80.88880611495253,79.43366672547342,82.36452343606146,11843.0,strict_autism,2024,TOTAL,11843,11842.0,1070,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
20206953.0,65.10630276618153,63.99847392578482,66.22849715353969,90.21046533357664,88.66959335035087,91.77198675842874,13156.0,strict_autism,2025,TOTAL,13156,13156.0,952,0,100000.0,"REM A05 autism entries (sum of age x sex cells, in-era rows) per 100,000 INE resident population (base 2017); crude with exact Poisson limits; WHO-standardised with Fay-Feuer limits; place of care vs residence",study/pipeline/06_models.py
