variant,series,unit,stock_or_flow,index_base_year,year,value,index,first_year,last_year,note,script
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2019,207.12564319676935,70.53055525561885,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2020,208.8470313794903,71.11672345026595,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2021,293.66796056843543,100.0,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2022,419.3649708041795,142.80242556676592,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2023,622.6511104890692,212.02555065382032,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2024,812.1103725963864,276.54033862748696,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2019,207.12564319676935,100.0,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2020,208.8470313794903,100.83108404934951,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2021,293.66796056843543,141.78252196877955,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2022,419.3649708041795,202.46888040114996,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2023,622.6511104890692,300.61517293517863,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2024,812.1103725963864,392.08586636705405,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
