model_id,estimand,source,variant,outcome,denominator_offset,panel,activity,position,covariates,sex,years,n_obs,df_resid,apc,apc_lo,apc_hi,p_value,beta,se,dispersion,durbin_watson,dw_check,model_family,converged,note_keys,note,hospitals_first,hospitals_last,depth_coef,re_sd,re_sd_lo,re_sd_hi,stable_panel_n,script,label_note
grd_rate:con_rett:observed:all:any:none:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_any,off_episodes,panel_observed,act_all,pos_any,cov_none,,2019-2024,6,4,35.636085926041126,29.663587821538396,41.88368619459462,3.633549721431262e-40,0.304805274512985,0.0229760089954458,34.162085844266265,1.7070279546323512,"deviance residuals, chronological",fam_qp,True,not_causal_law|dw_weak,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:any:depth:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_any,off_episodes,panel_observed,act_all,pos_any,cov_depth,,2019-2024,6,3,46.710554506752054,40.70237326770645,52.97529319371319,3.6085816381629793e-72,0.3832914427674702,0.0213344722316259,6.389299022663065,3.5959132689140354,"deviance residuals, chronological",fam_qp,True,not_causal_law|depth|dw_weak,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:any:disruption:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_any,off_episodes,panel_observed,act_all,pos_any,cov_disruption,,2019-2024,6,3,32.597023319753696,28.131667346687284,37.21799581119605,1.2754129046701645e-58,0.2821444429427211,0.0174779959399592,15.033823500309303,2.7780335000425582,"deviance residuals, chronological",fam_qp,True,not_causal_law|disruption|dw_weak,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:any:depth_disruption:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_any,off_episodes,panel_observed,act_all,pos_any,cov_depth_disruption,,2019-2024,6,2,57.82316331445985,34.93093369048994,84.59926272887131,1.1504867732849869e-08,0.4563050007162399,0.0799566434423282,6.5981836296408165,3.441902339665139,"deviance residuals, chronological",fam_qp,True,not_causal_law|depth|disruption|dw_weak,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:any:none:2021-2024,est_grd_rate,src_grd,con_rett,out_f84_any,off_episodes,panel_observed,act_all,pos_any,cov_none,,2021-2024,4,2,39.9262245832964,34.01068359607451,46.10289120791131,1.8281081377655685e-52,0.3359451304629987,0.0220390740289727,11.103205229907868,2.5676873746366176,"deviance residuals, chronological",fam_qp,True,not_causal_law|dw_weak,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:any:depth:2021-2024,est_grd_rate,src_grd,con_rett,out_f84_any,off_episodes,panel_observed,act_all,pos_any,cov_depth,,2021-2024,4,1,43.880374123159925,34.46089284786045,53.959724789599825,6.200602257174945e-26,0.3638120330803209,0.0345459520352394,10.508723319135749,3.3969745997314225,"deviance residuals, chronological",fam_qp,True,df1|not_causal_law|depth|dw_weak,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:principal:none:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_principal,off_episodes,panel_observed,act_all,pos_principal,cov_none,,2019-2024,6,4,14.050858510526744,9.548158216891968,18.73863092462711,1.5814312695347022e-10,0.1314742902065366,0.0205515115953323,2.1157194806121855,2.0941497935437288,"deviance residuals, chronological",fam_qp,True,not_causal_law|principal_small|dw_weak,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:principal:depth:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_principal,off_episodes,panel_observed,act_all,pos_principal,cov_depth,,2019-2024,6,3,20.176809535263153,11.990188233861044,28.96188298135329,3.293765945078742e-07,0.1837938851802396,0.0359969924560385,1.4742472175445307,1.7038101640752623,"deviance residuals, chronological",fam_qp,True,not_causal_law|depth|principal_small|dw_weak,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:principal:disruption:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_principal,off_episodes,panel_observed,act_all,pos_principal,cov_disruption,,2019-2024,6,3,12.154864044125224,9.144298793973116,15.248470765298473,1.4232287163935952e-16,0.1147104449170411,0.0138827969546814,0.8133823195207381,1.5757016080651622,"deviance residuals, chronological",fam_qp,True,not_causal_law|disruption|principal_small|dw_weak,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
grd_rate:con_rett:observed:all:principal:depth_disruption:2019-2024,est_grd_rate,src_grd,con_rett,out_f84_principal,off_episodes,panel_observed,act_all,pos_principal,cov_depth_disruption,,2019-2024,6,2,-2.150603498774606,-16.798897489280883,15.076652913589704,0.7927384062662014,-0.0217406597559772,0.0827407689330816,0.514159468907378,2.674376669634793,"deviance residuals, chronological",fam_qp,True,not_causal_law|depth|disruption|principal_small|dw_weak,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only.",65.0,72.0,,,,,,study/pipeline/06_models.py,"estimand/source/outcome/denominator_offset/panel/activity/position/covariates/model_family are label keys (bilingual text in 06_models.py LBL); apc = 100*(exp(beta)-1) with Wald 95% CI; dispersion = Pearson chi2/df (random intercept: conditional Pearson chi2/(n - p_fixed - 1) at the MAP estimates, diagnostic only); durbin_watson on deviance residuals (weak with < 8 points; random intercept: conditional deviance residuals within hospital)"
