year,series,value,unit,source_file,source_sha256,pdf_page,table_or_figure_caption,definition,note,derived,script,pdf_page_note
2019,pie_harmonised,21012.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,"TEA (P) + TEA-Asperger (P), Apuntes 60 Tabla 6",2019–2023 desde Apuntes 60,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_harmonised,23590.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,"TEA (P) + TEA-Asperger (P), Apuntes 60 Tabla 6",2019–2023 desde Apuntes 60,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_harmonised,30882.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,"TEA (P) + TEA-Asperger (P), Apuntes 60 Tabla 6",2019–2023 desde Apuntes 60,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_harmonised,42940.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,"TEA (P) + TEA-Asperger (P), Apuntes 60 Tabla 6","Regla 2022: se adopta la suma de categorías de Apuntes 60 (28.845 + 14.095 = 42.940), fuente primaria desagregada y coherente con SINACES Tabla 1 (45.014 − 2.074 = 42.940); el 42.945 impreso por SINACES se conserva en pie_harmonised_sinaces. Diferencia: 5 estudiantes (0,01 %).",True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_harmonised,63642.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,"TEA (P) + TEA-Asperger (P), Apuntes 60 Tabla 6",2019–2023 desde Apuntes 60,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_harmonised,86475.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Estudiantes autistas en PIE (SINACES Tabla 1; TEA + TEA-Asperger),2024–2025 solo disponibles en SINACES,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_harmonised,106786.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Estudiantes autistas en PIE (SINACES Tabla 1; TEA + TEA-Asperger),2024–2025 solo disponibles en SINACES,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_harmonised_apuntes60,21012.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Suma TEA (P) + TEA-Asperger (P) calculada a partir de Tabla 6,Serie armonizada derivada; 2022 = 42.940,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_harmonised_apuntes60,23590.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Suma TEA (P) + TEA-Asperger (P) calculada a partir de Tabla 6,Serie armonizada derivada; 2022 = 42.940,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_harmonised_apuntes60,30882.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Suma TEA (P) + TEA-Asperger (P) calculada a partir de Tabla 6,Serie armonizada derivada; 2022 = 42.940,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
