year,module,code,variant,flow,category,indicator,sex,age_group,source_col,unit,count,n_rows,n_rows_cell_present,n_reporting_establishments
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,0-4,COL04,entries reported,408.0,1159,465,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,5-9,COL06,entries reported,637.0,1159,600,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,10-14,COL08,entries reported,316.0,1159,442,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,15-19,COL10,entries reported,192.0,1159,370,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,20-24,COL12,entries reported,29.0,1159,269,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,25-29,COL14,entries reported,19.0,1159,254,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,30-34,COL16,entries reported,13.0,1159,251,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,35-39,COL18,entries reported,5.0,1159,246,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,40-44,COL20,entries reported,3.0,1159,241,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,45-49,COL22,entries reported,1.0,1159,241,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,50-54,COL24,entries reported,1.0,1159,241,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,55-59,COL26,entries reported,0.0,1159,240,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,60-64,COL28,entries reported,0.0,1159,240,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,65-69,COL30,entries reported,0.0,1159,240,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,70-74,COL32,entries reported,0.0,1159,239,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,75-79,COL34,entries reported,0.0,1159,239,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,80+,COL36,entries reported,0.0,1159,242,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,total,COL02,entries reported,1624.0,1159,1159,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,0-4,COL05,entries reported,114.0,1159,317,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,5-9,COL07,entries reported,130.0,1159,346,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,10-14,COL09,entries reported,104.0,1159,314,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,15-19,COL11,entries reported,63.0,1159,291,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,20-24,COL13,entries reported,8.0,1159,248,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,25-29,COL15,entries reported,10.0,1159,247,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,30-34,COL17,entries reported,4.0,1159,244,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,35-39,COL19,entries reported,6.0,1159,245,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,40-44,COL21,entries reported,3.0,1159,240,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,45-49,COL23,entries reported,6.0,1159,242,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,50-54,COL25,entries reported,3.0,1159,242,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,55-59,COL27,entries reported,2.0,1159,241,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,60-64,COL29,entries reported,4.0,1159,240,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,65-69,COL31,entries reported,0.0,1159,240,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,70-74,COL33,entries reported,1.0,1159,239,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,75-79,COL35,entries reported,3.0,1159,241,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,80+,COL37,entries reported,0.0,1159,251,449
2021,A05,05990022,single_code,entry,autism,Entry: autism,Mujeres,total,COL03,entries reported,461.0,1159,1159,449
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,0-4,COL04,entries reported,753.0,2297,917,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,5-9,COL06,entries reported,1488.0,2297,1325,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,10-14,COL08,entries reported,726.0,2297,992,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,15-19,COL10,entries reported,344.0,2297,793,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,20-24,COL12,entries reported,86.0,2297,615,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,25-29,COL14,entries reported,25.0,2297,568,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,30-34,COL16,entries reported,18.0,2297,562,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,35-39,COL18,entries reported,12.0,2297,559,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,40-44,COL20,entries reported,3.0,2297,551,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,45-49,COL22,entries reported,4.0,2297,552,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,50-54,COL24,entries reported,1.0,2297,549,658
2022,A05,05990022,single_code,entry,autism,Entry: autism,Hombres,55-59,COL26,entries reported,1.0,2297,550,658
