year,series,sheet,code,in_era,era,indicator,found_in_dictionary,label,section,col01_meaning,col02_meaning,col03_meaning,col04_meaning,col37_meaning,n_col_tokens,age_columns,layout_check,dictionary_file,excel_row
2019,A,A03,03500404,True,2019–2024,Niños/as con control a los 18 meses,True,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,absent,absent,absent,2.0,,ok,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,201.0
2020,A,A03,03500404,True,2019–2024,Niños/as con control a los 18 meses,True,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,absent,absent,absent,2.0,,ok,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,202.0
2021,A,A03,03500404,True,2019–2024,Niños/as con control a los 18 meses,True,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,absent,absent,absent,2.0,,ok,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,208.0
2022,A,A03,03500404,True,2019–2024,Niños/as con control a los 18 meses,True,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,absent,absent,absent,2.0,,ok,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,208.0
2023,A,A03,03500404,True,2019–2024,Niños/as con control a los 18 meses,True,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,215.0
2024,A,A03,03500404,True,2019–2024,Niños/as con control a los 18 meses,True,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,217.0
2025,A,A03,03500404,False,2019–2024,Niños/as con control a los 18 meses,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03500405,True,2019–2024,Alteración de lenguaje y/o área social en control de 18 meses,True,Niños/as con alteracion de area Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,absent,absent,absent,2.0,,ok,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,202.0
2020,A,A03,03500405,True,2019–2024,Alteración de lenguaje y/o área social en control de 18 meses,True,Niños/as con alteracion de area Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,absent,absent,absent,2.0,,ok,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,203.0
2021,A,A03,03500405,True,2019–2024,Alteración de lenguaje y/o área social en control de 18 meses,True,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT),18 - 23 meses | Hombres,18 - 23 meses | Mujeres,absent,absent,absent,2.0,,ok,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,209.0
