year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2021,A,A05,05990022,single_code,True,Entry: autism,2021–2025,2021,2025,entry,mental_health,entries reported,annual_sum,01-12,sum of months; COL01,2085.0,2085.0,449,449,1159,1159,0,0,0,12,258,1522.0,Definition break in 2021; not person-linked to screening or stocks,,REM/SerieA/SerieA_2021.csv,lancet_americas/pipeline/02_rem_pathway.py
2022,A,A05,05990022,single_code,True,Entry: autism,2021–2025,2021,2025,entry,mental_health,entries reported,annual_sum,01-12,sum of months; COL01,4640.0,4640.0,658,658,2297,2296,1,0,0,12,258,2852.0,Definition break in 2021; not person-linked to screening or stocks,,REM/SerieA/SerieA_2022.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,A,A05,05990022,single_code,True,Entry: autism,2021–2025,2021,2025,entry,mental_health,entries reported,annual_sum,01-12,sum of months; COL01,8049.0,8049.0,920,920,3712,3709,3,0,0,12,258,4187.0,Definition break in 2021; not person-linked to screening or stocks,,REM/SerieA/SerieA_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,A,A05,05990022,single_code,True,Entry: autism,2021–2025,2021,2025,entry,mental_health,entries reported,annual_sum,01-12,sum of months; COL01,11842.0,11842.0,1070,1070,5020,5019,0,1,0,12,258,5694.0,Definition break in 2021; not person-linked to screening or stocks,,REM/SerieA/SerieA_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,A,A05,05990022,single_code,True,Entry: autism,2021–2025,2021,2025,entry,mental_health,entries reported,annual_sum,01-12,sum of months; COL01,13155.0,13155.0,952,952,4872,4871,0,1,0,12,258,6767.0,Definition break in 2021; not person-linked to screening or stocks,,REM/SerieA/SerieA_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,A,A28,29101629,single_code,True,Entry to primary-level rehabilitation by health condition: autism,2023–2025,2023,2025,rehabilitation,primary_care,entries reported,annual_sum,01-12,sum of months; COL01,3962.0,3962.0,264,264,978,975,3,0,0,12,97,2220.0,New from 2023; not person-linked to A05 or P2/P6,,REM/SerieA/SerieA_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,A,A28,29101629,single_code,True,Entry to primary-level rehabilitation by health condition: autism,2023–2025,2023,2025,rehabilitation,primary_care,entries reported,annual_sum,01-12,sum of months; COL01,7033.0,7033.0,313,313,1196,1195,1,0,0,12,97,3741.0,New from 2023; not person-linked to A05 or P2/P6,,REM/SerieA/SerieA_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,A,A28,29101629,single_code,True,Entry to primary-level rehabilitation by health condition: autism,2023–2025,2023,2025,rehabilitation,primary_care,entries reported,annual_sum,01-12,sum of months; COL01,15859.0,15859.0,359,359,1748,1747,0,1,0,12,97,7267.0,New from 2023; not person-linked to A05 or P2/P6,,REM/SerieA/SerieA_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,A,A28,29101651,single_code,True,Entry to hospital-level rehabilitation by health condition: autism,2023–2025,2023,2025,rehabilitation,hospital,entries reported,annual_sum,01-12,sum of months; COL01,731.0,731.0,39,39,155,155,0,0,0,12,25,653.0,New from 2023; not person-linked to GRD,,REM/SerieA/SerieA_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,A,A28,29101651,single_code,True,Entry to hospital-level rehabilitation by health condition: autism,2023–2025,2023,2025,rehabilitation,hospital,entries reported,annual_sum,01-12,sum of months; COL01,1045.0,1045.0,50,50,218,218,0,0,0,12,25,923.0,New from 2023; not person-linked to GRD,,REM/SerieA/SerieA_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,A,A28,29101651,single_code,True,Entry to hospital-level rehabilitation by health condition: autism,2023–2025,2023,2025,rehabilitation,hospital,entries reported,annual_sum,01-12,sum of months; COL01,1740.0,1740.0,43,43,218,218,0,0,0,12,25,1485.0,New from 2023; not person-linked to GRD,,REM/SerieA/SerieA_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,1854.0,1854.0,460,460,460,460,0,0,0,1,193,1040.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,1919.0,1919.0,400,400,400,400,0,0,0,1,193,1154.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2021,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,3853.0,3853.0,640,640,640,640,0,0,0,1,193,1748.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2021.csv,lancet_americas/pipeline/02_rem_pathway.py
2022,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,7923.0,7923.0,897,897,897,897,0,0,0,1,193,2997.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2022.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,13190.0,13190.0,1012,1012,1012,1012,0,0,0,1,193,4711.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,21737.0,21737.0,1218,1218,1218,1218,0,0,0,1,193,6849.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,29974.0,29974.0,1325,1325,1325,1325,0,0,0,1,193,9128.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,1502.0,1502.0,374,374,374,374,0,0,0,1,13,102.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
