domain,domain_definition,subgroup_type,subgroup,survey,survey_year,variant,source_file,source_sha256,source_documents,script,variant_note,module,item_variable,item_wording,positive_definition,estimate_type,weight_var,strata_var,psu_var,n,cases,proportion,proportion_unit,se,lo,hi,ci_method,weighted_total,weighted_population,weighted_unit,deff,rse,df,n_psu,n_strata,precision_flag,deff_note,precision_flag_original,precision_flag_revision,precision_rule_revision
ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio),total,total,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,Adultos (18+),c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,30010,72,0.0029040190258375,proportion (0-1) of persons in domain,0.0004055052657187,0.0022084155103129,0.0038178843775411,"logit, t with df = PSU - strata (Taylor linearisation)",44594.0,15355960.0,persons (survey expansion weights),1.704207878256826,0.1396358846518982,8445,8477,32,adequate,DEFF = 1.70 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 14.0 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); sexo = Hombre,sex,Hombre,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,Adultos (18+),c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,12696,48,0.0043868250561825,proportion (0-1) of persons in domain,0.0007306093133614,0.0031642718987192,0.0060788453666362,"logit, t with df = PSU - strata (Taylor linearisation)",32927.0,7505884.0,persons (survey expansion weights),1.5516593097040612,0.1665462615911198,8445,8477,32,adequate,DEFF = 1.55 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 16.7 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); sexo = Mujer,sex,Mujer,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,Adultos (18+),c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,17314,24,0.0014862276492609,proportion (0-1) of persons in domain,0.0003533457239233,0.0009324498896256,0.002368111942271,"logit, t with df = PSU - strata (Taylor linearisation)",11667.0,7850076.0,persons (survey expansion weights),1.456658331741079,0.2377467032718892,8445,8477,32,imprecise,"DEFF = 1.46 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 23.8 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",imprecise,imprecise,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 18-29,age_group,18-29,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,Adultos (18+),c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,5953,36,0.0062264205281801,proportion (0-1) of persons in domain,0.0012117850051268,0.0042499010324368,0.009113754950125,"logit, t with df = PSU - strata (Taylor linearisation)",21620.0,3472300.0,persons (survey expansion weights),1.4127364000268414,0.1946198461286816,8445,8477,32,adequate,DEFF = 1.41 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 19.5 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 30-44,age_group,30-44,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,Adultos (18+),c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,6820,22,0.0033308273908577,proportion (0-1) of persons in domain,0.000830826720782,0.0020419887984188,0.0054287148879695,"logit, t with df = PSU - strata (Taylor linearisation)",15188.0,4559828.0,persons (survey expansion weights),1.4180845752595703,0.2494355375671596,8445,8477,32,imprecise,"DEFF = 1.42 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 24.9 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",imprecise,imprecise,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 45-59,age_group,45-59,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,Adultos (18+),c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,8066,9,0.0015190979795379,proportion (0-1) of persons in domain,0.0005927147173945,0.0007067536750912,0.0032621046860586,"logit, t with df = PSU - strata (Taylor linearisation)",5659.0,3725237.0,persons (survey expansion weights),1.868203112411824,0.3901754365935095,8445,8477,32,imprecise,"DEFF = 1.87 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 39.0 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud; EE relativo > 30 %",imprecise,imprecise,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 60+,age_group,60+,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,Adultos (18+),c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,9171,5,0.0005910640124826,proportion (0-1) of persons in domain,0.000288575684864,0.0002269365670527,0.0015385472291082,"logit, t with df = PSU - strata (Taylor linearisation)",2127.0,3598595.0,persons (survey expansion weights),1.292880596175622,0.4882308493997874,8445,8477,32,imprecise,"DEFF = 1.29 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 48.8 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud; EE relativo > 30 %",imprecise,imprecise,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido),total,total,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,5526,163,0.0286746815962574,proportion (0-1) of persons in domain,0.0027836556438955,0.0236938761781233,0.0346653495930094,"logit, t with df = PSU - strata (Taylor linearisation)",114497.0,3992965.0,persons (survey expansion weights),1.5373706502065403,0.0970771247991429,8445,8477,32,adequate,DEFF = 1.54 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 9.7 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); sexo = Hombre,sex,Hombre,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,2880,129,0.045696441164767,proportion (0-1) of persons in domain,0.0048953456446001,0.0370043606822298,0.0563108456293203,"logit, t with df = PSU - strata (Taylor linearisation)",92789.0,2030552.0,persons (survey expansion weights),1.58266970202449,0.1071275031451361,8445,8477,32,adequate,DEFF = 1.58 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 10.7 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); sexo = Mujer,sex,Mujer,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,2646,34,0.0110618916609296,proportion (0-1) of persons in domain,0.0021904406310427,0.0074977296952953,0.0162925206160945,"logit, t with df = PSU - strata (Taylor linearisation)",21708.0,1962413.0,persons (survey expansion weights),1.1605244642464043,0.1980168219129564,8445,8477,32,adequate,DEFF = 1.16 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 19.8 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
