survey,survey_year,variant,module,domain,domain_definition,subgroup_type,subgroup,estimate_type,item_variable,item_wording,positive_definition,weight_var,strata_var,psu_var,n,cases,proportion,proportion_unit,se,lo,hi,ci_method,weighted_total,weighted_population,weighted_unit,deff,rse,df,n_psu,n_strata,precision_flag,deff_note,variant_note,source_file,source_sha256,source_documents,script
ENDIDE 2022,2022,both,Adultos (18+),ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio),total,total,primary,c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,30010,72,0.002904019025837525,proportion (0-1) of persons in domain,0.0004055052657187664,0.0022084155103129525,0.0038178843775411348,"logit, t with df = PSU - strata (Taylor linearisation)",44594.0,15355960.0,persons (survey expansion weights),1.704207878256826,0.1396358846518982,8445,8477,32,adequate,DEFF = 1.70 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 14.0 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,Adultos (18+),ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); sexo = Hombre,sex,Hombre,primary,c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,12696,48,0.004386825056182589,proportion (0-1) of persons in domain,0.0007306093133614646,0.0031642718987192754,0.006078845366636257,"logit, t with df = PSU - strata (Taylor linearisation)",32927.0,7505884.0,persons (survey expansion weights),1.5516593097040612,0.16654626159111985,8445,8477,32,adequate,DEFF = 1.55 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 16.7 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,Adultos (18+),ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); sexo = Mujer,sex,Mujer,primary,c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,17314,24,0.0014862276492609754,proportion (0-1) of persons in domain,0.0003533457239233266,0.0009324498896256186,0.0023681119422710156,"logit, t with df = PSU - strata (Taylor linearisation)",11667.0,7850076.0,persons (survey expansion weights),1.456658331741079,0.23774670327188924,8445,8477,32,imprecise,"DEFF = 1.46 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 23.8 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,Adultos (18+),ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 18-29,age_group,18-29,primary,c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,5953,36,0.006226420528180169,proportion (0-1) of persons in domain,0.0012117850051268889,0.004249901032436853,0.009113754950125008,"logit, t with df = PSU - strata (Taylor linearisation)",21620.0,3472300.0,persons (survey expansion weights),1.4127364000268414,0.1946198461286816,8445,8477,32,adequate,DEFF = 1.41 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 19.5 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,Adultos (18+),ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 30-44,age_group,30-44,primary,c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,6820,22,0.0033308273908577253,proportion (0-1) of persons in domain,0.0008308267207820164,0.0020419887984188894,0.005428714887969589,"logit, t with df = PSU - strata (Taylor linearisation)",15188.0,4559828.0,persons (survey expansion weights),1.4180845752595703,0.24943553756715964,8445,8477,32,imprecise,"DEFF = 1.42 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 24.9 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,Adultos (18+),ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 45-59,age_group,45-59,primary,c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,8066,9,0.0015190979795379463,proportion (0-1) of persons in domain,0.0005927147173945364,0.0007067536750912358,0.0032621046860586097,"logit, t with df = PSU - strata (Taylor linearisation)",5659.0,3725237.0,persons (survey expansion weights),1.868203112411824,0.39017543659350956,8445,8477,32,imprecise,"DEFF = 1.87 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 39.0 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud; EE relativo > 30 %",Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,Adultos (18+),ENDIDE adultos 18+: autismo reportado,Personas seleccionadas de 18 años o más con cuestionario adulto (c26_33 no perdido); autorreporte o con ayuda/por tercero (forma_ent_adulto_inicio); edad 60+,age_group,60+,primary,c26_33,Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),c26_33 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,9171,5,0.0005910640124826494,proportion (0-1) of persons in domain,0.0002885756848640505,0.00022693656705276508,0.001538547229108228,"logit, t with df = PSU - strata (Taylor linearisation)",2127.0,3598595.0,persons (survey expansion weights),1.292880596175622,0.48823084939978745,8445,8477,32,imprecise,"DEFF = 1.29 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 48.8 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud; EE relativo > 30 %",Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido),total,total,primary,n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,5526,163,0.02867468159625742,proportion (0-1) of persons in domain,0.0027836556438955696,0.023693876178123345,0.0346653495930094,"logit, t with df = PSU - strata (Taylor linearisation)",114497.0,3992965.0,persons (survey expansion weights),1.5373706502065403,0.09707712479914297,8445,8477,32,adequate,DEFF = 1.54 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 9.7 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); sexo = Hombre,sex,Hombre,primary,n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,2880,129,0.04569644116476702,proportion (0-1) of persons in domain,0.004895345644600107,0.03700436068222983,0.05631084562932033,"logit, t with df = PSU - strata (Taylor linearisation)",92789.0,2030552.0,persons (survey expansion weights),1.58266970202449,0.10712750314513614,8445,8477,32,adequate,DEFF = 1.58 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 10.7 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); sexo = Mujer,sex,Mujer,primary,n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,2646,34,0.011061891660929682,proportion (0-1) of persons in domain,0.0021904406310427303,0.0074977296952953645,0.016292520616094583,"logit, t with df = PSU - strata (Taylor linearisation)",21708.0,1962413.0,persons (survey expansion weights),1.1605244642464043,0.19801682191295641,8445,8477,32,adequate,DEFF = 1.16 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 19.8 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
