Región,"GRD registros 2019–2024, n",TEE registros (IC 95 %),TEE personas 2021–2024,RHE personas (IC 95 %),"REM ingresos 2021–2024, n",TEE ingresos (IC 95 %),RIE ingresos (IC 95 %)
Arica y Parinacota,592,"47,0
(43,3-51,0)","47,4","1,62
(1,47-1,79)*",431,"52,6
(47,8-57,9)","1,15
(1,04-1,26)*"
Tarapacá,596,"29,0
(26,7-31,5)","29,8","1,00
(0,90-1,10)",344,"25,0
(22,4-27,8)","0,55
(0,49-0,61)*"
Antofagasta,1.453,"42,6
(40,4-44,9)","45,7","1,52
(1,43-1,61)*",850,"37,4
(34,9-40,0)","0,82
(0,77-0,88)*"
Atacama,356,"22,1
(19,9-24,6)","22,1","0,75
(0,65-0,85)*",1.119,"107,3
(101,1-113,8)","2,32
(2,19-2,46)*"
Coquimbo,1.469,"36,8
(34,9-38,7)","39,3","1,31
(1,24-1,40)*",1.639,"60,1
(57,3-63,2)","1,34
(1,27-1,41)*"
Valparaíso,2.445,"28,2
(27,1-29,3)","29,6","1,00
(0,96-1,05)",3.000,"52,5
(50,6-54,4)","1,15
(1,11-1,20)*"
Metropolitana,8.061,"22,3
(21,8-22,8)","23,2","0,78
(0,76-0,80)*",6.415,"26,6
(25,9-27,3)","0,59
(0,58-0,60)*"
O'Higgins,905,"20,1
(18,8-21,5)","20,9","0,70
(0,65-0,76)*",977,"32,3
(30,3-34,4)","0,72
(0,67-0,76)*"
Maule,1.252,"24,2
(22,9-25,6)","26,7","0,89
(0,83-0,95)*",1.328,"38,6
(36,6-40,8)","0,84
(0,80-0,89)*"
Ñuble,1.249,"55,0
(52,0-58,2)","60,2","2,05
(1,92-2,19)*",2.380,"161,4
(155,0-168,1)","3,53
(3,39-3,67)*"
Biobío,3.229,"43,1
(41,6-44,6)","44,0","1,49
(1,43-1,55)*",3.840,"78,2
(75,7-80,7)","1,72
(1,66-1,77)*"
La Araucanía,1.477,"30,9
(29,4-32,6)","33,6","1,14
(1,07-1,21)*",1.705,"54,2
(51,7-56,9)","1,20
(1,14-1,26)*"
Los Ríos,402,"22,3
(20,1-24,6)","19,7","0,67
(0,59-0,76)*",740,"64,4
(59,8-69,3)","1,37
(1,27-1,47)*"
Los Lagos,1.179,"29,0
(27,3-30,7)","30,5","1,03
(0,96-1,11)",1.390,"52,1
(49,4-54,9)","1,15
(1,09-1,21)*"
Aysén,195,"37,4
(32,2-43,1)","37,2","1,27
(1,06-1,51)*",331,"95,8
(85,6-106,8)","2,10
(1,88-2,34)*"
Magallanes,376,"47,3
(42,6-52,4)","42,2","1,47
(1,28-1,67)*",129,"24,7
(20,6-29,4)","0,56
(0,47-0,67)*"
Chile,25.236,"28,5
(28,1-28,8)","29,7",1 (referencia),26.618,"45,3
(44,8-45,9)",1 (referencia)
