Indicador,2019–2020,2021–2024
"Identificadores con código TEA antes de los controles, n",3.085,15.627
"Identificadores incluidos, n",3.029,15.493
"Edad al ingreso índice, mediana (Q1–Q3), años","9,0 (4,9-14,3)","9,4 (5,4-14,6)"
"Primer registro con código solo secundario, % (IC 95 %)","91,9 (90,9-92,8)","95,5 (95,2-95,8)"
"Primer registro con código principal, % (IC 95 %)","7,9 (7,0-8,9)","4,4 (4,1-4,7)"
"Con hospitalizaciones previas observables, % (IC 95 %)","14,1 (12,9-15,4)","16,9 (16,3-17,5)"
"Con grupo diagnóstico previo de interés, % (IC 95 %)","8,0 (7,1-9,0)","7,9 (7,5-8,4)"
"Días del primer egreso previo al ingreso índice, mediana",146,440
"Con al menos 365 días calendario previos, n",1.102,13.529
"Con contacto hospitalario ≥ 365 días antes del índice, n",73,1.501
"Índices secundarios con 365 días de seguimiento disponibles, n",1.743,8.978
"Transición a diagnóstico principal en 365 días, % (IC 95 %)","0,6 (0,4-1,1)","0,7 (0,6-0,9)"
"Días hasta el episodio principal, mediana",107,150
Grupos diagnósticos previos (todo el período previo),,
"  Ánimo, ansiedad y estrés, % (IC 95 %)","1,3 (0,9-1,8)","3,1 (2,9-3,4)"
"  Epilepsia, % (IC 95 %)","4,1 (3,5-4,9)","2,5 (2,2-2,7)"
"  Signos del desarrollo y del habla, % (IC 95 %)","1,8 (1,4-2,3)","1,4 (1,3-1,6)"
"  Lenguaje, aprendizaje y desarrollo, % (IC 95 %)","2,0 (1,6-2,6)","1,4 (1,3-1,6)"
"  Conducta y emociones en la infancia, % (IC 95 %)","0,5 (0,3-0,8)","1,0 (0,8-1,1)"
"  Discapacidad intelectual, % (IC 95 %)","1,4 (1,0-1,8)","0,9 (0,8-1,1)"
