"key","kind","doi","url","verification_method","verification_url","accessed","priority","why_needed","status"
"vonelm2007","article","10.1016/S0140-6736(07)61602-X","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/authors(6)/Lancet 370(9596):1453-1457/2007 all match","https://api.crossref.org/works/10.1016/S0140-6736(07)61602-X","2026-09-04","core","Reporting guideline cited in Methods (observational study reporting); Lancet version preferred for a Lancet-family journal.","audited"
"vonelm2007plos","article","10.1371/journal.pmed.0040296","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/authors/PLoS Medicine 4(10):e296/2007 match (Crossref adds group author 'for the STROBE Initiative')","https://api.crossref.org/works/10.1371/journal.pmed.0040296","2026-09-04","optional","Alternative (open-access) version of the STROBE statement; use only if the Lancet version is not preferred.","audited"
"benchimol2015","article","10.1371/journal.pmed.1001885","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/authors(10)/PLOS Medicine 12(10):e1001885/2015 match","https://api.crossref.org/works/10.1371/journal.pmed.1001885","2026-09-04","core","RECORD extension of STROBE for routinely collected administrative health data; the manuscript uses GRD, REM and education records.","audited"
"heidari2016","article","10.1186/s41073-016-0007-6","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/authors(5)/Research Integrity and Peer Review 1(1), article-number 2/2016 match","https://api.crossref.org/works/10.1186/s41073-016-0007-6","2026-09-04","core","SAGER guidelines for sex-disaggregated reporting; Lancet journals request SAGER compliance and the study reports male:female ratios.","audited"
"ahmad2001","techreport","","https://cdn.who.int/media/docs/default-source/gho-documents/global-health-estimates/gpe_discussion_paper_series_paper31_2001_age_standardization_rates.pdf","Official WHO PDF fetched and cover page read with pdftotext (title, authors, series number and year confirmed verbatim: 'AGE STANDARDIZATION OF RATES: A NEW WHO STANDARD ... GPE Discussion Paper Series: No.31, EIP/GPE/EBD, World Health Organization 2001') || RE-AUDIT 2026-09-04: WHO PDF re-fetched (HTTP 200, 78 kB) and cover read with pdftotext: 'AGE STANDARDIZATION OF RATES: A NEW WHO STANDARD', six authors, 'GPE Discussion Paper Series: No.31 EIP/GPE/EBD', 'World Health Organization 2001' match","https://cdn.who.int/media/docs/default-source/gho-documents/global-health-estimates/gpe_discussion_paper_series_paper31_2001_age_standardization_rates.pdf","2026-09-04","core","Source of the WHO World Standard Population used for direct age standardisation of rates.","audited"
"fay1997","article","10.1002/(SICI)1097-0258(19970415)16:7<791::AID-SIM500>3.0.CO;2-#","","Crossref DOI resolution (api.crossref.org); existing bib DOI confirmed correct (Crossref returns title in capitals) || RE-AUDIT 2026-09-04: Crossref: title (capitals)/FAY & FEUER/Statistics in Medicine 16(7):791-801/1997 match","https://api.crossref.org/works/10.1002/(SICI)1097-0258(19970415)16:7%3C791::AID-SIM500%3E3.0.CO;2-%23","2026-09-04","core","Gamma-distribution confidence intervals for directly age-standardised rates.","audited"
"clegg2009","article","10.1002/sim.3733","","Crossref DOI resolution (api.crossref.org); existing bib DOI confirmed correct || RE-AUDIT 2026-09-04: Crossref: title/authors(5)/Statistics in Medicine 28(29):3670-3682/2009 match","https://api.crossref.org/works/10.1002/sim.3733","2026-09-04","core","Average annual percent change (AAPC) for 2019-2025 trend summaries.","audited"
"breslow1987","book","","https://publications.iarc.who.int/Book-And-Report-Series/Iarc-Scientific-Publications/Statistical-Methods-In-Cancer-Research-Volume-II-The-Design-And-Analysis-Of-Cohort-Studies-1986","PubMed esummary PMID 3329634 (pubdate 1987, IARC Sci Publ issue 82, pages 1-406); IARC publications landing page also fetched (lists year 1986, ISBN 978-92-832-0182-3) -- year discrepancy noted, PubMed year used || RE-AUDIT 2026-09-04: PubMed esummary PMID 3329634 (Breslow NE, Day NE; IARC Sci Publ 1987;(82):1-406) matches; official IARC PDF front matter (SP82_vol2-0.pdf) reads 'IARC Scientific Publications No. 82', 'ISBN 92 832 1182 0', copyright 1987 -> year 1987 retained (IARC web page lists 1986); ISBN added to bib","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=3329634&retmode=json","2026-09-04","core","Standard reference for indirect standardisation, SIR/SMR and Poisson-based rate comparisons.","audited"
"ulm1990","article","10.1093/oxfordjournals.aje.a115507","","Crossref DOI resolution (api.crossref.org); DOI was missing from existing bib (Crossref title is in capitals: 'SIMPLE METHOD TO CALCULATE THE CONFIDENCE INTERVAL OF A STANDARDIZED MORTALITY RATIO (SMR)') || RE-AUDIT 2026-09-04: Crossref: 'SIMPLE METHOD TO CALCULATE ...' (capitals, leading article dropped)/ULM K/Am J Epidemiol 131(2):373-375/1990; PubMed esummary PMID 2296988 (found by DOI search) gives title 'A simple method to calculate the confidence interval of a standardized mortality ratio (SMR)', pages 373-5, same DOI -> bib title retained","https://api.crossref.org/works/10.1093/oxfordjournals.aje.a115507","2026-09-04","supporting","Exact Poisson-based confidence intervals for standardised ratios (SIR/SMR).","audited"
"marshall1991","article","10.2307/2347593","","Crossref DOI resolution (api.crossref.org); existing bib DOI confirmed correct || RE-AUDIT 2026-09-04: Crossref (JSTOR deposit): title/Marshall/Applied Statistics 40(2), first page 283/1991; container in bib changed to Crossref's 'Applied Statistics' (JRSS-C alias moved to annote); pages 283-294 confirmed by zbMATH Open (J. R. Stat. Soc., Ser. C 40, No. 2, 283-294) and Semantic Scholar (283-94); JSTOR/OUP landing pages bot-blocked this session","https://api.crossref.org/works/10.2307/2347593","2026-09-04","core","Empirical Bayes smoothing of small-area (comuna) rates.","audited"
