year,sex,hospitalizations,population,crude_rate,asr
2019,Female,1651,9683077.0,17.05,22.79
2019,Male,3948,9424139.0,41.89,52.72
2020,Female,1098,9859209.0,11.14,14.98
2020,Male,2523,9599101.0,26.28,33.39
2021,Female,1494,9969851.0,14.99,20.47
2021,Male,3317,9708512.0,34.17,43.86
2022,Female,2216,10045585.0,22.06,30.6
2022,Male,4995,9782978.0,51.06,67.02
2023,Female,3621,10112423.0,35.81,49.73
2023,Male,7397,9848466.0,75.11,99.42
2024,Female,5384,10175877.0,52.91,73.31
2024,Male,9843,9910500.0,99.32,132.67
