region,comuna,comuna_norm,hospitalizations,asr
Antofagasta,ANTOFAGASTA,ANTOFAGASTA,958,548.64
Antofagasta,CALAMA,CALAMA,418,523.96
Antofagasta,MARIA ELENA,MARIA ELENA,2,88.2
Antofagasta,MEJILLONES,MEJILLONES,26,441.32
Antofagasta,SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,10,239.77
Antofagasta,SIERRA GORDA,SIERRA GORDA,1,156.32
Antofagasta,TALTAL,TALTAL,12,209.98
Antofagasta,TOCOPILLA,TOCOPILLA,48,403.94
Arica y Parinacota,ARICA,ARICA,597,566.7
Atacama,ALTO DEL CARMEN,ALTO DEL CARMEN,4,199.76
Atacama,CALDERA,CALDERA,5,59.36
Atacama,CHAÑARAL,CHANARAL,3,59.12
Atacama,COPIAPO,COPIAPO,178,232.31
Atacama,DIEGO DE ALMAGRO,DIEGO DE ALMAGRO,6,104.27
Atacama,FREIRINA,FREIRINA,21,683.28
Atacama,HUASCO,HUASCO,13,324.31
Atacama,TIERRA AMARILLA,TIERRA AMARILLA,14,224.02
Atacama,VALLENAR,VALLENAR,109,470.96
Aysén,CHILE CHICO,CHILE CHICO,8,442.73
Aysén,CISNES,CISNES,6,260.4
Aysén,COCHRANE,COCHRANE,4,262.51
Biobío,ALTO BIOBÍO,ALTO BIOBIO,5,132.22
Biobío,ANTUCO,ANTUCO,5,350.35
Biobío,CABRERO,CABRERO,31,279.91
Biobío,CHIGUAYANTE,CHIGUAYANTE,1,2.96
Biobío,CONCEPCIÓN,CONCEPCION,6,8.1
Biobío,CORONEL,CORONEL,1,1.86
Biobío,HUALPÉN,HUALPEN,263,747.14
Biobío,LAJA,LAJA,47,524.39
Biobío,LOS ÁNGELES,LOS ANGELES,548,624.34
Biobío,LOTA,LOTA,1,6.1
Biobío,MULCHÉN,MULCHEN,48,409.7
Biobío,NACIMIENTO,NACIMIENTO,24,230.89
Biobío,NEGRETE,NEGRETE,18,474.15
Biobío,PENCO,PENCO,115,618.08
Biobío,QUILACO,QUILACO,1,74.12
Biobío,QUILLECO,QUILLECO,16,489.16
Biobío,SAN ROSENDO,SAN ROSENDO,1,73.62
Biobío,SANTA BÁRBARA,SANTA BARBARA,19,344.19
Biobío,TALCAHUANO,TALCAHUANO,424,735.21
Biobío,TOME,TOME,133,640.92
Biobío,TUCAPEL,TUCAPEL,31,586.02
Biobío,YUMBEL,YUMBEL,39,530.28
Coquimbo,ANDACOLLO,ANDACOLLO,10,224.48
Coquimbo,COMBARBALÁ,COMBARBALA,16,379.87
Coquimbo,COQUIMBO,COQUIMBO,634,581.31
Coquimbo,ILLAPEL,ILLAPEL,16,131.27
Coquimbo,LA HIGUERA,LA HIGUERA,1,58.3
Coquimbo,LA SERENA,LA SERENA,517,516.44
Coquimbo,LOS VILOS,LOS VILOS,13,136.05
