comuna,comuna_norm,hospitalizations,asr
ALGARROBO,ALGARROBO,10,158.06
ALHUÉ,ALHUE,5,186.89
ALTO BIOBÍO,ALTO BIOBIO,5,132.22
ALTO DEL CARMEN,ALTO DEL CARMEN,4,199.76
ALTO HOSPICIO,ALTO HOSPICIO,210,298.84
ANDACOLLO,ANDACOLLO,10,224.48
ANGOL,ANGOL,1,4.69
ANTÁRTICA,ANTARTICA,1,2865.81
ANTOFAGASTA,ANTOFAGASTA,964,552.08
ANTUCO,ANTUCO,5,350.35
ARAUCO,ARAUCO,1,7.09
ARICA,ARICA,598,567.64
BUIN,BUIN,147,313.22
BULNES,BULNES,40,488.46
CABILDO,CABILDO,23,283.64
CABO DE HORNOS,CABO DE HORNOS,3,317.31
CABRERO,CABRERO,32,290.23
CALAMA,CALAMA,420,526.46
CALDERA,CALDERA,5,59.36
CALERA,CALERA,53,257.12
CALERA DE TANGO,CALERA DE TANGO,21,181.1
CALLE LARGA,CALLE LARGA,11,155.29
CAMIÑA,CAMINA,1,158.49
CARTAGENA,CARTAGENA,23,247.02
CASABLANCA,CASABLANCA,29,251.8
CATEMU,CATEMU,5,83.6
CAUQUENES,CAUQUENES,28,176.45
CERRILLOS,CERRILLOS,102,295.86
CERRO NAVIA,CERRO NAVIA,99,191.5
CHAÑARAL,CHANARAL,3,59.12
CHANCO,CHANCO,4,131.28
CHIGUAYANTE,CHIGUAYANTE,1,2.96
CHILE CHICO,CHILE CHICO,8,442.73
CHILLAN,CHILLAN,687,902.12
CHILLAN VIEJO,CHILLAN VIEJO,35,236.14
CISNES,CISNES,6,260.4
COBQUECURA,COBQUECURA,9,651.43
COCHRANE,COCHRANE,4,262.51
COELEMU,COELEMU,24,406.15
COIHUECO,COIHUECO,46,409.39
COLBÚN,COLBUN,57,649.55
COLINA,COLINA,102,113.94
COMBARBALÁ,COMBARBALA,16,379.87
CONCEPCIÓN,CONCEPCION,7,9.16
CONCHALÍ,CONCHALI,114,237.0
CONSTITUCIÓN,CONSTITUCION,60,301.78
COPIAPO,COPIAPO,185,242.22
COQUIMBO,COQUIMBO,638,584.93
CORONEL,CORONEL,1,1.86
CORRAL,CORRAL,9,517.73
CURACAVÍ,CURACAVI,28,195.55
CUREPTO,CUREPTO,2,78.47
CURICO,CURICO,155,239.39
DALCAHUE,DALCAHUE,1,15.22
DIEGO DE ALMAGRO,DIEGO DE ALMAGRO,6,104.27
EL BOSQUE,EL BOSQUE,288,442.6
EL CARMEN,EL CARMEN,18,380.55
EL MONTE,EL MONTE,41,237.08
EL QUISCO,EL QUISCO,25,408.17
EL TABO,EL TABO,10,234.13
ERCILLA,ERCILLA,1,33.21
ESTACIÓN CENTRAL,ESTACION CENTRAL,220,325.07
FREIRINA,FREIRINA,22,714.31
FRUTILLAR,FRUTILLAR,5,64.23
FUTRONO,FUTRONO,12,197.3
HIJUELAS,HIJUELAS,21,296.0
HUALAÑÉ,HUALANE,8,228.65
HUALPÉN,HUALPEN,265,752.75
HUARA,HUARA,1,70.63
HUASCO,HUASCO,13,324.31
HUECHURABA,HUECHURABA,89,178.09
ILLAPEL,ILLAPEL,16,131.27
INDEPENDENCIA,INDEPENDENCIA,138,295.31
IQUIQUE,IQUIQUE,355,390.97
ISLA DE MAIPO,ISLA DE MAIPO,29,170.5
ISLA DE PASCUA,ISLA DE PASCUA,9,227.94
LA CISTERNA,LA CISTERNA,102,299.88
LA CRUZ,LA CRUZ,20,182.42
LA FLORIDA,LA FLORIDA,535,374.8
LA GRANJA,LA GRANJA,172,392.71
LA HIGUERA,LA HIGUERA,1,58.3
LA LIGUA,LA LIGUA,27,196.67
LA PINTANA,LA PINTANA,208,259.67
LA REINA,LA REINA,41,113.21
LA SERENA,LA SERENA,519,518.58
