cut_comuna,comuna,comuna_norm,cut_region,region,region_short,continental
1101,Iquique,IQUIQUE,1,Tarapacá,Tarapacá,True
1107,Alto Hospicio,ALTO HOSPICIO,1,Tarapacá,Tarapacá,True
1401,Pozo Almonte,POZO ALMONTE,1,Tarapacá,Tarapacá,True
1402,Camiña,CAMINA,1,Tarapacá,Tarapacá,True
1403,Colchane,COLCHANE,1,Tarapacá,Tarapacá,True
1404,Huara,HUARA,1,Tarapacá,Tarapacá,True
1405,Pica,PICA,1,Tarapacá,Tarapacá,True
2101,Antofagasta,ANTOFAGASTA,2,Antofagasta,Antofagasta,True
2102,Mejillones,MEJILLONES,2,Antofagasta,Antofagasta,True
2103,Sierra Gorda,SIERRA GORDA,2,Antofagasta,Antofagasta,True
2104,Taltal,TALTAL,2,Antofagasta,Antofagasta,True
2201,Calama,CALAMA,2,Antofagasta,Antofagasta,True
2202,Ollagüe,OLLAGUE,2,Antofagasta,Antofagasta,True
2203,San Pedro de Atacama,SAN PEDRO DE ATACAMA,2,Antofagasta,Antofagasta,True
2301,Tocopilla,TOCOPILLA,2,Antofagasta,Antofagasta,True
2302,María Elena,MARIA ELENA,2,Antofagasta,Antofagasta,True
3101,Copiapó,COPIAPO,3,Atacama,Atacama,True
3102,Caldera,CALDERA,3,Atacama,Atacama,True
3103,Tierra Amarilla,TIERRA AMARILLA,3,Atacama,Atacama,True
3201,Chañaral,CHANARAL,3,Atacama,Atacama,True
3202,Diego de Almagro,DIEGO DE ALMAGRO,3,Atacama,Atacama,True
3301,Vallenar,VALLENAR,3,Atacama,Atacama,True
3302,Alto del Carmen,ALTO DEL CARMEN,3,Atacama,Atacama,True
3303,Freirina,FREIRINA,3,Atacama,Atacama,True
3304,Huasco,HUASCO,3,Atacama,Atacama,True
4101,La Serena,LA SERENA,4,Coquimbo,Coquimbo,True
4102,Coquimbo,COQUIMBO,4,Coquimbo,Coquimbo,True
4103,Andacollo,ANDACOLLO,4,Coquimbo,Coquimbo,True
4104,La Higuera,LA HIGUERA,4,Coquimbo,Coquimbo,True
4105,Paiguano,PAIGUANO,4,Coquimbo,Coquimbo,True
4106,Vicuña,VICUNA,4,Coquimbo,Coquimbo,True
4201,Illapel,ILLAPEL,4,Coquimbo,Coquimbo,True
4202,Canela,CANELA,4,Coquimbo,Coquimbo,True
4203,Los Vilos,LOS VILOS,4,Coquimbo,Coquimbo,True
4204,Salamanca,SALAMANCA,4,Coquimbo,Coquimbo,True
4301,Ovalle,OVALLE,4,Coquimbo,Coquimbo,True
4302,Combarbalá,COMBARBALA,4,Coquimbo,Coquimbo,True
4303,Monte Patria,MONTE PATRIA,4,Coquimbo,Coquimbo,True
4304,Punitaqui,PUNITAQUI,4,Coquimbo,Coquimbo,True
4305,Río Hurtado,RIO HURTADO,4,Coquimbo,Coquimbo,True
5101,Valparaíso,VALPARAISO,5,Valparaíso,Valparaíso,True
5102,Casablanca,CASABLANCA,5,Valparaíso,Valparaíso,True
5103,Concón,CONCON,5,Valparaíso,Valparaíso,True
5104,Juan Fernández,JUAN FERNANDEZ,5,Valparaíso,Valparaíso,False
