era,definition,source_year,role,records,identifiers
2019-2020,autismo_F840,2019,principal,150,116
2019-2020,autismo_F840,2019,solo_secundario,1248,1093
2019-2020,autismo_F840,2020,principal,114,91
2019-2020,autismo_F840,2020,solo_secundario,970,816
2019-2020,TEA_operacional,2019,principal,221,169
2019-2020,TEA_operacional,2019,principal_y_secundario,6,5
2019-2020,TEA_operacional,2019,solo_secundario,2093,1797
2019-2020,TEA_operacional,2020,principal,152,121
2019-2020,TEA_operacional,2020,principal_y_secundario,5,5
2019-2020,TEA_operacional,2020,solo_secundario,1441,1209
2019-2020,F84_historico,2019,principal,234,181
2019-2020,F84_historico,2019,principal_y_secundario,7,6
2019-2020,F84_historico,2019,solo_secundario,2140,1835
2019-2020,F84_historico,2020,principal,155,124
2019-2020,F84_historico,2020,principal_y_secundario,8,8
2019-2020,F84_historico,2020,solo_secundario,1470,1234
2021-2024,autismo_F840,2021,principal,139,115
2021-2024,autismo_F840,2021,solo_secundario,1709,1459
2021-2024,autismo_F840,2022,principal,202,171
2021-2024,autismo_F840,2022,solo_secundario,2856,2469
2021-2024,autismo_F840,2023,principal,253,194
2021-2024,autismo_F840,2023,solo_secundario,5071,4286
2021-2024,autismo_F840,2024,principal,279,227
2021-2024,autismo_F840,2024,solo_secundario,6950,5847
2021-2024,TEA_operacional,2021,principal,183,143
2021-2024,TEA_operacional,2021,principal_y_secundario,3,3
2021-2024,TEA_operacional,2021,solo_secundario,2169,1825
2021-2024,TEA_operacional,2022,principal,286,227
2021-2024,TEA_operacional,2022,principal_y_secundario,8,8
2021-2024,TEA_operacional,2022,solo_secundario,3554,3035
2021-2024,TEA_operacional,2023,principal,351,247
2021-2024,TEA_operacional,2023,principal_y_secundario,7,6
2021-2024,TEA_operacional,2023,solo_secundario,6046,5013
2021-2024,TEA_operacional,2024,principal,372,298
2021-2024,TEA_operacional,2024,principal_y_secundario,15,15
2021-2024,TEA_operacional,2024,solo_secundario,8328,6929
2021-2024,F84_historico,2021,principal,186,146
2021-2024,F84_historico,2021,principal_y_secundario,3,3
2021-2024,F84_historico,2021,solo_secundario,2210,1860
2021-2024,F84_historico,2022,principal,296,235
2021-2024,F84_historico,2022,principal_y_secundario,8,8
2021-2024,F84_historico,2022,solo_secundario,3605,3071
2021-2024,F84_historico,2023,principal,357,252
2021-2024,F84_historico,2023,principal_y_secundario,9,8
2021-2024,F84_historico,2023,solo_secundario,6105,5059
2021-2024,F84_historico,2024,principal,385,308
2021-2024,F84_historico,2024,principal_y_secundario,15,15
2021-2024,F84_historico,2024,solo_secundario,8417,6980
