era,definition,index_year,index_role,sex,age_band,patients,prior_hospitalization,prior_candidate_group,age_median
2019-2020,autismo_F840,2019,principal,HOMBRE,0-4,12,0,0,3.8412046543463383
2019-2020,autismo_F840,2019,principal,HOMBRE,10-14,29,3,1,13.426420260095824
2019-2020,autismo_F840,2019,principal,HOMBRE,15-19,15,2,1,16.37782340862423
2019-2020,autismo_F840,2019,principal,HOMBRE,20+,8,1,1,26.618754277891853
2019-2020,autismo_F840,2019,principal,HOMBRE,5-9,20,2,1,6.717316906228611
2019-2020,autismo_F840,2019,principal,MUJER,0-4,5,2,2,3.1293634496919918
2019-2020,autismo_F840,2019,principal,MUJER,10-14,9,0,0,12.361396303901437
2019-2020,autismo_F840,2019,principal,MUJER,15-19,2,0,0,16.342231348391515
2019-2020,autismo_F840,2019,principal,MUJER,20+,1,0,0,24.186173853524984
2019-2020,autismo_F840,2019,principal,MUJER,5-9,3,0,0,8.2217659137577
2019-2020,autismo_F840,2019,solo_secundario,HOMBRE,0-4,201,19,9,3.811088295687885
2019-2020,autismo_F840,2019,solo_secundario,HOMBRE,10-14,162,14,7,12.112251882272416
2019-2020,autismo_F840,2019,solo_secundario,HOMBRE,15-19,77,5,5,17.09514031485284
2019-2020,autismo_F840,2019,solo_secundario,HOMBRE,20+,63,10,6,28.06297056810404
2019-2020,autismo_F840,2019,solo_secundario,HOMBRE,5-9,323,16,5,7.222450376454483
2019-2020,autismo_F840,2019,solo_secundario,MUJER,0-4,56,7,4,3.5195071868583163
2019-2020,autismo_F840,2019,solo_secundario,MUJER,10-14,68,5,4,12.817248459958932
2019-2020,autismo_F840,2019,solo_secundario,MUJER,15-19,23,2,2,17.114305270362767
2019-2020,autismo_F840,2019,solo_secundario,MUJER,20+,23,4,1,28.142368240930868
2019-2020,autismo_F840,2019,solo_secundario,MUJER,5-9,67,5,3,6.945927446954141
2019-2020,autismo_F840,2020,principal,HOMBRE,0-4,4,0,0,3.9342915811088295
2019-2020,autismo_F840,2020,principal,HOMBRE,10-14,15,2,2,12.446269678302533
