year,definition,role,code_position,code3,records
2019,autismo_F840,principal,secundario,A09,1
2019,autismo_F840,principal,secundario,B37,1
2019,autismo_F840,principal,secundario,B96,1
2019,autismo_F840,principal,secundario,D50,1
2019,autismo_F840,principal,secundario,D64,1
2019,autismo_F840,principal,secundario,D70,1
2019,autismo_F840,principal,secundario,E03,7
2019,autismo_F840,principal,secundario,E10,1
2019,autismo_F840,principal,secundario,E28,1
2019,autismo_F840,principal,secundario,E66,21
2019,autismo_F840,principal,secundario,E78,1
2019,autismo_F840,principal,secundario,E86,1
2019,autismo_F840,principal,secundario,F06,2
2019,autismo_F840,principal,secundario,F09,1
2019,autismo_F840,principal,secundario,F17,1
2019,autismo_F840,principal,secundario,F20,1
2019,autismo_F840,principal,secundario,F23,1
2019,autismo_F840,principal,secundario,F29,2
2019,autismo_F840,principal,secundario,F31,2
2019,autismo_F840,principal,secundario,F32,6
2019,autismo_F840,principal,secundario,F34,2
2019,autismo_F840,principal,secundario,F43,6
2019,autismo_F840,principal,secundario,F44,1
2019,autismo_F840,principal,secundario,F60,2
2019,autismo_F840,principal,secundario,F63,7
2019,autismo_F840,principal,secundario,F70,5
2019,autismo_F840,principal,secundario,F71,7
2019,autismo_F840,principal,secundario,F72,5
2019,autismo_F840,principal,secundario,F73,2
2019,autismo_F840,principal,secundario,F79,7
2019,autismo_F840,principal,secundario,F80,6
2019,autismo_F840,principal,secundario,F82,8
2019,autismo_F840,principal,secundario,F90,6
2019,autismo_F840,principal,secundario,F91,15
2019,autismo_F840,principal,secundario,F92,2
2019,autismo_F840,principal,secundario,F93,1
2019,autismo_F840,principal,secundario,F94,3
2019,autismo_F840,principal,secundario,F95,1
2019,autismo_F840,principal,secundario,F98,2
2019,autismo_F840,principal,secundario,F99,1
2019,autismo_F840,principal,secundario,G25,2
2019,autismo_F840,principal,secundario,G40,24
2019,autismo_F840,principal,secundario,G47,1
2019,autismo_F840,principal,secundario,G81,1
2019,autismo_F840,principal,secundario,H50,1
2019,autismo_F840,principal,secundario,H91,1
2019,autismo_F840,principal,secundario,I44,1
2019,autismo_F840,principal,secundario,I47,1
2019,autismo_F840,principal,secundario,J00,1
2019,autismo_F840,principal,secundario,J02,1
2019,autismo_F840,principal,secundario,J20,2
2019,autismo_F840,principal,secundario,J30,1
2019,autismo_F840,principal,secundario,J35,2
2019,autismo_F840,principal,secundario,J45,2
2019,autismo_F840,principal,secundario,K02,3
2019,autismo_F840,principal,secundario,K05,1
2019,autismo_F840,principal,secundario,K20,1
2019,autismo_F840,principal,secundario,K29,1
2019,autismo_F840,principal,secundario,K57,1
2019,autismo_F840,principal,secundario,K59,3
2019,autismo_F840,principal,secundario,K76,1
2019,autismo_F840,principal,secundario,K80,1
2019,autismo_F840,principal,secundario,M21,1
2019,autismo_F840,principal,secundario,M62,1
2019,autismo_F840,principal,secundario,N39,1
2019,autismo_F840,principal,secundario,N77,1
2019,autismo_F840,principal,secundario,Q02,1
2019,autismo_F840,principal,secundario,Q90,2
2019,autismo_F840,principal,secundario,Q99,2
2019,autismo_F840,principal,secundario,R01,1
2019,autismo_F840,principal,secundario,R04,1
2019,autismo_F840,principal,secundario,R26,1
2019,autismo_F840,principal,secundario,R27,1
2019,autismo_F840,principal,secundario,R45,22
2019,autismo_F840,principal,secundario,R46,2
2019,autismo_F840,principal,secundario,R50,2
2019,autismo_F840,principal,secundario,R73,2
2019,autismo_F840,principal,secundario,S01,1
2019,autismo_F840,principal,secundario,S09,1
2019,autismo_F840,principal,secundario,T38,1
2019,autismo_F840,principal,secundario,T42,1
2019,autismo_F840,principal,secundario,T43,2
2019,autismo_F840,principal,secundario,T59,1
2019,autismo_F840,principal,secundario,T74,1
2019,autismo_F840,principal,secundario,W13,1
2019,autismo_F840,principal,secundario,X44,1
2019,autismo_F840,principal,secundario,X47,1
2019,autismo_F840,principal,secundario,X64,1
2019,autismo_F840,principal,secundario,X78,1
2019,autismo_F840,principal,secundario,X84,1
2019,autismo_F840,principal,secundario,Y04,1
2019,autismo_F840,principal,secundario,Y07,1
2019,autismo_F840,principal,secundario,Y46,1
2019,autismo_F840,principal,secundario,Y49,1
2019,autismo_F840,principal,secundario,Z00,2
2019,autismo_F840,principal,secundario,Z01,1
2019,autismo_F840,principal,secundario,Z03,4
2019,autismo_F840,principal,secundario,Z04,1
2019,autismo_F840,principal,secundario,Z13,1
2019,autismo_F840,principal,secundario,Z32,1
2019,autismo_F840,principal,secundario,Z54,1
2019,autismo_F840,principal,secundario,Z55,2
2019,autismo_F840,principal,secundario,Z59,5
2019,autismo_F840,principal,secundario,Z60,5
2019,autismo_F840,principal,secundario,Z61,7
2019,autismo_F840,principal,secundario,Z62,2
2019,autismo_F840,principal,secundario,Z63,20
2019,autismo_F840,principal,secundario,Z65,7
2019,autismo_F840,principal,secundario,Z73,1
2019,autismo_F840,principal,secundario,Z74,3
2019,autismo_F840,principal,secundario,Z81,2
2019,autismo_F840,principal,secundario,Z82,3
2019,autismo_F840,principal,secundario,Z85,1
2019,autismo_F840,principal,secundario,Z86,1
2019,autismo_F840,principal,secundario,Z87,2
2019,autismo_F840,principal,secundario,Z88,3
2019,autismo_F840,principal,secundario,Z90,1
2019,autismo_F840,principal,secundario,Z91,9
2019,autismo_F840,principal,secundario,Z92,15
2019,autismo_F840,principal,secundario,Z98,2
2019,autismo_F840,solo_secundario,principal,A02,1
2019,autismo_F840,solo_secundario,principal,A04,1
2019,autismo_F840,solo_secundario,principal,A08,6
2019,autismo_F840,solo_secundario,principal,A09,22
2019,autismo_F840,solo_secundario,principal,A28,2
2019,autismo_F840,solo_secundario,principal,A37,1
2019,autismo_F840,solo_secundario,principal,A38,1
2019,autismo_F840,solo_secundario,principal,A41,1
2019,autismo_F840,solo_secundario,principal,A49,4
2019,autismo_F840,solo_secundario,principal,A87,1
2019,autismo_F840,solo_secundario,principal,B01,2
2019,autismo_F840,solo_secundario,principal,B07,1
2019,autismo_F840,solo_secundario,principal,B27,1
2019,autismo_F840,solo_secundario,principal,B34,2
2019,autismo_F840,solo_secundario,principal,B67,2
2019,autismo_F840,solo_secundario,principal,C15,1
2019,autismo_F840,solo_secundario,principal,C40,1
2019,autismo_F840,solo_secundario,principal,C62,3
2019,autismo_F840,solo_secundario,principal,C71,1
2019,autismo_F840,solo_secundario,principal,C81,3
2019,autismo_F840,solo_secundario,principal,C91,13
2019,autismo_F840,solo_secundario,principal,D17,1
2019,autismo_F840,solo_secundario,principal,D18,1
2019,autismo_F840,solo_secundario,principal,D22,3
2019,autismo_F840,solo_secundario,principal,D23,1
2019,autismo_F840,solo_secundario,principal,D38,1
2019,autismo_F840,solo_secundario,principal,D43,1
2019,autismo_F840,solo_secundario,principal,D48,2
2019,autismo_F840,solo_secundario,principal,D50,2
2019,autismo_F840,solo_secundario,principal,D64,2
2019,autismo_F840,solo_secundario,principal,D68,1
2019,autismo_F840,solo_secundario,principal,D69,4
2019,autismo_F840,solo_secundario,principal,D70,6
2019,autismo_F840,solo_secundario,principal,D76,1
2019,autismo_F840,solo_secundario,principal,D80,1
2019,autismo_F840,solo_secundario,principal,DES,8
2019,autismo_F840,solo_secundario,principal,E10,8
2019,autismo_F840,solo_secundario,principal,E11,4
2019,autismo_F840,solo_secundario,principal,E16,1
2019,autismo_F840,solo_secundario,principal,E23,1
2019,autismo_F840,solo_secundario,principal,E30,1
2019,autismo_F840,solo_secundario,principal,E43,1
2019,autismo_F840,solo_secundario,principal,E46,3
2019,autismo_F840,solo_secundario,principal,E86,2
2019,autismo_F840,solo_secundario,principal,E87,4
2019,autismo_F840,solo_secundario,principal,F05,1
2019,autismo_F840,solo_secundario,principal,F06,1
2019,autismo_F840,solo_secundario,principal,F09,2
2019,autismo_F840,solo_secundario,principal,F19,1
2019,autismo_F840,solo_secundario,principal,F20,3
2019,autismo_F840,solo_secundario,principal,F22,1
2019,autismo_F840,solo_secundario,principal,F23,6
2019,autismo_F840,solo_secundario,principal,F28,1
2019,autismo_F840,solo_secundario,principal,F29,8
2019,autismo_F840,solo_secundario,principal,F31,2
2019,autismo_F840,solo_secundario,principal,F32,11
2019,autismo_F840,solo_secundario,principal,F33,1
2019,autismo_F840,solo_secundario,principal,F40,1
2019,autismo_F840,solo_secundario,principal,F41,2
2019,autismo_F840,solo_secundario,principal,F43,4
2019,autismo_F840,solo_secundario,principal,F44,3
2019,autismo_F840,solo_secundario,principal,F45,2
2019,autismo_F840,solo_secundario,principal,F50,2
2019,autismo_F840,solo_secundario,principal,F60,5
2019,autismo_F840,solo_secundario,principal,F63,1
2019,autismo_F840,solo_secundario,principal,F72,2
2019,autismo_F840,solo_secundario,principal,F73,1
2019,autismo_F840,solo_secundario,principal,F79,2
2019,autismo_F840,solo_secundario,principal,F80,1
2019,autismo_F840,solo_secundario,principal,F90,2
2019,autismo_F840,solo_secundario,principal,F91,16
2019,autismo_F840,solo_secundario,principal,F95,1
2019,autismo_F840,solo_secundario,principal,G00,2
2019,autismo_F840,solo_secundario,principal,G04,1
2019,autismo_F840,solo_secundario,principal,G11,1
2019,autismo_F840,solo_secundario,principal,G12,1
2019,autismo_F840,solo_secundario,principal,G24,2
2019,autismo_F840,solo_secundario,principal,G25,1
2019,autismo_F840,solo_secundario,principal,G37,1
2019,autismo_F840,solo_secundario,principal,G40,98
2019,autismo_F840,solo_secundario,principal,G41,11
2019,autismo_F840,solo_secundario,principal,G44,1
2019,autismo_F840,solo_secundario,principal,G61,1
2019,autismo_F840,solo_secundario,principal,G71,1
2019,autismo_F840,solo_secundario,principal,G82,1
2019,autismo_F840,solo_secundario,principal,G91,1
2019,autismo_F840,solo_secundario,principal,G93,2
2019,autismo_F840,solo_secundario,principal,H04,2
2019,autismo_F840,solo_secundario,principal,H10,1
2019,autismo_F840,solo_secundario,principal,H26,4
2019,autismo_F840,solo_secundario,principal,H33,1
2019,autismo_F840,solo_secundario,principal,H46,1
2019,autismo_F840,solo_secundario,principal,H50,8
2019,autismo_F840,solo_secundario,principal,H60,1
2019,autismo_F840,solo_secundario,principal,H61,1
2019,autismo_F840,solo_secundario,principal,H65,5
2019,autismo_F840,solo_secundario,principal,H66,2
2019,autismo_F840,solo_secundario,principal,H70,1
2019,autismo_F840,solo_secundario,principal,H90,2
2019,autismo_F840,solo_secundario,principal,H91,4
2019,autismo_F840,solo_secundario,principal,I27,1
2019,autismo_F840,solo_secundario,principal,I46,1
2019,autismo_F840,solo_secundario,principal,I47,1
2019,autismo_F840,solo_secundario,principal,I50,1
2019,autismo_F840,solo_secundario,principal,I60,1
2019,autismo_F840,solo_secundario,principal,I61,1
2019,autismo_F840,solo_secundario,principal,I69,1
2019,autismo_F840,solo_secundario,principal,I88,1
2019,autismo_F840,solo_secundario,principal,J00,2
2019,autismo_F840,solo_secundario,principal,J03,1
2019,autismo_F840,solo_secundario,principal,J06,4
2019,autismo_F840,solo_secundario,principal,J10,6
2019,autismo_F840,solo_secundario,principal,J12,17
2019,autismo_F840,solo_secundario,principal,J13,2
2019,autismo_F840,solo_secundario,principal,J15,14
2019,autismo_F840,solo_secundario,principal,J18,12
2019,autismo_F840,solo_secundario,principal,J20,19
2019,autismo_F840,solo_secundario,principal,J34,1
2019,autismo_F840,solo_secundario,principal,J35,37
2019,autismo_F840,solo_secundario,principal,J40,1
2019,autismo_F840,solo_secundario,principal,J45,2
