year,definition,role,variable,value,records
2019,autismo_F840,principal,TIPO_INGRESO,PROGRAMADA,59
2019,autismo_F840,principal,TIPO_INGRESO,URGENCIA,91
2019,autismo_F840,solo_secundario,TIPO_INGRESO,NO IDENTIFICADA,1
2019,autismo_F840,solo_secundario,TIPO_INGRESO,PROGRAMADA,572
2019,autismo_F840,solo_secundario,TIPO_INGRESO,URGENCIA,677
2020,autismo_F840,principal,TIPO_INGRESO,PROGRAMADA,37
2020,autismo_F840,principal,TIPO_INGRESO,URGENCIA,77
2020,autismo_F840,solo_secundario,TIPO_INGRESO,PROGRAMADA,312
2020,autismo_F840,solo_secundario,TIPO_INGRESO,URGENCIA,658
2021,autismo_F840,principal,TIPO_INGRESO,PROGRAMADA,48
2021,autismo_F840,principal,TIPO_INGRESO,URGENCIA,91
2021,autismo_F840,solo_secundario,TIPO_INGRESO,OBSTETRICA,4
2021,autismo_F840,solo_secundario,TIPO_INGRESO,PROGRAMADA,598
2021,autismo_F840,solo_secundario,TIPO_INGRESO,URGENCIA,1107
2022,autismo_F840,principal,TIPO_INGRESO,OBSTETRICA,1
2022,autismo_F840,principal,TIPO_INGRESO,PROGRAMADA,48
2022,autismo_F840,principal,TIPO_INGRESO,URGENCIA,153
2022,autismo_F840,solo_secundario,TIPO_INGRESO,DESCONOCIDO,1
2022,autismo_F840,solo_secundario,TIPO_INGRESO,OBSTETRICA,10
2022,autismo_F840,solo_secundario,TIPO_INGRESO,PROGRAMADA,1003
2022,autismo_F840,solo_secundario,TIPO_INGRESO,URGENCIA,1845
2023,autismo_F840,principal,TIPO_INGRESO,DESCONOCIDO,1
2023,autismo_F840,principal,TIPO_INGRESO,PROGRAMADA,84
2023,autismo_F840,principal,TIPO_INGRESO,URGENCIA,168
2023,autismo_F840,solo_secundario,TIPO_INGRESO,OBSTETRICA,29
2023,autismo_F840,solo_secundario,TIPO_INGRESO,PROGRAMADA,1630
2023,autismo_F840,solo_secundario,TIPO_INGRESO,URGENCIA,3413
