year,definition,role,n,mean,median,q25,q75
2019,autismo_F840,principal,150,0.5778353333333333,0.5818,0.5818,0.5818
2019,autismo_F840,solo_secundario,1250,0.8186694400000001,0.5086,0.4307,0.7874
2020,autismo_F840,principal,114,0.6663350877192982,0.5818,0.5818,0.6511
2020,autismo_F840,solo_secundario,970,0.8881398969072165,0.637,0.496,0.9845
2021,autismo_F840,principal,139,0.6195877697841726,0.5818,0.5818,0.6511
2021,autismo_F840,solo_secundario,1709,0.9448879461673493,0.6116,0.4637,0.9628
2022,autismo_F840,principal,202,0.6313272277227723,0.5818,0.5818,0.6511
2022,autismo_F840,solo_secundario,2859,0.8488545645330535,0.5903,0.4462,0.9115
2023,autismo_F840,principal,253,0.6083750988142292,0.5818,0.5818,0.6511
2023,autismo_F840,solo_secundario,5072,0.8425166798107255,0.6042,0.4462,0.9628
2024,autismo_F840,principal,280,0.6201792857142857,0.5818,0.5818,0.6511
2024,autismo_F840,solo_secundario,6950,0.8009567913669065,0.5821,0.4303,0.8942
2019,TEA_operacional,principal,221,0.5875751131221719,0.5818,0.5818,0.6511
2019,TEA_operacional,principal_y_secundario,6,0.6166333333333333,0.617,0.582075,0.6511
2019,TEA_operacional,solo_secundario,2097,0.872268049594659,0.574,0.4462,0.9168
2020,TEA_operacional,principal,152,0.660445394736842,0.5818,0.5818,0.6511
2020,TEA_operacional,principal_y_secundario,5,0.5818,0.5818,0.5818,0.5818
2020,TEA_operacional,solo_secundario,1441,0.9643625260235947,0.6512,0.5086,1.04
2021,TEA_operacional,principal,183,0.6244622950819673,0.5818,0.5818,0.6511
2021,TEA_operacional,principal_y_secundario,3,0.6684,0.5818,0.5818,0.7117
2021,TEA_operacional,solo_secundario,2169,0.9810144767173813,0.6321,0.4647,1.0058
2022,TEA_operacional,principal,286,0.6509468531468531,0.5818,0.5818,0.6511
2022,TEA_operacional,principal_y_secundario,8,0.607925,0.5823499999999999,0.5818,0.6511
2022,TEA_operacional,solo_secundario,3557,0.8925292100084341,0.6141,0.4637,0.9628
2023,TEA_operacional,principal,351,0.6200019943019943,0.5818,0.5818,0.6511
2023,TEA_operacional,principal_y_secundario,7,0.6288142857142857,0.5818,0.5818,0.6164499999999999
2023,TEA_operacional,solo_secundario,6048,0.8665663525132276,0.61,0.4462,0.9628
2024,TEA_operacional,principal,373,0.6249396782841823,0.5818,0.5818,0.6511
2024,TEA_operacional,principal_y_secundario,15,0.64878,0.6511,0.5818,0.6511
2024,TEA_operacional,solo_secundario,8328,0.8240517651296829,0.5829,0.4303,0.9168
2019,F84_historico,principal,234,0.5991346153846153,0.5818,0.5818,0.6511
2019,F84_historico,principal_y_secundario,7,0.6376999999999999,0.6511,0.5823499999999999,0.6511
2019,F84_historico,solo_secundario,2144,0.8858533582089553,0.5818,0.4462,0.9460999999999999
2020,F84_historico,principal,155,0.6690070967741936,0.5818,0.5818,0.6511
2020,F84_historico,principal_y_secundario,8,0.6520125,0.5818,0.5818,0.59915
2020,F84_historico,solo_secundario,1470,0.9709672108843537,0.6512,0.5086,1.04
2021,F84_historico,principal,186,0.6261075268817204,0.5818,0.5818,0.6511
2021,F84_historico,principal_y_secundario,3,0.6684,0.5818,0.5818,0.7117
2021,F84_historico,solo_secundario,2210,0.983143484162896,0.637,0.4652,1.0083
2022,F84_historico,principal,296,0.6664513513513514,0.5818,0.5818,0.6511
2022,F84_historico,principal_y_secundario,8,0.607925,0.5823499999999999,0.5818,0.6511
2022,F84_historico,solo_secundario,3608,0.9019914356984479,0.6172,0.4637,0.9628
2023,F84_historico,principal,357,0.6286207282913165,0.5818,0.5818,0.6511
2023,F84_historico,principal_y_secundario,9,0.6933222222222223,0.5818,0.5818,0.7641
2023,F84_historico,solo_secundario,6107,0.8697741935483871,0.6116,0.4462,0.9628
2024,F84_historico,principal,386,0.6658025906735752,0.5818,0.5818,0.6511
2024,F84_historico,principal_y_secundario,15,0.64878,0.6511,0.5818,0.6511
2024,F84_historico,solo_secundario,8417,0.8291453486990614,0.5829,0.4303,0.9185
