year,definition,role,COD_HOSPITAL,records,identifiers,hospital
2019,autismo_F840,principal,101100,3,3,Hospital Dr. Juan Noé Crevanni (Arica)
2019,autismo_F840,principal,102100,4,3,Hospital Dr. Ernesto Torres Galdames (Iquique)
2019,autismo_F840,principal,103100,19,18,Hospital Dr. Leonardo Guzmán (Antofagasta)
2019,autismo_F840,principal,103101,4,3,Hospital Dr. Carlos Cisternas (Calama)
2019,autismo_F840,principal,105100,1,1,Hospital San Juan de Dios (La Serena)
2019,autismo_F840,principal,105101,3,2,Hospital San Pablo (Coquimbo)
2019,autismo_F840,principal,105102,1,1,Hospital Dr. Antonio Tirado Lanas (Ovalle)
2019,autismo_F840,principal,106103,1,1,Hospital Claudio Vicuña (San Antonio)
2019,autismo_F840,principal,107100,2,2,Hospital Dr. Gustavo Fricke (Viña del Mar)
2019,autismo_F840,principal,107102,3,3,Hospital de Quilpué
2019,autismo_F840,principal,108100,2,2,Hospital de San Camilo (San Felipe)
2019,autismo_F840,principal,109101,1,1,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
2019,autismo_F840,principal,110100,1,1,"Hospital San Juan de Dios (Santiago, Santiago)"
2019,autismo_F840,principal,110120,16,13,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)"
2019,autismo_F840,principal,110130,1,1,Hospital Adalberto Steeger (Talagante)
2019,autismo_F840,principal,110150,2,2,Hospital San José (Melipilla)
2019,autismo_F840,principal,111100,21,6,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)"
2019,autismo_F840,principal,111101,1,1,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada
2019,autismo_F840,principal,112102,2,2,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)"
2019,autismo_F840,principal,113130,5,4,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
2019,autismo_F840,principal,114101,3,3,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)"
2019,autismo_F840,principal,114103,3,2,Hospital Padre Alberto Hurtado (San Ramón)
2019,autismo_F840,principal,115107,2,2,Hospital San Juan de Dios (San Fernando)
2019,autismo_F840,principal,116105,2,2,Hospital Dr. César Garavagno Burotto (Talca)
2019,autismo_F840,principal,117101,14,12,Hospital Clínico Herminda Martín (Chillán)
2019,autismo_F840,principal,117102,1,1,Hospital de San Carlos
2019,autismo_F840,principal,118100,4,4,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción)
2019,autismo_F840,principal,119100,1,1,Hospital Las Higueras (Talcahuano)
2019,autismo_F840,principal,120101,2,2,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles)
2019,autismo_F840,principal,121109,4,4,Hospital Dr. Hernán Henríquez Aravena (Temuco)
2019,autismo_F840,principal,122100,2,2,Hospital Clínico Regional (Valdivia)
2019,autismo_F840,principal,123100,2,2,Hospital Base San José de Osorno
2019,autismo_F840,principal,124105,5,5,Hospital de Puerto Montt
2019,autismo_F840,principal,125100,1,1,Hospital Regional (Coihaique)
2019,autismo_F840,principal,126100,10,5,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria
2019,autismo_F840,principal,133150,1,1,Hospital de Castro
2019,autismo_F840,solo_secundario,101100,22,18,Hospital Dr. Juan Noé Crevanni (Arica)
2019,autismo_F840,solo_secundario,102100,23,23,Hospital Dr. Ernesto Torres Galdames (Iquique)
2019,autismo_F840,solo_secundario,103100,58,52,Hospital Dr. Leonardo Guzmán (Antofagasta)
2019,autismo_F840,solo_secundario,103101,11,9,Hospital Dr. Carlos Cisternas (Calama)
2019,autismo_F840,solo_secundario,104100,4,4,Hospital San José del Carmen (Copiapó)
2019,autismo_F840,solo_secundario,104103,10,10,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar)
2019,autismo_F840,solo_secundario,105100,23,23,Hospital San Juan de Dios (La Serena)
2019,autismo_F840,solo_secundario,105101,30,27,Hospital San Pablo (Coquimbo)
2019,autismo_F840,solo_secundario,105102,9,9,Hospital Dr. Antonio Tirado Lanas (Ovalle)
2019,autismo_F840,solo_secundario,106100,54,47,Hospital Carlos Van Buren (Valparaíso)
2019,autismo_F840,solo_secundario,106102,1,1,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso)
2019,autismo_F840,solo_secundario,106103,14,13,Hospital Claudio Vicuña (San Antonio)
2019,autismo_F840,solo_secundario,107100,38,37,Hospital Dr. Gustavo Fricke (Viña del Mar)
2019,autismo_F840,solo_secundario,107101,9,7,Hospital San Martín (Quillota)
2019,autismo_F840,solo_secundario,107102,5,5,Hospital de Quilpué
2019,autismo_F840,solo_secundario,108100,10,10,Hospital de San Camilo (San Felipe)
2019,autismo_F840,solo_secundario,108101,5,4,Hospital San Juan de Dios (Los Andes)
2019,autismo_F840,solo_secundario,109100,7,6,"Complejo Hospitalario San José (Santiago, Independencia)"
2019,autismo_F840,solo_secundario,109101,57,51,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
2019,autismo_F840,solo_secundario,110100,40,32,"Hospital San Juan de Dios (Santiago, Santiago)"
2019,autismo_F840,solo_secundario,110120,25,23,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)"
2019,autismo_F840,solo_secundario,110130,1,1,Hospital Adalberto Steeger (Talagante)
2019,autismo_F840,solo_secundario,111100,69,50,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)"
2019,autismo_F840,solo_secundario,111101,15,15,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada
2019,autismo_F840,solo_secundario,112100,4,3,"Hospital Del Salvador (Santiago, Providencia)"
2019,autismo_F840,solo_secundario,112101,3,3,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)"
2019,autismo_F840,solo_secundario,112102,45,40,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)"
2019,autismo_F840,solo_secundario,112104,1,1,Instituto de Neurocirugía Dr. Alfonso Asenjo
2019,autismo_F840,solo_secundario,113100,7,7,"Hospital Barros Luco Trudeau (Santiago, San Miguel)"
2019,autismo_F840,solo_secundario,113130,45,41,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
2019,autismo_F840,solo_secundario,113150,2,2,Hospital San Luis (Buin)
2019,autismo_F840,solo_secundario,113180,3,3,"Hospital El Pino (Santiago, San Bernardo)"
2019,autismo_F840,solo_secundario,114101,65,56,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)"
2019,autismo_F840,solo_secundario,114103,14,14,Hospital Padre Alberto Hurtado (San Ramón)
2019,autismo_F840,solo_secundario,114105,18,17,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza
2019,autismo_F840,solo_secundario,115100,22,21,Hospital Regional de Rancagua
2019,autismo_F840,solo_secundario,115107,5,5,Hospital San Juan de Dios (San Fernando)
2019,autismo_F840,solo_secundario,115110,7,6,Hospital de Santa Cruz
2019,autismo_F840,solo_secundario,116100,5,5,Hospital San Juan de Dios (Curicó)
2019,autismo_F840,solo_secundario,116105,11,10,Hospital Dr. César Garavagno Burotto (Talca)
2019,autismo_F840,solo_secundario,116108,12,12,Hospital Presidente Carlos Ibáñez del Campo (Linares)
2019,autismo_F840,solo_secundario,117101,66,62,Hospital Clínico Herminda Martín (Chillán)
2019,autismo_F840,solo_secundario,117102,8,8,Hospital de San Carlos
2019,autismo_F840,solo_secundario,118100,88,77,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción)
2019,autismo_F840,solo_secundario,118105,7,7,Hospital San José (Coronel)
2019,autismo_F840,solo_secundario,119100,41,38,Hospital Las Higueras (Talcahuano)
2019,autismo_F840,solo_secundario,120101,25,25,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles)
2019,autismo_F840,solo_secundario,121109,50,46,Hospital Dr. Hernán Henríquez Aravena (Temuco)
2019,autismo_F840,solo_secundario,121110,2,2,Hospital Dr. Abraham Godoy (Lautaro)
2019,autismo_F840,solo_secundario,121114,2,2,Hospital Intercultural de Nueva Imperial
2019,autismo_F840,solo_secundario,121117,1,1,Hospital de Pitrufquén
2019,autismo_F840,solo_secundario,121121,3,3,Hospital de Villarrica
2019,autismo_F840,solo_secundario,122100,43,21,Hospital Clínico Regional (Valdivia)
2019,autismo_F840,solo_secundario,123100,24,22,Hospital Base San José de Osorno
2019,autismo_F840,solo_secundario,124105,32,32,Hospital de Puerto Montt
2019,autismo_F840,solo_secundario,125100,5,5,Hospital Regional (Coihaique)
2019,autismo_F840,solo_secundario,126100,27,20,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria
2019,autismo_F840,solo_secundario,128109,5,5,Hospital Provincial Dr. Rafael Avaría (Curanilahue)
2019,autismo_F840,solo_secundario,129100,4,3,Hospital Dr. Mauricio Heyermann (Angol)
2019,autismo_F840,solo_secundario,129106,2,2,Hospital San José (Victoria)
2019,autismo_F840,solo_secundario,133150,6,6,Hospital de Castro
2020,autismo_F840,principal,101100,3,3,Hospital Dr. Juan Noé Crevanni (Arica)
2020,autismo_F840,principal,102100,4,3,Hospital Dr. Ernesto Torres Galdames (Iquique)
2020,autismo_F840,principal,103100,7,7,Hospital Dr. Leonardo Guzmán (Antofagasta)
