year,definition,role,TIPO_ACTIVIDAD,age_band,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
2019,autismo_F840,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,autismo_F840,principal,HOSPITALIZACIÓN,0-4,17,0.5882352941176471,0.7952062255644572,0.0,0.0,1.0,1.0,3.0,10.0,9
2019,autismo_F840,principal,HOSPITALIZACIÓN,10-14,55,11.418181818181818,15.978794870761858,5.0,1.0,17.5,26.200000000000003,77.0,628.0,5
2019,autismo_F840,principal,HOSPITALIZACIÓN,15-19,29,27.103448275862068,37.603518858504074,18.0,5.0,30.0,59.599999999999994,196.0,786.0,2
2019,autismo_F840,principal,HOSPITALIZACIÓN,20-29,8,16.75,13.112153577066255,12.0,6.5,31.25,32.3,33.0,134.0,0
2019,autismo_F840,principal,HOSPITALIZACIÓN,30-44,1,14.0,,14.0,14.0,14.0,14.0,14.0,14.0,0
2019,autismo_F840,principal,HOSPITALIZACIÓN,45+,1,13.0,,13.0,13.0,13.0,13.0,13.0,13.0,0
2019,autismo_F840,principal,HOSPITALIZACIÓN,5-9,22,5.5,9.27233468314159,2.5,1.0,5.5,7.900000000000002,37.0,121.0,3
2019,autismo_F840,principal,HOSPITALIZACIÓN DIURNA,5-9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019,autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,10-14,5,5.8,9.093954035511725,2.0,1.0,3.0,14.400000000000002,22.0,29.0,0
2019,autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,15-19,3,3.0,3.605551275463989,2.0,1.0,4.5,6.0,7.0,9.0,1
2019,autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,20-29,1,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,0
2019,autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,5-9,1,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0
2019,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
2019,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),10-14,15,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,1.0,14
2019,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),15-19,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),20-29,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
