definition,role,TIPO_ACTIVIDAD,age_band,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
autismo_F840,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
autismo_F840,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),10-14,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
autismo_F840,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),5-9,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
autismo_F840,principal,HOSPITALIZACIÓN,0-4,101,1.9603960396039604,4.7579844305739565,1.0,0.0,1.0,4.0,45.0,198.0,26
autismo_F840,principal,HOSPITALIZACIÓN,10-14,412,14.12378640776699,27.205744298851865,7.0,2.0,16.0,28.900000000000034,280.0,5819.0,20
autismo_F840,principal,HOSPITALIZACIÓN,15-19,295,27.10169491525424,95.92597325050325,10.0,3.0,25.0,46.0,1444.0,7995.0,17
autismo_F840,principal,HOSPITALIZACIÓN,20-29,94,33.797872340425535,70.24512837158542,14.5,6.0,32.75,64.0,506.0,3177.0,3
autismo_F840,principal,HOSPITALIZACIÓN,30-44,35,28.62857142857143,43.32713163982188,14.0,4.0,32.5,60.0,218.0,1002.0,0
autismo_F840,principal,HOSPITALIZACIÓN,45+,3,94.0,144.64784823840276,13.0,10.5,137.0,211.4,261.0,282.0,0
autismo_F840,principal,HOSPITALIZACIÓN,5-9,178,4.129213483146067,6.086025527594264,2.0,1.0,5.75,9.0,37.0,735.0,28
autismo_F840,principal,HOSPITALIZACIÓN DIURNA,5-9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,10-14,5,5.8,9.093954035511725,2.0,1.0,3.0,14.400000000000002,22.0,29.0,0
autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,15-19,3,3.0,3.605551275463989,2.0,1.0,4.5,6.0,7.0,9.0,1
autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,20-29,1,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,0
autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,5-9,1,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0
autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,360,0.022222222222222223,0.14761070367374832,0.0,0.0,0.0,0.0,1.0,8.0,352
autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),10-14,407,0.02457002457002457,0.15500118984367522,0.0,0.0,0.0,0.0,1.0,10.0,397
autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),15-19,127,0.09448818897637795,0.2936651496134463,0.0,0.0,0.0,0.0,1.0,12.0,115
autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),20-29,73,0.1643835616438356,0.37318816486149997,0.0,0.0,0.0,1.0,1.0,12.0,61
autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),30-44,30,0.26666666666666666,0.4497764451088037,0.0,0.0,0.75,1.0,1.0,8.0,22
autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),45+,12,0.08333333333333333,0.28867513459481287,0.0,0.0,0.0,0.0,1.0,1.0,11
autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),5-9,1199,0.0158465387823186,0.12493375795092186,0.0,0.0,0.0,0.0,1.0,19.0,1180
autismo_F840,solo_secundario,HOSPITALIZACIÓN,0-4,3599,5.7779938871908865,38.641047109400525,3.0,1.0,5.0,9.0,1463.0,20795.0,456
autismo_F840,solo_secundario,HOSPITALIZACIÓN,10-14,4266,7.532114392873886,12.851173536791343,3.0,1.0,8.0,18.0,247.0,32132.0,433
autismo_F840,solo_secundario,HOSPITALIZACIÓN,15-19,2100,11.317142857142857,16.620856601203275,6.0,2.0,15.0,28.0,188.0,23766.0,176
autismo_F840,solo_secundario,HOSPITALIZACIÓN,20-29,897,13.632107023411372,30.76833431565579,6.0,2.0,15.0,30.399999999999977,592.0,12228.0,49
autismo_F840,solo_secundario,HOSPITALIZACIÓN,30-44,385,12.675324675324676,32.08023857846264,5.0,2.0,13.0,28.0,552.0,4880.0,27
autismo_F840,solo_secundario,HOSPITALIZACIÓN,45+,118,11.720338983050848,14.060847984312842,7.0,3.0,14.0,26.89999999999999,76.0,1383.0,3
autismo_F840,solo_secundario,HOSPITALIZACIÓN,5-9,5066,4.408606395578365,11.330067143361516,2.0,1.0,5.0,9.0,531.0,22334.0,761
autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,0-4,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,10-14,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,15-19,15,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,1.0,14
autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,20-29,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,30-44,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,45+,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0
autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,5-9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
autismo_F840,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,0-4,7,1.0,1.1547005383792515,1.0,0.0,1.5,2.4000000000000004,3.0,7.0,3
autismo_F840,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,10-14,9,3.111111111111111,4.075673086879161,1.0,0.0,5.0,8.600000000000001,11.0,28.0,4
autismo_F840,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,15-19,9,3.2222222222222223,2.9486343354923554,3.0,1.0,4.0,5.200000000000001,10.0,29.0,1
autismo_F840,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,20-29,5,3.4,3.9749213828703582,2.0,1.0,4.0,7.6000000000000005,10.0,17.0,1
autismo_F840,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,45+,1,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0
autismo_F840,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,5-9,13,1.1538461538461537,1.281025230440697,1.0,0.0,2.0,2.8000000000000007,4.0,15.0,5
TEA_operacional,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
TEA_operacional,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),10-14,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
TEA_operacional,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),5-9,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
TEA_operacional,principal,HOSPITALIZACIÓN,0-4,124,1.9516129032258065,4.4169938618665885,1.0,1.0,1.0,4.0,45.0,242.0,30
TEA_operacional,principal,HOSPITALIZACIÓN,10-14,493,15.2920892494929,32.1926978524076,7.0,2.0,18.0,30.0,413.0,7539.0,23
TEA_operacional,principal,HOSPITALIZACIÓN,15-19,424,23.257075471698112,81.36557579108391,9.0,3.0,21.0,39.69999999999999,1444.0,9861.0,21
TEA_operacional,principal,HOSPITALIZACIÓN,20-29,206,27.393203883495147,51.33311347418304,14.0,6.0,32.0,58.0,506.0,5643.0,4
TEA_operacional,principal,HOSPITALIZACIÓN,30-44,84,37.82142857142857,95.54777530957641,15.5,6.0,38.5,60.0,807.0,3177.0,0
TEA_operacional,principal,HOSPITALIZACIÓN,45+,9,40.666666666666664,83.49101748092426,11.0,5.0,19.0,85.80000000000004,261.0,366.0,0
TEA_operacional,principal,HOSPITALIZACIÓN,5-9,198,4.141414141414141,6.127263035383223,2.0,1.0,6.0,9.0,37.0,820.0,29
TEA_operacional,principal,HOSPITALIZACIÓN DIURNA,0-4,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
TEA_operacional,principal,HOSPITALIZACIÓN DIURNA,5-9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
