year,definition,role,TIPO_ACTIVIDAD,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
2019,autismo_F840,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,autismo_F840,principal,HOSPITALIZACIÓN,133,12.827067669172932,22.4065437134954,4.0,1.0,18.0,31.799999999999997,196.0,1706.0,19
2019,autismo_F840,principal,HOSPITALIZACIÓN DIURNA,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019,autismo_F840,principal,HOSPITALIZACIÓN EN URGENCIA,10,4.7,6.532823109328598,2.0,1.25,6.0,8.499999999999995,22.0,47.0,1
2019,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),101,0.009900990099009901,0.09950371902099892,0.0,0.0,0.0,0.0,1.0,1.0,100
2019,autismo_F840,solo_secundario,HOSPITALIZACIÓN,978,7.9079754601226995,25.03932869233428,3.0,1.0,6.0,16.300000000000068,557.0,7734.0,164
2019,autismo_F840,solo_secundario,HOSPITALIZACIÓN DIURNA,127,0.015748031496062992,0.12499218823234556,0.0,0.0,0.0,0.0,1.0,2.0,125
2019,autismo_F840,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,44,2.227272727272727,2.819068264050808,1.0,0.0,3.0,4.700000000000003,11.0,98.0,14
2020,autismo_F840,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020,autismo_F840,principal,HOSPITALIZACIÓN,112,24.205357142857142,65.18402755675619,9.0,4.0,20.25,38.60000000000002,591.0,2711.0,9
2020,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),57,0.05263157894736842,0.22528177844479147,0.0,0.0,0.0,0.0,1.0,3.0,54
2020,autismo_F840,solo_secundario,HOSPITALIZACIÓN,913,10.306681270536693,66.00644679808306,3.0,1.0,7.0,17.0,1463.0,9410.0,127
2021,autismo_F840,principal,HOSPITALIZACIÓN,139,31.798561151079138,127.32175263311012,7.0,1.0,27.0,53.60000000000001,1444.0,4420.0,16
2021,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),150,0.05333333333333334,0.2254500842585117,0.0,0.0,0.0,0.0,1.0,8.0,142
2021,autismo_F840,solo_secundario,HOSPITALIZACIÓN,1559,8.103271327774214,27.398176214757136,3.0,1.0,7.0,16.0,647.0,12633.0,231
2022,autismo_F840,principal,HOSPITALIZACIÓN,202,17.866336633663366,42.717129930486365,6.0,1.0,18.0,34.70000000000002,420.0,3609.0,17
2022,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),302,0.029801324503311258,0.17032105777763462,0.0,0.0,0.0,0.0,1.0,9.0,293
2022,autismo_F840,solo_secundario,HOSPITALIZACIÓN,2557,6.413766132186155,18.471017726846355,3.0,1.0,7.0,15.0,728.0,16400.0,359
2023,autismo_F840,principal,HOSPITALIZACIÓN,253,13.09486166007905,38.65823611501744,5.0,1.0,13.0,27.80000000000001,506.0,3313.0,10
2023,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),581,0.024096385542168676,0.15348059858524657,0.0,0.0,0.0,0.0,1.0,14.0,567
2023,autismo_F840,solo_secundario,HOSPITALIZACIÓN,4491,6.712981518592741,14.170038289202903,3.0,1.0,7.0,15.0,592.0,30148.0,452
2024,autismo_F840,principal,HOSPITALIZACIÓN,279,12.362007168458781,23.293902409900387,5.0,1.0,14.0,28.0,261.0,3449.0,23
2024,autismo_F840,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),1017,0.0344149459193707,0.1823821939178534,0.0,0.0,0.0,0.0,1.0,35.0,982
2024,autismo_F840,solo_secundario,HOSPITALIZACIÓN,5933,6.943030507331873,14.010488462966496,3.0,1.0,7.0,17.0,552.0,41193.0,572
2019,TEA_operacional,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,TEA_operacional,principal,HOSPITALIZACIÓN,197,15.934010152284264,25.453453128869764,7.0,1.0,21.0,37.0,196.0,3139.0,24
2019,TEA_operacional,principal,HOSPITALIZACIÓN DIURNA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2019,TEA_operacional,principal,HOSPITALIZACIÓN EN URGENCIA,15,4.4,5.487648468541486,2.0,1.0,6.0,7.6,22.0,66.0,1
2019,TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,6,20.333333333333332,22.783034623742875,14.5,3.0,29.0,44.5,59.0,122.0,0
2019,TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),167,0.04790419161676647,0.2142058247195213,0.0,0.0,0.0,0.0,1.0,8.0,159
2019,TEA_operacional,solo_secundario,HOSPITALIZACIÓN,1699,8.516185991759858,27.151716838142516,3.0,1.0,7.0,17.0,557.0,14469.0,254
2019,TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,155,0.08387096774193549,0.8897310166246103,0.0,0.0,0.0,0.0,11.0,13.0,152
