year,definition,role,month,records
2019,autismo_F840,principal,1.0,7
2019,autismo_F840,principal,2.0,16
2019,autismo_F840,principal,3.0,8
2019,autismo_F840,principal,4.0,13
2019,autismo_F840,principal,5.0,12
2019,autismo_F840,principal,6.0,17
2019,autismo_F840,principal,7.0,7
2019,autismo_F840,principal,8.0,14
2019,autismo_F840,principal,9.0,13
2019,autismo_F840,principal,10.0,10
2019,autismo_F840,principal,11.0,15
2019,autismo_F840,principal,12.0,18
2019,autismo_F840,solo_secundario,1.0,97
2019,autismo_F840,solo_secundario,2.0,77
2019,autismo_F840,solo_secundario,3.0,87
2019,autismo_F840,solo_secundario,4.0,102
2019,autismo_F840,solo_secundario,5.0,105
2019,autismo_F840,solo_secundario,6.0,107
2019,autismo_F840,solo_secundario,7.0,100
2019,autismo_F840,solo_secundario,8.0,140
2019,autismo_F840,solo_secundario,9.0,108
2019,autismo_F840,solo_secundario,10.0,105
2019,autismo_F840,solo_secundario,11.0,101
2019,autismo_F840,solo_secundario,12.0,121
2020,autismo_F840,principal,1.0,19
2020,autismo_F840,principal,2.0,7
2020,autismo_F840,principal,3.0,10
2020,autismo_F840,principal,4.0,4
2020,autismo_F840,principal,5.0,6
2020,autismo_F840,principal,6.0,3
2020,autismo_F840,principal,7.0,13
2020,autismo_F840,principal,8.0,12
2020,autismo_F840,principal,9.0,15
2020,autismo_F840,principal,10.0,7
2020,autismo_F840,principal,11.0,12
2020,autismo_F840,principal,12.0,6
2020,autismo_F840,solo_secundario,1.0,129
2020,autismo_F840,solo_secundario,2.0,105
2020,autismo_F840,solo_secundario,3.0,92
2020,autismo_F840,solo_secundario,4.0,58
2020,autismo_F840,solo_secundario,5.0,51
2020,autismo_F840,solo_secundario,6.0,54
2020,autismo_F840,solo_secundario,7.0,48
2020,autismo_F840,solo_secundario,8.0,73
2020,autismo_F840,solo_secundario,9.0,66
2020,autismo_F840,solo_secundario,10.0,88
2020,autismo_F840,solo_secundario,11.0,115
2020,autismo_F840,solo_secundario,12.0,91
2021,autismo_F840,principal,1.0,6
2021,autismo_F840,principal,2.0,8
2021,autismo_F840,principal,3.0,9
2021,autismo_F840,principal,4.0,8
2021,autismo_F840,principal,5.0,8
2021,autismo_F840,principal,6.0,12
2021,autismo_F840,principal,7.0,16
2021,autismo_F840,principal,8.0,16
2021,autismo_F840,principal,9.0,13
2021,autismo_F840,principal,10.0,10
2021,autismo_F840,principal,11.0,18
2021,autismo_F840,principal,12.0,15
2021,autismo_F840,solo_secundario,1.0,133
2021,autismo_F840,solo_secundario,2.0,86
2021,autismo_F840,solo_secundario,3.0,123
2021,autismo_F840,solo_secundario,4.0,141
2021,autismo_F840,solo_secundario,5.0,138
2021,autismo_F840,solo_secundario,6.0,130
2021,autismo_F840,solo_secundario,7.0,154
2021,autismo_F840,solo_secundario,8.0,166
2021,autismo_F840,solo_secundario,9.0,157
2021,autismo_F840,solo_secundario,10.0,139
2021,autismo_F840,solo_secundario,11.0,192
2021,autismo_F840,solo_secundario,12.0,150
2022,autismo_F840,principal,1.0,14
2022,autismo_F840,principal,2.0,7
2022,autismo_F840,principal,3.0,24
2022,autismo_F840,principal,4.0,23
2022,autismo_F840,principal,5.0,18
2022,autismo_F840,principal,6.0,14
2022,autismo_F840,principal,7.0,16
2022,autismo_F840,principal,8.0,18
2022,autismo_F840,principal,9.0,16
2022,autismo_F840,principal,10.0,12
2022,autismo_F840,principal,11.0,20
2022,autismo_F840,principal,12.0,20
2022,autismo_F840,solo_secundario,1.0,184
2022,autismo_F840,solo_secundario,2.0,131
2022,autismo_F840,solo_secundario,3.0,217
2022,autismo_F840,solo_secundario,4.0,231
2022,autismo_F840,solo_secundario,5.0,241
2022,autismo_F840,solo_secundario,6.0,235
2022,autismo_F840,solo_secundario,7.0,202
2022,autismo_F840,solo_secundario,8.0,254
2022,autismo_F840,solo_secundario,9.0,272
2022,autismo_F840,solo_secundario,10.0,298
2022,autismo_F840,solo_secundario,11.0,322
2022,autismo_F840,solo_secundario,12.0,272
2023,autismo_F840,principal,1.0,19
2023,autismo_F840,principal,2.0,18
2023,autismo_F840,principal,3.0,19
2023,autismo_F840,principal,4.0,24
2023,autismo_F840,principal,5.0,24
2023,autismo_F840,principal,6.0,14
2023,autismo_F840,principal,7.0,17
2023,autismo_F840,principal,8.0,27
2023,autismo_F840,principal,9.0,22
2023,autismo_F840,principal,10.0,19
2023,autismo_F840,principal,11.0,29
2023,autismo_F840,principal,12.0,21
2023,autismo_F840,solo_secundario,1.0,328
2023,autismo_F840,solo_secundario,2.0,267
2023,autismo_F840,solo_secundario,3.0,409
2023,autismo_F840,solo_secundario,4.0,398
2023,autismo_F840,solo_secundario,5.0,430
2023,autismo_F840,solo_secundario,6.0,396
2023,autismo_F840,solo_secundario,7.0,428
2023,autismo_F840,solo_secundario,8.0,500
2023,autismo_F840,solo_secundario,9.0,432
2023,autismo_F840,solo_secundario,10.0,504
2023,autismo_F840,solo_secundario,11.0,547
2023,autismo_F840,solo_secundario,12.0,433
2024,autismo_F840,principal,1.0,26
2024,autismo_F840,principal,2.0,15
2024,autismo_F840,principal,3.0,28
2024,autismo_F840,principal,4.0,30
2024,autismo_F840,principal,5.0,27
2024,autismo_F840,principal,6.0,27
2024,autismo_F840,principal,7.0,17
2024,autismo_F840,principal,8.0,20
2024,autismo_F840,principal,9.0,17
2024,autismo_F840,principal,10.0,23
2024,autismo_F840,principal,11.0,25
2024,autismo_F840,principal,12.0,24
2024,autismo_F840,principal,,1
2024,autismo_F840,solo_secundario,1.0,506
2024,autismo_F840,solo_secundario,2.0,432
2024,autismo_F840,solo_secundario,3.0,555
2024,autismo_F840,solo_secundario,4.0,586
2024,autismo_F840,solo_secundario,5.0,571
2024,autismo_F840,solo_secundario,6.0,492
2024,autismo_F840,solo_secundario,7.0,661
2024,autismo_F840,solo_secundario,8.0,621
2024,autismo_F840,solo_secundario,9.0,591
2024,autismo_F840,solo_secundario,10.0,718
2024,autismo_F840,solo_secundario,11.0,650
2024,autismo_F840,solo_secundario,12.0,567
2019,TEA_operacional,principal,1.0,19
2019,TEA_operacional,principal,2.0,22
2019,TEA_operacional,principal,3.0,14
2019,TEA_operacional,principal,4.0,18
2019,TEA_operacional,principal,5.0,20
2019,TEA_operacional,principal,6.0,21
2019,TEA_operacional,principal,7.0,15
2019,TEA_operacional,principal,8.0,18
2019,TEA_operacional,principal,9.0,15
2019,TEA_operacional,principal,10.0,17
2019,TEA_operacional,principal,11.0,18
2019,TEA_operacional,principal,12.0,24
2019,TEA_operacional,principal_y_secundario,2.0,1
2019,TEA_operacional,principal_y_secundario,4.0,1
2019,TEA_operacional,principal_y_secundario,9.0,1
2019,TEA_operacional,principal_y_secundario,12.0,3
2019,TEA_operacional,solo_secundario,1.0,189
2019,TEA_operacional,solo_secundario,2.0,129
2019,TEA_operacional,solo_secundario,3.0,165
2019,TEA_operacional,solo_secundario,4.0,172
2019,TEA_operacional,solo_secundario,5.0,162
2019,TEA_operacional,solo_secundario,6.0,164
2019,TEA_operacional,solo_secundario,7.0,182
2019,TEA_operacional,solo_secundario,8.0,204
2019,TEA_operacional,solo_secundario,9.0,182
2019,TEA_operacional,solo_secundario,10.0,180
2019,TEA_operacional,solo_secundario,11.0,171
2019,TEA_operacional,solo_secundario,12.0,197
2020,TEA_operacional,principal,1.0,20
2020,TEA_operacional,principal,2.0,18
2020,TEA_operacional,principal,3.0,15
2020,TEA_operacional,principal,4.0,8
2020,TEA_operacional,principal,5.0,9
2020,TEA_operacional,principal,6.0,4
2020,TEA_operacional,principal,7.0,18
2020,TEA_operacional,principal,8.0,14
2020,TEA_operacional,principal,9.0,16
2020,TEA_operacional,principal,10.0,11
2020,TEA_operacional,principal,11.0,11
2020,TEA_operacional,principal,12.0,8
2020,TEA_operacional,principal_y_secundario,1.0,3
2020,TEA_operacional,principal_y_secundario,10.0,1
2020,TEA_operacional,principal_y_secundario,11.0,1
2020,TEA_operacional,solo_secundario,1.0,210
2020,TEA_operacional,solo_secundario,2.0,179
2020,TEA_operacional,solo_secundario,3.0,134
2020,TEA_operacional,solo_secundario,4.0,92
2020,TEA_operacional,solo_secundario,5.0,75
2020,TEA_operacional,solo_secundario,6.0,71
2020,TEA_operacional,solo_secundario,7.0,68
2020,TEA_operacional,solo_secundario,8.0,105
2020,TEA_operacional,solo_secundario,9.0,96
2020,TEA_operacional,solo_secundario,10.0,125
2020,TEA_operacional,solo_secundario,11.0,158
2020,TEA_operacional,solo_secundario,12.0,128
2021,TEA_operacional,principal,1.0,6
2021,TEA_operacional,principal,2.0,9
2021,TEA_operacional,principal,3.0,15
2021,TEA_operacional,principal,4.0,10
2021,TEA_operacional,principal,5.0,14
2021,TEA_operacional,principal,6.0,13
2021,TEA_operacional,principal,7.0,23
2021,TEA_operacional,principal,8.0,17
2021,TEA_operacional,principal,9.0,19
2021,TEA_operacional,principal,10.0,16
2021,TEA_operacional,principal,11.0,22
2021,TEA_operacional,principal,12.0,19
2021,TEA_operacional,principal_y_secundario,1.0,1
2021,TEA_operacional,principal_y_secundario,3.0,1
2021,TEA_operacional,principal_y_secundario,9.0,1
2021,TEA_operacional,solo_secundario,1.0,161
2021,TEA_operacional,solo_secundario,2.0,110
2021,TEA_operacional,solo_secundario,3.0,163
2021,TEA_operacional,solo_secundario,4.0,172
2021,TEA_operacional,solo_secundario,5.0,171
2021,TEA_operacional,solo_secundario,6.0,155
2021,TEA_operacional,solo_secundario,7.0,181
2021,TEA_operacional,solo_secundario,8.0,211
2021,TEA_operacional,solo_secundario,9.0,212
2021,TEA_operacional,solo_secundario,10.0,196
2021,TEA_operacional,solo_secundario,11.0,251
2021,TEA_operacional,solo_secundario,12.0,186
2022,TEA_operacional,principal,1.0,23
2022,TEA_operacional,principal,2.0,17
2022,TEA_operacional,principal,3.0,34
2022,TEA_operacional,principal,4.0,31
2022,TEA_operacional,principal,5.0,21
2022,TEA_operacional,principal,6.0,23
2022,TEA_operacional,principal,7.0,18
2022,TEA_operacional,principal,8.0,29
2022,TEA_operacional,principal,9.0,20
2022,TEA_operacional,principal,10.0,16
2022,TEA_operacional,principal,11.0,27
2022,TEA_operacional,principal,12.0,27
2022,TEA_operacional,principal_y_secundario,1.0,1
2022,TEA_operacional,principal_y_secundario,2.0,1
2022,TEA_operacional,principal_y_secundario,4.0,1
2022,TEA_operacional,principal_y_secundario,5.0,1
2022,TEA_operacional,principal_y_secundario,6.0,2
2022,TEA_operacional,principal_y_secundario,8.0,1
2022,TEA_operacional,principal_y_secundario,10.0,1
2022,TEA_operacional,solo_secundario,1.0,224
2022,TEA_operacional,solo_secundario,2.0,173
2022,TEA_operacional,solo_secundario,3.0,276
2022,TEA_operacional,solo_secundario,4.0,286
2022,TEA_operacional,solo_secundario,5.0,302
2022,TEA_operacional,solo_secundario,6.0,289
