era,definition,episodes,persons,records
2019-2020,autismo_F840,1,1720,1720
2019-2020,autismo_F840,2,185,370
2019-2020,autismo_F840,3,42,126
2019-2020,autismo_F840,4-5,30,131
2019-2020,autismo_F840,6+,15,135
2021-2024,autismo_F840,1,10784,10784
2021-2024,autismo_F840,2,1570,3140
2021-2024,autismo_F840,3,417,1251
2021-2024,autismo_F840,4-5,231,992
2021-2024,autismo_F840,6+,136,1292
2019-2020,TEA_operacional,1,2621,2621
2019-2020,TEA_operacional,2,314,628
2019-2020,TEA_operacional,3,78,234
2019-2020,TEA_operacional,4-5,47,199
2019-2020,TEA_operacional,6+,25,236
2021-2024,TEA_operacional,1,12641,12641
2021-2024,TEA_operacional,2,1956,3912
2021-2024,TEA_operacional,3,541,1623
2021-2024,TEA_operacional,4-5,300,1296
2021-2024,TEA_operacional,6+,189,1850
2019-2020,F84_historico,1,2668,2668
2019-2020,F84_historico,2,329,658
2019-2020,F84_historico,3,80,240
2019-2020,F84_historico,4-5,50,212
2019-2020,F84_historico,6+,25,236
2021-2024,F84_historico,1,12723,12723
2021-2024,F84_historico,2,1981,3962
2021-2024,F84_historico,3,550,1650
2021-2024,F84_historico,4-5,310,1340
2021-2024,F84_historico,6+,198,1921
