era,definition,sex,age_group,comuna_norm,persons
2019-2020,autismo_F840,HOMBRE,0-4,AISEN,1
2019-2020,autismo_F840,HOMBRE,0-4,ALHUE,1
2019-2020,autismo_F840,HOMBRE,0-4,ALTO HOSPICIO,3
2019-2020,autismo_F840,HOMBRE,0-4,ANCUD,2
2019-2020,autismo_F840,HOMBRE,0-4,ANTOFAGASTA,20
2019-2020,autismo_F840,HOMBRE,0-4,ARAUCO,2
2019-2020,autismo_F840,HOMBRE,0-4,ARICA,10
2019-2020,autismo_F840,HOMBRE,0-4,BUIN,2
2019-2020,autismo_F840,HOMBRE,0-4,CALAMA,4
2019-2020,autismo_F840,HOMBRE,0-4,CASABLANCA,1
2019-2020,autismo_F840,HOMBRE,0-4,CASTRO,2
2019-2020,autismo_F840,HOMBRE,0-4,CERRILLOS,1
2019-2020,autismo_F840,HOMBRE,0-4,CERRO NAVIA,1
2019-2020,autismo_F840,HOMBRE,0-4,CHILLAN,11
2019-2020,autismo_F840,HOMBRE,0-4,CHILLAN VIEJO,1
2019-2020,autismo_F840,HOMBRE,0-4,CHIMBARONGO,2
2019-2020,autismo_F840,HOMBRE,0-4,CHOLCHOL,1
2019-2020,autismo_F840,HOMBRE,0-4,COELEMU,1
2019-2020,autismo_F840,HOMBRE,0-4,COIHAIQUE,1
2019-2020,autismo_F840,HOMBRE,0-4,COIHUECO,1
2019-2020,autismo_F840,HOMBRE,0-4,COLBUN,2
2019-2020,autismo_F840,HOMBRE,0-4,COLINA,2
2019-2020,autismo_F840,HOMBRE,0-4,COLTAUCO,1
2019-2020,autismo_F840,HOMBRE,0-4,CON CON,1
2019-2020,autismo_F840,HOMBRE,0-4,CONCEPCION,11
2019-2020,autismo_F840,HOMBRE,0-4,COPIAPO,2
2019-2020,autismo_F840,HOMBRE,0-4,COQUIMBO,18
2019-2020,autismo_F840,HOMBRE,0-4,CORONEL,4
2019-2020,autismo_F840,HOMBRE,0-4,CURACAVI,2
2019-2020,autismo_F840,HOMBRE,0-4,CURANILAHUE,2
2019-2020,autismo_F840,HOMBRE,0-4,DALCAHUE,1
2019-2020,autismo_F840,HOMBRE,0-4,EL BOSQUE,1
2019-2020,autismo_F840,HOMBRE,0-4,EL MONTE,1
2019-2020,autismo_F840,HOMBRE,0-4,ESTACION CENTRAL,2
2019-2020,autismo_F840,HOMBRE,0-4,GALVARINO,1
2019-2020,autismo_F840,HOMBRE,0-4,GRANEROS,1
2019-2020,autismo_F840,HOMBRE,0-4,HUALPEN,2
2019-2020,autismo_F840,HOMBRE,0-4,HUALQUI,1
2019-2020,autismo_F840,HOMBRE,0-4,HUECHURABA,1
2019-2020,autismo_F840,HOMBRE,0-4,INDEPENDENCIA,3
2019-2020,autismo_F840,HOMBRE,0-4,IQUIQUE,5
2019-2020,autismo_F840,HOMBRE,0-4,LA CISTERNA,1
2019-2020,autismo_F840,HOMBRE,0-4,LA FLORIDA,4
2019-2020,autismo_F840,HOMBRE,0-4,LA GRANJA,1
2019-2020,autismo_F840,HOMBRE,0-4,LA LIGUA,1
2019-2020,autismo_F840,HOMBRE,0-4,LA REINA,1
2019-2020,autismo_F840,HOMBRE,0-4,LA SERENA,2
2019-2020,autismo_F840,HOMBRE,0-4,LA UNION,1
2019-2020,autismo_F840,HOMBRE,0-4,LAMPA,1
2019-2020,autismo_F840,HOMBRE,0-4,LANCO,1
2019-2020,autismo_F840,HOMBRE,0-4,LIMACHE,1
2019-2020,autismo_F840,HOMBRE,0-4,LINARES,3
2019-2020,autismo_F840,HOMBRE,0-4,LO ESPEJO,1
2019-2020,autismo_F840,HOMBRE,0-4,LO PRADO,1
2019-2020,autismo_F840,HOMBRE,0-4,LONCOCHE,1
2019-2020,autismo_F840,HOMBRE,0-4,LOS ALAMOS,1
2019-2020,autismo_F840,HOMBRE,0-4,LOS ANGELES,4
2019-2020,autismo_F840,HOMBRE,0-4,MACHALI,1
2019-2020,autismo_F840,HOMBRE,0-4,MACUL,2
2019-2020,autismo_F840,HOMBRE,0-4,MAIPU,6
2019-2020,autismo_F840,HOMBRE,0-4,MALLOA,1
2019-2020,autismo_F840,HOMBRE,0-4,MAULE,1
2019-2020,autismo_F840,HOMBRE,0-4,MOLINA,1
2019-2020,autismo_F840,HOMBRE,0-4,MONTE PATRIA,1
2019-2020,autismo_F840,HOMBRE,0-4,MULCHEN,1
2019-2020,autismo_F840,HOMBRE,0-4,NACIMIENTO,1
2019-2020,autismo_F840,HOMBRE,0-4,NIQUEN,1
2019-2020,autismo_F840,HOMBRE,0-4,NUEVA IMPERIAL,1
2019-2020,autismo_F840,HOMBRE,0-4,OSORNO,3
2019-2020,autismo_F840,HOMBRE,0-4,OVALLE,2
2019-2020,autismo_F840,HOMBRE,0-4,PADRE LAS CASAS,2
2019-2020,autismo_F840,HOMBRE,0-4,PANGUIPULLI,1
2019-2020,autismo_F840,HOMBRE,0-4,PEDRO AGUIRRE CERDA,1
2019-2020,autismo_F840,HOMBRE,0-4,PENALOLEN,3
2019-2020,autismo_F840,HOMBRE,0-4,PENCO,1
2019-2020,autismo_F840,HOMBRE,0-4,PITRUFQUEN,1
2019-2020,autismo_F840,HOMBRE,0-4,PROVIDENCIA,1
2019-2020,autismo_F840,HOMBRE,0-4,PUDAHUEL,5
2019-2020,autismo_F840,HOMBRE,0-4,PUENTE ALTO,22
2019-2020,autismo_F840,HOMBRE,0-4,PUERTO MONTT,8
2019-2020,autismo_F840,HOMBRE,0-4,PUNTA ARENAS,5
2019-2020,autismo_F840,HOMBRE,0-4,PURRANQUE,2
2019-2020,autismo_F840,HOMBRE,0-4,QUEILEN,1
2019-2020,autismo_F840,HOMBRE,0-4,QUILICURA,5
2019-2020,autismo_F840,HOMBRE,0-4,QUILLON,1
2019-2020,autismo_F840,HOMBRE,0-4,QUILPUE,2
2019-2020,autismo_F840,HOMBRE,0-4,QUINTA NORMAL,1
2019-2020,autismo_F840,HOMBRE,0-4,RANCAGUA,5
2019-2020,autismo_F840,HOMBRE,0-4,RECOLETA,3
2019-2020,autismo_F840,HOMBRE,0-4,RENCA,4
2019-2020,autismo_F840,HOMBRE,0-4,RETIRO,1
2019-2020,autismo_F840,HOMBRE,0-4,RIO BUENO,1
2019-2020,autismo_F840,HOMBRE,0-4,SAN ANTONIO,9
2019-2020,autismo_F840,HOMBRE,0-4,SAN BERNARDO,7
2019-2020,autismo_F840,HOMBRE,0-4,SAN FELIPE,1
2019-2020,autismo_F840,HOMBRE,0-4,SAN FERNANDO,1
2019-2020,autismo_F840,HOMBRE,0-4,SAN JOAQUIN,3
2019-2020,autismo_F840,HOMBRE,0-4,SAN MIGUEL,4
2019-2020,autismo_F840,HOMBRE,0-4,SAN PEDRO DE LA PAZ,2
2019-2020,autismo_F840,HOMBRE,0-4,SAN RAMON,1
2019-2020,autismo_F840,HOMBRE,0-4,SANTIAGO,11
2019-2020,autismo_F840,HOMBRE,0-4,TALAGANTE,1
2019-2020,autismo_F840,HOMBRE,0-4,TALCA,4
2019-2020,autismo_F840,HOMBRE,0-4,TALCAHUANO,4
2019-2020,autismo_F840,HOMBRE,0-4,TEMUCO,6
2019-2020,autismo_F840,HOMBRE,0-4,TIERRA AMARILLA,1
2019-2020,autismo_F840,HOMBRE,0-4,TOCOPILLA,3
2019-2020,autismo_F840,HOMBRE,0-4,TOLTEN,1
2019-2020,autismo_F840,HOMBRE,0-4,TOME,2
2019-2020,autismo_F840,HOMBRE,0-4,VALDIVIA,3
2019-2020,autismo_F840,HOMBRE,0-4,VALLENAR,2
2019-2020,autismo_F840,HOMBRE,0-4,VALPARAISO,9
2019-2020,autismo_F840,HOMBRE,0-4,VICTORIA,1
2019-2020,autismo_F840,HOMBRE,0-4,VICUNA,1
2019-2020,autismo_F840,HOMBRE,0-4,VILCUN,4
2019-2020,autismo_F840,HOMBRE,0-4,VILLA ALEMANA,2
2019-2020,autismo_F840,HOMBRE,0-4,VILLARRICA,2
2019-2020,autismo_F840,HOMBRE,0-4,VINA DEL MAR,3
2019-2020,autismo_F840,HOMBRE,0-4,YUMBEL,1
