year,definition,sex,age_group,comuna_norm,persons
2019,autismo_F840,HOMBRE,0-4,AISEN,1
2019,autismo_F840,HOMBRE,0-4,ALHUE,1
2019,autismo_F840,HOMBRE,0-4,ALTO HOSPICIO,3
2019,autismo_F840,HOMBRE,0-4,ANCUD,1
2019,autismo_F840,HOMBRE,0-4,ANTOFAGASTA,14
2019,autismo_F840,HOMBRE,0-4,ARAUCO,2
2019,autismo_F840,HOMBRE,0-4,ARICA,5
2019,autismo_F840,HOMBRE,0-4,BUIN,2
2019,autismo_F840,HOMBRE,0-4,CALAMA,2
2019,autismo_F840,HOMBRE,0-4,CASTRO,2
2019,autismo_F840,HOMBRE,0-4,CERRILLOS,1
2019,autismo_F840,HOMBRE,0-4,CHILLAN,9
2019,autismo_F840,HOMBRE,0-4,CHIMBARONGO,2
2019,autismo_F840,HOMBRE,0-4,COIHAIQUE,1
2019,autismo_F840,HOMBRE,0-4,COIHUECO,1
2019,autismo_F840,HOMBRE,0-4,COLBUN,1
2019,autismo_F840,HOMBRE,0-4,COLINA,2
2019,autismo_F840,HOMBRE,0-4,CON CON,1
2019,autismo_F840,HOMBRE,0-4,CONCEPCION,9
2019,autismo_F840,HOMBRE,0-4,COQUIMBO,11
2019,autismo_F840,HOMBRE,0-4,CORONEL,3
2019,autismo_F840,HOMBRE,0-4,CURACAVI,2
2019,autismo_F840,HOMBRE,0-4,CURANILAHUE,2
2019,autismo_F840,HOMBRE,0-4,ESTACION CENTRAL,2
2019,autismo_F840,HOMBRE,0-4,GALVARINO,1
2019,autismo_F840,HOMBRE,0-4,HUALPEN,1
2019,autismo_F840,HOMBRE,0-4,HUECHURABA,1
2019,autismo_F840,HOMBRE,0-4,INDEPENDENCIA,3
2019,autismo_F840,HOMBRE,0-4,IQUIQUE,5
2019,autismo_F840,HOMBRE,0-4,LA FLORIDA,2
2019,autismo_F840,HOMBRE,0-4,LA GRANJA,1
2019,autismo_F840,HOMBRE,0-4,LA LIGUA,1
2019,autismo_F840,HOMBRE,0-4,LA REINA,1
2019,autismo_F840,HOMBRE,0-4,LAMPA,1
2019,autismo_F840,HOMBRE,0-4,LANCO,1
2019,autismo_F840,HOMBRE,0-4,LIMACHE,1
2019,autismo_F840,HOMBRE,0-4,LINARES,2
2019,autismo_F840,HOMBRE,0-4,LO ESPEJO,1
2019,autismo_F840,HOMBRE,0-4,LOS ALAMOS,1
2019,autismo_F840,HOMBRE,0-4,LOS ANGELES,2
2019,autismo_F840,HOMBRE,0-4,MACUL,2
2019,autismo_F840,HOMBRE,0-4,MAIPU,3
2019,autismo_F840,HOMBRE,0-4,MAULE,1
2019,autismo_F840,HOMBRE,0-4,MONTE PATRIA,1
2019,autismo_F840,HOMBRE,0-4,MULCHEN,1
2019,autismo_F840,HOMBRE,0-4,NACIMIENTO,1
2019,autismo_F840,HOMBRE,0-4,NIQUEN,1
2019,autismo_F840,HOMBRE,0-4,NUEVA IMPERIAL,1
2019,autismo_F840,HOMBRE,0-4,OSORNO,2
2019,autismo_F840,HOMBRE,0-4,OVALLE,1
2019,autismo_F840,HOMBRE,0-4,PADRE LAS CASAS,1
2019,autismo_F840,HOMBRE,0-4,PENALOLEN,1
2019,autismo_F840,HOMBRE,0-4,PENCO,1
2019,autismo_F840,HOMBRE,0-4,PROVIDENCIA,1
2019,autismo_F840,HOMBRE,0-4,PUDAHUEL,2
2019,autismo_F840,HOMBRE,0-4,PUENTE ALTO,12
2019,autismo_F840,HOMBRE,0-4,PUERTO MONTT,5
2019,autismo_F840,HOMBRE,0-4,PUNTA ARENAS,2
2019,autismo_F840,HOMBRE,0-4,PURRANQUE,1
2019,autismo_F840,HOMBRE,0-4,QUEILEN,1
2019,autismo_F840,HOMBRE,0-4,QUILICURA,5
2019,autismo_F840,HOMBRE,0-4,QUILLON,1
2019,autismo_F840,HOMBRE,0-4,QUILPUE,1
2019,autismo_F840,HOMBRE,0-4,RANCAGUA,4
2019,autismo_F840,HOMBRE,0-4,RECOLETA,2
2019,autismo_F840,HOMBRE,0-4,RENCA,2
2019,autismo_F840,HOMBRE,0-4,SAN ANTONIO,8
2019,autismo_F840,HOMBRE,0-4,SAN BERNARDO,4
2019,autismo_F840,HOMBRE,0-4,SAN FELIPE,1
2019,autismo_F840,HOMBRE,0-4,SAN FERNANDO,1
2019,autismo_F840,HOMBRE,0-4,SAN JOAQUIN,2
2019,autismo_F840,HOMBRE,0-4,SAN PEDRO DE LA PAZ,1
2019,autismo_F840,HOMBRE,0-4,SANTIAGO,8
2019,autismo_F840,HOMBRE,0-4,TALAGANTE,1
2019,autismo_F840,HOMBRE,0-4,TALCAHUANO,2
2019,autismo_F840,HOMBRE,0-4,TEMUCO,4
2019,autismo_F840,HOMBRE,0-4,TOCOPILLA,2
2019,autismo_F840,HOMBRE,0-4,TOME,1
2019,autismo_F840,HOMBRE,0-4,VALDIVIA,2
2019,autismo_F840,HOMBRE,0-4,VALLENAR,2
2019,autismo_F840,HOMBRE,0-4,VALPARAISO,7
2019,autismo_F840,HOMBRE,0-4,VICUNA,1
2019,autismo_F840,HOMBRE,0-4,VILCUN,3
2019,autismo_F840,HOMBRE,0-4,VILLA ALEMANA,2
2019,autismo_F840,HOMBRE,0-4,VILLARRICA,1
2019,autismo_F840,HOMBRE,0-4,VINA DEL MAR,2
2019,autismo_F840,HOMBRE,0-4,YUMBEL,1
2019,autismo_F840,HOMBRE,10-14,ANTOFAGASTA,9
2019,autismo_F840,HOMBRE,10-14,ARICA,6
2019,autismo_F840,HOMBRE,10-14,BUIN,1
2019,autismo_F840,HOMBRE,10-14,CABILDO,1
2019,autismo_F840,HOMBRE,10-14,CALAMA,2
2019,autismo_F840,HOMBRE,10-14,CALLE LARGA,1
2019,autismo_F840,HOMBRE,10-14,CANETE,1
2019,autismo_F840,HOMBRE,10-14,CASTRO,1
2019,autismo_F840,HOMBRE,10-14,CERRILLOS,1
2019,autismo_F840,HOMBRE,10-14,CHIGUAYANTE,1
2019,autismo_F840,HOMBRE,10-14,CHILLAN,13
2019,autismo_F840,HOMBRE,10-14,COELEMU,2
2019,autismo_F840,HOMBRE,10-14,COLINA,1
2019,autismo_F840,HOMBRE,10-14,CON CON,1
2019,autismo_F840,HOMBRE,10-14,CONCEPCION,6
2019,autismo_F840,HOMBRE,10-14,CONCHALI,1
2019,autismo_F840,HOMBRE,10-14,COPIAPO,1
2019,autismo_F840,HOMBRE,10-14,COQUIMBO,3
2019,autismo_F840,HOMBRE,10-14,CORONEL,4
2019,autismo_F840,HOMBRE,10-14,CURACAUTIN,1
2019,autismo_F840,HOMBRE,10-14,CURICO,1
2019,autismo_F840,HOMBRE,10-14,EL BOSQUE,2
2019,autismo_F840,HOMBRE,10-14,EL CARMEN,2
2019,autismo_F840,HOMBRE,10-14,EL QUISCO,1
2019,autismo_F840,HOMBRE,10-14,FLORIDA,1
2019,autismo_F840,HOMBRE,10-14,HUALPEN,1
2019,autismo_F840,HOMBRE,10-14,HUECHURABA,3
2019,autismo_F840,HOMBRE,10-14,INDEPENDENCIA,1
2019,autismo_F840,HOMBRE,10-14,IQUIQUE,3
2019,autismo_F840,HOMBRE,10-14,LA FLORIDA,4
2019,autismo_F840,HOMBRE,10-14,LA GRANJA,1
2019,autismo_F840,HOMBRE,10-14,LA PINTANA,2
2019,autismo_F840,HOMBRE,10-14,LA REINA,1
2019,autismo_F840,HOMBRE,10-14,LA SERENA,3
2019,autismo_F840,HOMBRE,10-14,LAS CONDES,1
2019,autismo_F840,HOMBRE,10-14,LEBU,1
2019,autismo_F840,HOMBRE,10-14,LO BARNECHEA,1
2019,autismo_F840,HOMBRE,10-14,LO PRADO,1
2019,autismo_F840,HOMBRE,10-14,LOS ANGELES,7
2019,autismo_F840,HOMBRE,10-14,LOS SAUCES,1
2019,autismo_F840,HOMBRE,10-14,MACUL,4
2019,autismo_F840,HOMBRE,10-14,MAIPU,3
2019,autismo_F840,HOMBRE,10-14,MEJILLONES,1
2019,autismo_F840,HOMBRE,10-14,MELIPILLA,3
2019,autismo_F840,HOMBRE,10-14,NINHUE,1
2019,autismo_F840,HOMBRE,10-14,NOGALES,1
2019,autismo_F840,HOMBRE,10-14,OVALLE,2
2019,autismo_F840,HOMBRE,10-14,PADRE HURTADO,1
2019,autismo_F840,HOMBRE,10-14,PEDRO AGUIRRE CERDA,2
2019,autismo_F840,HOMBRE,10-14,PITRUFQUEN,1
2019,autismo_F840,HOMBRE,10-14,PUCON,1
2019,autismo_F840,HOMBRE,10-14,PUDAHUEL,3
2019,autismo_F840,HOMBRE,10-14,PUENTE ALTO,7
2019,autismo_F840,HOMBRE,10-14,PUERTO MONTT,4
2019,autismo_F840,HOMBRE,10-14,PUERTO VARAS,1
2019,autismo_F840,HOMBRE,10-14,PUNTA ARENAS,4
2019,autismo_F840,HOMBRE,10-14,PUTAENDO,1
2019,autismo_F840,HOMBRE,10-14,QUELLON,1
2019,autismo_F840,HOMBRE,10-14,QUILLOTA,4
2019,autismo_F840,HOMBRE,10-14,QUILPUE,2
2019,autismo_F840,HOMBRE,10-14,RANCAGUA,1
2019,autismo_F840,HOMBRE,10-14,RECOLETA,1
2019,autismo_F840,HOMBRE,10-14,RENCA,1
2019,autismo_F840,HOMBRE,10-14,RENGO,1
2019,autismo_F840,HOMBRE,10-14,REQUINOA,1
2019,autismo_F840,HOMBRE,10-14,SAN ANTONIO,2
2019,autismo_F840,HOMBRE,10-14,SAN BERNARDO,2
2019,autismo_F840,HOMBRE,10-14,SAN FELIPE,2
2019,autismo_F840,HOMBRE,10-14,SAN FERNANDO,2
2019,autismo_F840,HOMBRE,10-14,SAN MIGUEL,1
2019,autismo_F840,HOMBRE,10-14,SAN PEDRO DE LA PAZ,7
2019,autismo_F840,HOMBRE,10-14,SAN RAMON,2
2019,autismo_F840,HOMBRE,10-14,SANTA CRUZ,1
2019,autismo_F840,HOMBRE,10-14,SANTIAGO,4
2019,autismo_F840,HOMBRE,10-14,SANTO DOMINGO,1
2019,autismo_F840,HOMBRE,10-14,TALAGANTE,1
2019,autismo_F840,HOMBRE,10-14,TALCAHUANO,4
2019,autismo_F840,HOMBRE,10-14,TENO,1
2019,autismo_F840,HOMBRE,10-14,TUCAPEL,1
2019,autismo_F840,HOMBRE,10-14,VALDIVIA,2
2019,autismo_F840,HOMBRE,10-14,VALLENAR,1
2019,autismo_F840,HOMBRE,10-14,VALPARAISO,7
2019,autismo_F840,HOMBRE,10-14,VILLA ALEGRE,1
2019,autismo_F840,HOMBRE,10-14,VILLA ALEMANA,1
2019,autismo_F840,HOMBRE,10-14,VILLARRICA,1
2019,autismo_F840,HOMBRE,10-14,VINA DEL MAR,2
2019,autismo_F840,HOMBRE,10-14,YERBAS BUENAS,1
2019,autismo_F840,HOMBRE,10-14,YUMBEL,1
2019,autismo_F840,HOMBRE,15-19,ANTOFAGASTA,2
2019,autismo_F840,HOMBRE,15-19,ARICA,2
2019,autismo_F840,HOMBRE,15-19,BULNES,2
2019,autismo_F840,HOMBRE,15-19,CERRO NAVIA,1
2019,autismo_F840,HOMBRE,15-19,CHAITEN,1
2019,autismo_F840,HOMBRE,15-19,CHIGUAYANTE,1
2019,autismo_F840,HOMBRE,15-19,CHILLAN,2
2019,autismo_F840,HOMBRE,15-19,CHILLAN VIEJO,1
2019,autismo_F840,HOMBRE,15-19,COIHAIQUE,2
2019,autismo_F840,HOMBRE,15-19,COLINA,1
2019,autismo_F840,HOMBRE,15-19,CONCEPCION,3
2019,autismo_F840,HOMBRE,15-19,COQUIMBO,1
2019,autismo_F840,HOMBRE,15-19,CORONEL,2
2019,autismo_F840,HOMBRE,15-19,CURICO,1
2019,autismo_F840,HOMBRE,15-19,ESTACION CENTRAL,1
2019,autismo_F840,HOMBRE,15-19,FREIRINA,1
2019,autismo_F840,HOMBRE,15-19,FUTRONO,1
2019,autismo_F840,HOMBRE,15-19,HUALPEN,1
2019,autismo_F840,HOMBRE,15-19,INDEPENDENCIA,2
2019,autismo_F840,HOMBRE,15-19,IQUIQUE,3
2019,autismo_F840,HOMBRE,15-19,LA CISTERNA,1
2019,autismo_F840,HOMBRE,15-19,LOS ANGELES,1
2019,autismo_F840,HOMBRE,15-19,MACUL,2
2019,autismo_F840,HOMBRE,15-19,MAFIL,1
2019,autismo_F840,HOMBRE,15-19,MAIPU,2
2019,autismo_F840,HOMBRE,15-19,NUNOA,1
2019,autismo_F840,HOMBRE,15-19,OLMUE,1
2019,autismo_F840,HOMBRE,15-19,OSORNO,3
2019,autismo_F840,HOMBRE,15-19,OVALLE,2
2019,autismo_F840,HOMBRE,15-19,PADRE HURTADO,2
2019,autismo_F840,HOMBRE,15-19,PADRE LAS CASAS,2
2019,autismo_F840,HOMBRE,15-19,PARRAL,1
2019,autismo_F840,HOMBRE,15-19,PICA,1
2019,autismo_F840,HOMBRE,15-19,PICHILEMU,1
2019,autismo_F840,HOMBRE,15-19,PITRUFQUEN,1
2019,autismo_F840,HOMBRE,15-19,PROVIDENCIA,1
2019,autismo_F840,HOMBRE,15-19,PUDAHUEL,1
2019,autismo_F840,HOMBRE,15-19,PUENTE ALTO,6
2019,autismo_F840,HOMBRE,15-19,PUERTO MONTT,2
2019,autismo_F840,HOMBRE,15-19,PUNTA ARENAS,7
2019,autismo_F840,HOMBRE,15-19,QUILLOTA,1
2019,autismo_F840,HOMBRE,15-19,RECOLETA,1
2019,autismo_F840,HOMBRE,15-19,RINCONADA,1
2019,autismo_F840,HOMBRE,15-19,SAN BERNARDO,1
2019,autismo_F840,HOMBRE,15-19,SAN JOAQUIN,2
2019,autismo_F840,HOMBRE,15-19,SAN NICOLAS,1
2019,autismo_F840,HOMBRE,15-19,SAN RAMON,1
2019,autismo_F840,HOMBRE,15-19,SANTA JUANA,1
2019,autismo_F840,HOMBRE,15-19,TALCAHUANO,1
2019,autismo_F840,HOMBRE,15-19,TEMUCO,5
2019,autismo_F840,HOMBRE,15-19,TREGUACO,1
2019,autismo_F840,HOMBRE,15-19,VALDIVIA,1
2019,autismo_F840,HOMBRE,15-19,VALPARAISO,3
2019,autismo_F840,HOMBRE,15-19,VICTORIA,1
2019,autismo_F840,HOMBRE,15-19,VILLA ALEMANA,2
2019,autismo_F840,HOMBRE,15-19,VILLARRICA,1
2019,autismo_F840,HOMBRE,20-24,ANTOFAGASTA,2
2019,autismo_F840,HOMBRE,20-24,BULNES,1
2019,autismo_F840,HOMBRE,20-24,CHIGUAYANTE,1
2019,autismo_F840,HOMBRE,20-24,CHILLAN,1
2019,autismo_F840,HOMBRE,20-24,COCHRANE,1
2019,autismo_F840,HOMBRE,20-24,CONCEPCION,1
2019,autismo_F840,HOMBRE,20-24,HUALPEN,2
2019,autismo_F840,HOMBRE,20-24,IQUIQUE,1
2019,autismo_F840,HOMBRE,20-24,LAUTARO,1
2019,autismo_F840,HOMBRE,20-24,MARIQUINA,1
2019,autismo_F840,HOMBRE,20-24,MOSTAZAL,1
2019,autismo_F840,HOMBRE,20-24,PITRUFQUEN,1
2019,autismo_F840,HOMBRE,20-24,PUENTE ALTO,1
2019,autismo_F840,HOMBRE,20-24,PUERTO MONTT,1
2019,autismo_F840,HOMBRE,20-24,PUNTA ARENAS,1
2019,autismo_F840,HOMBRE,20-24,SAN BERNARDO,1
2019,autismo_F840,HOMBRE,20-24,VALDIVIA,1
2019,autismo_F840,HOMBRE,20-24,VALPARAISO,2
2019,autismo_F840,HOMBRE,20-24,VICTORIA,1
2019,autismo_F840,HOMBRE,20-24,VINA DEL MAR,1
2019,autismo_F840,HOMBRE,25-29,ANTOFAGASTA,1
2019,autismo_F840,HOMBRE,25-29,CALAMA,1
2019,autismo_F840,HOMBRE,25-29,CALBUCO,1
2019,autismo_F840,HOMBRE,25-29,CHILLAN,2
2019,autismo_F840,HOMBRE,25-29,CURICO,1
2019,autismo_F840,HOMBRE,25-29,LA FLORIDA,1
2019,autismo_F840,HOMBRE,25-29,LA SERENA,1
2019,autismo_F840,HOMBRE,25-29,LO PRADO,1
2019,autismo_F840,HOMBRE,25-29,LONCOCHE,1
2019,autismo_F840,HOMBRE,25-29,NIQUEN,1
2019,autismo_F840,HOMBRE,25-29,PENAFLOR,1
2019,autismo_F840,HOMBRE,25-29,PENALOLEN,1
2019,autismo_F840,HOMBRE,25-29,PUENTE ALTO,2
2019,autismo_F840,HOMBRE,25-29,PUNTA ARENAS,1
2019,autismo_F840,HOMBRE,25-29,SAN ANTONIO,1
2019,autismo_F840,HOMBRE,25-29,SAN BERNARDO,1
2019,autismo_F840,HOMBRE,25-29,TEMUCO,2
2019,autismo_F840,HOMBRE,25-29,VALPARAISO,1
2019,autismo_F840,HOMBRE,25-29,VILLARRICA,1
2019,autismo_F840,HOMBRE,30-34,CABRERO,1
2019,autismo_F840,HOMBRE,30-34,CERRO NAVIA,1
2019,autismo_F840,HOMBRE,30-34,CORONEL,1
2019,autismo_F840,HOMBRE,30-34,LA GRANJA,1
2019,autismo_F840,HOMBRE,30-34,PICHILEMU,1
2019,autismo_F840,HOMBRE,30-34,PUDAHUEL,1
2019,autismo_F840,HOMBRE,30-34,QUINTA NORMAL,1
2019,autismo_F840,HOMBRE,30-34,RANCAGUA,1
2019,autismo_F840,HOMBRE,30-34,SAN ANTONIO,1
2019,autismo_F840,HOMBRE,30-34,SANTIAGO,1
2019,autismo_F840,HOMBRE,30-34,TALCAHUANO,1
2019,autismo_F840,HOMBRE,30-34,VITACURA,1
2019,autismo_F840,HOMBRE,35-39,FLORIDA,1
2019,autismo_F840,HOMBRE,35-39,INDEPENDENCIA,1
2019,autismo_F840,HOMBRE,35-39,OSORNO,2
2019,autismo_F840,HOMBRE,35-39,QUINTA NORMAL,1
2019,autismo_F840,HOMBRE,35-39,VALPARAISO,1
2019,autismo_F840,HOMBRE,35-39,VINA DEL MAR,1
2019,autismo_F840,HOMBRE,40-44,LA GRANJA,1
2019,autismo_F840,HOMBRE,40-44,LOS ANGELES,1
2019,autismo_F840,HOMBRE,40-44,PUENTE ALTO,1
2019,autismo_F840,HOMBRE,40-44,RENCA,1
2019,autismo_F840,HOMBRE,45-49,LA REINA,1
2019,autismo_F840,HOMBRE,45-49,QUILLOTA,1
2019,autismo_F840,HOMBRE,5-9,ALTO DEL CARMEN,1
2019,autismo_F840,HOMBRE,5-9,ALTO HOSPICIO,3
2019,autismo_F840,HOMBRE,5-9,ANTOFAGASTA,11
2019,autismo_F840,HOMBRE,5-9,ARICA,5
2019,autismo_F840,HOMBRE,5-9,BUIN,2
2019,autismo_F840,HOMBRE,5-9,CALAMA,7
2019,autismo_F840,HOMBRE,5-9,CALBUCO,1
2019,autismo_F840,HOMBRE,5-9,CALERA,2
2019,autismo_F840,HOMBRE,5-9,CANETE,1
2019,autismo_F840,HOMBRE,5-9,CASTRO,1
2019,autismo_F840,HOMBRE,5-9,CERRILLOS,2
2019,autismo_F840,HOMBRE,5-9,CERRO NAVIA,3
2019,autismo_F840,HOMBRE,5-9,CHIGUAYANTE,1
2019,autismo_F840,HOMBRE,5-9,CHILLAN,12
2019,autismo_F840,HOMBRE,5-9,CHIMBARONGO,1
2019,autismo_F840,HOMBRE,5-9,COIHAIQUE,2
2019,autismo_F840,HOMBRE,5-9,COLBUN,1
2019,autismo_F840,HOMBRE,5-9,COLINA,2
2019,autismo_F840,HOMBRE,5-9,CONCEPCION,4
2019,autismo_F840,HOMBRE,5-9,CONCHALI,3
2019,autismo_F840,HOMBRE,5-9,CONTULMO,1
2019,autismo_F840,HOMBRE,5-9,COPIAPO,4
2019,autismo_F840,HOMBRE,5-9,COQUIMBO,4
2019,autismo_F840,HOMBRE,5-9,CORONEL,5
2019,autismo_F840,HOMBRE,5-9,CURACAVI,2
2019,autismo_F840,HOMBRE,5-9,CURANILAHUE,2
2019,autismo_F840,HOMBRE,5-9,DESCONOCIDO,1
2019,autismo_F840,HOMBRE,5-9,DIEGO DE ALMAGRO,1
2019,autismo_F840,HOMBRE,5-9,EL BOSQUE,1
2019,autismo_F840,HOMBRE,5-9,ESTACION CENTRAL,2
2019,autismo_F840,HOMBRE,5-9,GORBEA,1
2019,autismo_F840,HOMBRE,5-9,GRANEROS,1
2019,autismo_F840,HOMBRE,5-9,HUALPEN,6
2019,autismo_F840,HOMBRE,5-9,HUALQUI,2
2019,autismo_F840,HOMBRE,5-9,INDEPENDENCIA,1
2019,autismo_F840,HOMBRE,5-9,IQUIQUE,6
2019,autismo_F840,HOMBRE,5-9,LA CRUZ,1
2019,autismo_F840,HOMBRE,5-9,LA FLORIDA,6
2019,autismo_F840,HOMBRE,5-9,LA GRANJA,3
2019,autismo_F840,HOMBRE,5-9,LA PINTANA,9
2019,autismo_F840,HOMBRE,5-9,LA REINA,1
2019,autismo_F840,HOMBRE,5-9,LA SERENA,10
2019,autismo_F840,HOMBRE,5-9,LA UNION,1
2019,autismo_F840,HOMBRE,5-9,LAMPA,2
2019,autismo_F840,HOMBRE,5-9,LANCO,2
2019,autismo_F840,HOMBRE,5-9,LAS CABRAS,2
2019,autismo_F840,HOMBRE,5-9,LINARES,2
2019,autismo_F840,HOMBRE,5-9,LLAILLAY,1
2019,autismo_F840,HOMBRE,5-9,LLANQUIHUE,1
2019,autismo_F840,HOMBRE,5-9,LO PRADO,3
2019,autismo_F840,HOMBRE,5-9,LOS ALAMOS,1
2019,autismo_F840,HOMBRE,5-9,LOS ANGELES,5
2019,autismo_F840,HOMBRE,5-9,LOS LAGOS,1
2019,autismo_F840,HOMBRE,5-9,MACHALI,1
2019,autismo_F840,HOMBRE,5-9,MAIPU,4
2019,autismo_F840,HOMBRE,5-9,MAULE,1
2019,autismo_F840,HOMBRE,5-9,MELIPILLA,2
2019,autismo_F840,HOMBRE,5-9,MOLINA,1
2019,autismo_F840,HOMBRE,5-9,NATALES,1
2019,autismo_F840,HOMBRE,5-9,NOGALES,1
2019,autismo_F840,HOMBRE,5-9,NUNOA,2
2019,autismo_F840,HOMBRE,5-9,OSORNO,11
2019,autismo_F840,HOMBRE,5-9,OVALLE,2
2019,autismo_F840,HOMBRE,5-9,PADRE LAS CASAS,1
2019,autismo_F840,HOMBRE,5-9,PAILLACO,1
2019,autismo_F840,HOMBRE,5-9,PAINE,3
2019,autismo_F840,HOMBRE,5-9,PALMILLA,1
2019,autismo_F840,HOMBRE,5-9,PEDRO AGUIRRE CERDA,2
2019,autismo_F840,HOMBRE,5-9,PENAFLOR,2
2019,autismo_F840,HOMBRE,5-9,PENALOLEN,6
2019,autismo_F840,HOMBRE,5-9,PENCO,2
2019,autismo_F840,HOMBRE,5-9,POZO ALMONTE,1
2019,autismo_F840,HOMBRE,5-9,PROVIDENCIA,1
2019,autismo_F840,HOMBRE,5-9,PUCHUNCAVI,1
2019,autismo_F840,HOMBRE,5-9,PUCON,1
2019,autismo_F840,HOMBRE,5-9,PUDAHUEL,5
2019,autismo_F840,HOMBRE,5-9,PUENTE ALTO,10
2019,autismo_F840,HOMBRE,5-9,PUERTO MONTT,12
2019,autismo_F840,HOMBRE,5-9,PUERTO OCTAY,1
2019,autismo_F840,HOMBRE,5-9,PUNITAQUI,2
2019,autismo_F840,HOMBRE,5-9,PUNTA ARENAS,6
2019,autismo_F840,HOMBRE,5-9,PURRANQUE,1
2019,autismo_F840,HOMBRE,5-9,PUYEHUE,1
2019,autismo_F840,HOMBRE,5-9,QUELLON,1
2019,autismo_F840,HOMBRE,5-9,QUILICURA,5
2019,autismo_F840,HOMBRE,5-9,QUILLON,2
2019,autismo_F840,HOMBRE,5-9,QUILPUE,3
2019,autismo_F840,HOMBRE,5-9,RANCAGUA,3
2019,autismo_F840,HOMBRE,5-9,RECOLETA,4
2019,autismo_F840,HOMBRE,5-9,RENAICO,1
2019,autismo_F840,HOMBRE,5-9,RENCA,2
2019,autismo_F840,HOMBRE,5-9,REQUINOA,1
2019,autismo_F840,HOMBRE,5-9,ROMERAL,1
2019,autismo_F840,HOMBRE,5-9,SAGRADA FAMILIA,1
2019,autismo_F840,HOMBRE,5-9,SAN ANTONIO,3
