era,definition,year,horizon_days,discharges,eligible,readmitted
2019-2020,autismo_F840,2019,30,1398,1398,125
2019-2020,autismo_F840,2019,90,1398,1398,186
2019-2020,autismo_F840,2020,30,1084,973,116
2019-2020,autismo_F840,2020,90,1084,764,128
2021-2024,autismo_F840,2021,30,1848,1848,169
2021-2024,autismo_F840,2021,90,1848,1848,267
2021-2024,autismo_F840,2022,30,3058,3058,265
2021-2024,autismo_F840,2022,90,3058,3058,402
2021-2024,autismo_F840,2023,30,5324,5324,533
2021-2024,autismo_F840,2023,90,5324,5324,794
2021-2024,autismo_F840,2024,30,7228,6574,642
2021-2024,autismo_F840,2024,90,7228,5194,759
2019-2020,TEA_operacional,2019,30,2320,2320,247
2019-2020,TEA_operacional,2019,90,2320,2320,348
2019-2020,TEA_operacional,2020,30,1598,1448,175
2019-2020,TEA_operacional,2020,90,1598,1161,199
2021-2024,TEA_operacional,2021,30,2355,2355,248
2021-2024,TEA_operacional,2021,90,2355,2355,378
2021-2024,TEA_operacional,2022,30,3848,3848,380
2021-2024,TEA_operacional,2022,90,3848,3848,566
2021-2024,TEA_operacional,2023,30,6404,6404,731
2021-2024,TEA_operacional,2023,90,6404,6404,1080
2021-2024,TEA_operacional,2024,30,8712,7945,825
2021-2024,TEA_operacional,2024,90,8712,6273,993
2019-2020,F84_historico,2019,30,2381,2381,257
2019-2020,F84_historico,2019,90,2381,2381,359
2019-2020,F84_historico,2020,30,1633,1480,178
2019-2020,F84_historico,2020,90,1633,1190,203
2021-2024,F84_historico,2021,30,2399,2399,250
2021-2024,F84_historico,2021,90,2399,2399,382
2021-2024,F84_historico,2022,30,3909,3909,391
2021-2024,F84_historico,2022,90,3909,3909,587
2021-2024,F84_historico,2023,30,6471,6471,737
2021-2024,F84_historico,2023,90,6471,6471,1094
2021-2024,F84_historico,2024,30,8814,8036,844
2021-2024,F84_historico,2024,90,8814,6344,1021
