year,definition,role,sex,age_group,comuna_norm,records,identifiers,records_missing_id
2019,autismo_F840,principal,HOMBRE,0-4,ANTOFAGASTA,4,4,0
2019,autismo_F840,principal,HOMBRE,0-4,CALAMA,3,2,0
2019,autismo_F840,principal,HOMBRE,0-4,CHILLAN,1,1,0
2019,autismo_F840,principal,HOMBRE,0-4,CHIMBARONGO,1,1,0
2019,autismo_F840,principal,HOMBRE,0-4,PUNTA ARENAS,1,1,0
2019,autismo_F840,principal,HOMBRE,0-4,QUEILEN,1,1,0
2019,autismo_F840,principal,HOMBRE,0-4,TALAGANTE,1,1,0
2019,autismo_F840,principal,HOMBRE,0-4,TOCOPILLA,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,ANTOFAGASTA,2,1,0
2019,autismo_F840,principal,HOMBRE,10-14,ARICA,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,CALLE LARGA,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,CASTRO,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,CHILLAN,6,6,0
2019,autismo_F840,principal,HOMBRE,10-14,CONCEPCION,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,COQUIMBO,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,CORRAL,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,EL CARMEN,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,LA FLORIDA,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,LO BARNECHEA,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,MACUL,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,MEJILLONES,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,MELIPILLA,3,2,0
2019,autismo_F840,principal,HOMBRE,10-14,PUDAHUEL,5,3,0
2019,autismo_F840,principal,HOMBRE,10-14,PUERTO MONTT,2,2,0
2019,autismo_F840,principal,HOMBRE,10-14,QUILLOTA,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,QUILPUE,2,1,0
2019,autismo_F840,principal,HOMBRE,10-14,SAN ANTONIO,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,SAN FERNANDO,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,SAN PEDRO DE LA PAZ,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,SANTIAGO,12,2,0
2019,autismo_F840,principal,HOMBRE,10-14,VILLA ALEGRE,1,1,0
2019,autismo_F840,principal,HOMBRE,10-14,VILLA ALEMANA,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,ARICA,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,CERRO NAVIA,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,CHILLAN,2,1,0
2019,autismo_F840,principal,HOMBRE,15-19,CORONEL,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,ESTACION CENTRAL,4,1,0
2019,autismo_F840,principal,HOMBRE,15-19,IQUIQUE,3,2,0
2019,autismo_F840,principal,HOMBRE,15-19,LA CISTERNA,2,1,0
2019,autismo_F840,principal,HOMBRE,15-19,MAFIL,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,MELIPILLA,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,NUNOA,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,OVALLE,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,PICA,1,1,0
2019,autismo_F840,principal,HOMBRE,15-19,PUNTA ARENAS,7,3,0
2019,autismo_F840,principal,HOMBRE,15-19,TEMUCO,2,2,0
2019,autismo_F840,principal,HOMBRE,15-19,VILLA ALEMANA,1,1,0
2019,autismo_F840,principal,HOMBRE,20-24,CHILLAN,1,1,0
2019,autismo_F840,principal,HOMBRE,20-24,COCHRANE,1,1,0
2019,autismo_F840,principal,HOMBRE,20-24,PUENTE ALTO,1,1,0
2019,autismo_F840,principal,HOMBRE,20-24,PUNTA ARENAS,1,1,0
2019,autismo_F840,principal,HOMBRE,25-29,CHILLAN,2,1,0
2019,autismo_F840,principal,HOMBRE,25-29,CURICO,1,1,0
2019,autismo_F840,principal,HOMBRE,25-29,LO PRADO,1,1,0
2019,autismo_F840,principal,HOMBRE,30-34,TALCAHUANO,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,ANTOFAGASTA,4,4,0
2019,autismo_F840,principal,HOMBRE,5-9,ARICA,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,CALAMA,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,LA GRANJA,3,1,0
2019,autismo_F840,principal,HOMBRE,5-9,LA SERENA,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,LOS ANGELES,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,MAIPU,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,OSORNO,3,3,0
2019,autismo_F840,principal,HOMBRE,5-9,PUDAHUEL,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,PUENTE ALTO,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,PUERTO MONTT,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,RENCA,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,SAN BERNARDO,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,SAN CARLOS,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,SAN JOAQUIN,1,1,0
2019,autismo_F840,principal,HOMBRE,5-9,SANTIAGO,2,1,0
2019,autismo_F840,principal,HOMBRE,5-9,TEMUCO,2,2,0
2019,autismo_F840,principal,HOMBRE,55-59,PUDAHUEL,1,1,0
2019,autismo_F840,principal,MUJER,0-4,ANTOFAGASTA,4,4,0
2019,autismo_F840,principal,MUJER,0-4,LLAILLAY,1,1,0
2019,autismo_F840,principal,MUJER,10-14,ANTOFAGASTA,1,1,0
2019,autismo_F840,principal,MUJER,10-14,CHILLAN,1,1,0
2019,autismo_F840,principal,MUJER,10-14,CONCEPCION,1,1,0
2019,autismo_F840,principal,MUJER,10-14,COQUIMBO,2,1,0
2019,autismo_F840,principal,MUJER,10-14,EL MONTE,1,1,0
2019,autismo_F840,principal,MUJER,10-14,LA GRANJA,1,1,0
2019,autismo_F840,principal,MUJER,10-14,LOS ANDES,1,1,0
2019,autismo_F840,principal,MUJER,10-14,LOS ANGELES,1,1,0
2019,autismo_F840,principal,MUJER,10-14,SANTA CRUZ,1,1,0
2019,autismo_F840,principal,MUJER,10-14,VALDIVIA,1,1,0
2019,autismo_F840,principal,MUJER,15-19,ANTOFAGASTA,1,1,0
2019,autismo_F840,principal,MUJER,15-19,PUNTA ARENAS,1,1,0
2019,autismo_F840,principal,MUJER,15-19,TALAGANTE,1,1,0
2019,autismo_F840,principal,MUJER,20-24,PENAFLOR,1,1,0
2019,autismo_F840,principal,MUJER,5-9,ANTOFAGASTA,1,1,0
2019,autismo_F840,principal,MUJER,5-9,MELIPILLA,1,1,0
2019,autismo_F840,principal,MUJER,5-9,PUERTO OCTAY,1,1,0
