year,code,code_position,sex,age_group,records
2019,F840,principal,HOMBRE,0-4,13
2019,F840,principal,HOMBRE,10-14,49
2019,F840,principal,HOMBRE,15-19,29
2019,F840,principal,HOMBRE,20-24,4
2019,F840,principal,HOMBRE,25-29,4
2019,F840,principal,HOMBRE,30-34,1
2019,F840,principal,HOMBRE,5-9,26
2019,F840,principal,HOMBRE,55-59,1
2019,F840,principal,MUJER,0-4,5
2019,F840,principal,MUJER,10-14,11
2019,F840,principal,MUJER,15-19,3
2019,F840,principal,MUJER,20-24,1
2019,F840,principal,MUJER,5-9,3
2019,F840,secundario,HOMBRE,0-4,240
2019,F840,secundario,HOMBRE,10-14,190
2019,F840,secundario,HOMBRE,15-19,86
2019,F840,secundario,HOMBRE,20-24,22
2019,F840,secundario,HOMBRE,25-29,21
2019,F840,secundario,HOMBRE,30-34,14
2019,F840,secundario,HOMBRE,35-39,8
2019,F840,secundario,HOMBRE,40-44,4
2019,F840,secundario,HOMBRE,45-49,2
2019,F840,secundario,HOMBRE,5-9,378
2019,F840,secundario,HOMBRE,50-54,1
2019,F840,secundario,HOMBRE,55-59,1
2019,F840,secundario,HOMBRE,60-64,1
2019,F840,secundario,MUJER,0-4,58
2019,F840,secundario,MUJER,10-14,85
2019,F840,secundario,MUJER,15-19,25
2019,F840,secundario,MUJER,20-24,9
2019,F840,secundario,MUJER,25-29,3
2019,F840,secundario,MUJER,30-34,5
2019,F840,secundario,MUJER,35-39,1
2019,F840,secundario,MUJER,40-44,1
2019,F840,secundario,MUJER,5-9,89
2019,F840,secundario,MUJER,50-54,1
2019,F840,secundario,MUJER,55-59,3
2019,F840,secundario,MUJER,65-69,1
2019,F840,secundario,,10-14,1
2019,F841,principal,HOMBRE,0-4,1
2019,F841,principal,HOMBRE,10-14,2
2019,F841,principal,HOMBRE,15-19,5
2019,F841,principal,HOMBRE,20-24,8
2019,F841,principal,HOMBRE,25-29,1
2019,F841,principal,HOMBRE,30-34,2
2019,F841,principal,HOMBRE,35-39,1
2019,F841,principal,HOMBRE,5-9,2
2019,F841,principal,MUJER,10-14,1
2019,F841,principal,MUJER,15-19,6
2019,F841,secundario,HOMBRE,0-4,4
2019,F841,secundario,HOMBRE,10-14,6
2019,F841,secundario,HOMBRE,15-19,9
2019,F841,secundario,HOMBRE,20-24,8
2019,F841,secundario,HOMBRE,25-29,5
2019,F841,secundario,HOMBRE,30-34,7
2019,F841,secundario,HOMBRE,35-39,1
2019,F841,secundario,HOMBRE,45-49,1
2019,F841,secundario,HOMBRE,5-9,7
2019,F841,secundario,HOMBRE,50-54,1
2019,F841,secundario,HOMBRE,70-74,1
2019,F841,secundario,MUJER,0-4,1
2019,F841,secundario,MUJER,10-14,8
2019,F841,secundario,MUJER,15-19,3
2019,F841,secundario,MUJER,20-24,1
2019,F841,secundario,MUJER,25-29,3
2019,F841,secundario,MUJER,35-39,3
2019,F841,secundario,MUJER,5-9,2
2019,F841,secundario,MUJER,55-59,1
2019,F842,principal,HOMBRE,5-9,1
2019,F842,principal,MUJER,0-4,1
2019,F842,principal,MUJER,10-14,3
2019,F842,principal,MUJER,15-19,3
2019,F842,principal,MUJER,20-24,2
2019,F842,principal,MUJER,5-9,3
2019,F842,secundario,HOMBRE,5-9,1
2019,F842,secundario,MUJER,0-4,6
2019,F842,secundario,MUJER,10-14,19
2019,F842,secundario,MUJER,15-19,3
2019,F842,secundario,MUJER,20-24,4
2019,F842,secundario,MUJER,30-34,1
2019,F842,secundario,MUJER,5-9,7
2019,F842,secundario,MUJER,60-64,1
2019,F843,secundario,HOMBRE,0-4,1
2019,F843,secundario,HOMBRE,10-14,2
2019,F843,secundario,HOMBRE,5-9,1
2019,F843,secundario,MUJER,10-14,1
2019,F844,principal,MUJER,15-19,1
2019,F844,secundario,HOMBRE,0-4,1
2019,F844,secundario,HOMBRE,10-14,2
2019,F844,secundario,HOMBRE,15-19,2
2019,F844,secundario,HOMBRE,35-39,2
2019,F844,secundario,MUJER,20-24,1
2019,F845,principal,HOMBRE,10-14,5
2019,F845,principal,HOMBRE,15-19,3
2019,F845,principal,HOMBRE,20-24,8
2019,F845,principal,HOMBRE,25-29,1
2019,F845,principal,HOMBRE,5-9,1
2019,F845,principal,MUJER,20-24,1
2019,F845,principal,MUJER,25-29,1
2019,F845,principal,MUJER,30-34,1
2019,F845,secundario,HOMBRE,0-4,17
2019,F845,secundario,HOMBRE,10-14,103
2019,F845,secundario,HOMBRE,15-19,43
2019,F845,secundario,HOMBRE,20-24,29
2019,F845,secundario,HOMBRE,25-29,12
2019,F845,secundario,HOMBRE,30-34,6
2019,F845,secundario,HOMBRE,35-39,3
2019,F845,secundario,HOMBRE,40-44,1
2019,F845,secundario,HOMBRE,5-9,107
2019,F845,secundario,HOMBRE,50-54,2
2019,F845,secundario,HOMBRE,65-69,1
2019,F845,secundario,HOMBRE,80+,1
2019,F845,secundario,MUJER,0-4,4
2019,F845,secundario,MUJER,10-14,13
2019,F845,secundario,MUJER,15-19,9
2019,F845,secundario,MUJER,20-24,4
2019,F845,secundario,MUJER,25-29,2
2019,F845,secundario,MUJER,30-34,4
2019,F845,secundario,MUJER,40-44,1
2019,F845,secundario,MUJER,45-49,1
2019,F845,secundario,MUJER,5-9,24
2019,F845,secundario,MUJER,50-54,1
2019,F848,principal,HOMBRE,0-4,3
2019,F848,principal,HOMBRE,10-14,1
2019,F848,principal,HOMBRE,15-19,3
2019,F848,principal,HOMBRE,20-24,1
2019,F848,principal,HOMBRE,25-29,3
2019,F848,principal,HOMBRE,30-34,1
2019,F848,principal,HOMBRE,5-9,1
2019,F848,principal,MUJER,10-14,2
2019,F848,principal,MUJER,20-24,1
2019,F848,secundario,HOMBRE,0-4,66
2019,F848,secundario,HOMBRE,10-14,18
2019,F848,secundario,HOMBRE,15-19,8
2019,F848,secundario,HOMBRE,20-24,1
2019,F848,secundario,HOMBRE,25-29,2
2019,F848,secundario,HOMBRE,30-34,1
2019,F848,secundario,HOMBRE,35-39,1
2019,F848,secundario,HOMBRE,5-9,19
2019,F848,secundario,MUJER,0-4,39
2019,F848,secundario,MUJER,10-14,7
2019,F848,secundario,MUJER,30-34,1
2019,F848,secundario,MUJER,45-49,1
2019,F848,secundario,MUJER,5-9,9
2019,F849,principal,HOMBRE,0-4,1
2019,F849,principal,HOMBRE,10-14,1
2019,F849,principal,HOMBRE,15-19,3
2019,F849,principal,HOMBRE,20-24,1
2019,F849,principal,HOMBRE,25-29,1
2019,F849,principal,HOMBRE,35-39,1
2019,F849,principal,HOMBRE,5-9,1
2019,F849,principal,MUJER,10-14,1
2019,F849,principal,MUJER,15-19,1
2019,F849,secundario,HOMBRE,0-4,87
2019,F849,secundario,HOMBRE,10-14,20
2019,F849,secundario,HOMBRE,15-19,7
2019,F849,secundario,HOMBRE,20-24,2
2019,F849,secundario,HOMBRE,25-29,4
2019,F849,secundario,HOMBRE,5-9,38
2019,F849,secundario,HOMBRE,55-59,1
2019,F849,secundario,HOMBRE,60-64,1
2019,F849,secundario,MUJER,0-4,58
2019,F849,secundario,MUJER,10-14,11
2019,F849,secundario,MUJER,15-19,5
2019,F849,secundario,MUJER,30-34,1
2019,F849,secundario,MUJER,40-44,1
2019,F849,secundario,MUJER,5-9,11
2019,F849,secundario,MUJER,55-59,1
2020,F840,principal,HOMBRE,0-4,4
2020,F840,principal,HOMBRE,10-14,31
2020,F840,principal,HOMBRE,15-19,32
2020,F840,principal,HOMBRE,20-24,3
2020,F840,principal,HOMBRE,25-29,3
2020,F840,principal,HOMBRE,30-34,2
2020,F840,principal,HOMBRE,5-9,17
2020,F840,principal,MUJER,0-4,2
2020,F840,principal,MUJER,10-14,9
2020,F840,principal,MUJER,15-19,5
2020,F840,principal,MUJER,20-24,4
2020,F840,principal,MUJER,5-9,2
2020,F840,secundario,HOMBRE,0-4,160
2020,F840,secundario,HOMBRE,10-14,201
2020,F840,secundario,HOMBRE,15-19,78
2020,F840,secundario,HOMBRE,20-24,23
2020,F840,secundario,HOMBRE,25-29,11
2020,F840,secundario,HOMBRE,30-34,12
2020,F840,secundario,HOMBRE,35-39,3
2020,F840,secundario,HOMBRE,40-44,4
2020,F840,secundario,HOMBRE,45-49,2
2020,F840,secundario,HOMBRE,5-9,245
2020,F840,secundario,HOMBRE,50-54,1
2020,F840,secundario,HOMBRE,65-69,1
2020,F840,secundario,MUJER,0-4,45
2020,F840,secundario,MUJER,10-14,61
2020,F840,secundario,MUJER,15-19,26
2020,F840,secundario,MUJER,20-24,1
2020,F840,secundario,MUJER,25-29,7
2020,F840,secundario,MUJER,30-34,4
2020,F840,secundario,MUJER,35-39,5
2020,F840,secundario,MUJER,40-44,2
2020,F840,secundario,MUJER,5-9,76
2020,F840,secundario,MUJER,60-64,1
2020,F840,secundario,MUJER,70-74,1
2020,F841,principal,HOMBRE,10-14,2
2020,F841,principal,HOMBRE,15-19,1
2020,F841,principal,HOMBRE,20-24,2
2020,F841,principal,HOMBRE,35-39,2
2020,F841,principal,MUJER,10-14,5
2020,F841,principal,MUJER,25-29,1
2020,F841,secundario,HOMBRE,0-4,3
2020,F841,secundario,HOMBRE,10-14,5
2020,F841,secundario,HOMBRE,15-19,7
2020,F841,secundario,HOMBRE,20-24,4
2020,F841,secundario,HOMBRE,25-29,4
2020,F841,secundario,HOMBRE,30-34,5
2020,F841,secundario,HOMBRE,40-44,2
2020,F841,secundario,HOMBRE,5-9,8
2020,F841,secundario,MUJER,0-4,1
2020,F841,secundario,MUJER,10-14,4
2020,F841,secundario,MUJER,15-19,2
2020,F841,secundario,MUJER,20-24,1
2020,F841,secundario,MUJER,30-34,1
2020,F841,secundario,MUJER,35-39,2
2020,F841,secundario,MUJER,5-9,1
2020,F842,principal,MUJER,0-4,3
2020,F842,principal,MUJER,10-14,1
2020,F842,principal,MUJER,15-19,1
2020,F842,principal,MUJER,5-9,1
2020,F842,secundario,HOMBRE,10-14,1
2020,F842,secundario,HOMBRE,5-9,1
2020,F842,secundario,MUJER,0-4,2
2020,F842,secundario,MUJER,10-14,6
2020,F842,secundario,MUJER,15-19,1
2020,F842,secundario,MUJER,20-24,1
2020,F842,secundario,MUJER,30-34,2
2020,F842,secundario,MUJER,5-9,7
2020,F843,secundario,HOMBRE,0-4,2
2020,F843,secundario,HOMBRE,15-19,1
2020,F843,secundario,HOMBRE,5-9,1
2020,F844,secundario,HOMBRE,10-14,1
2020,F844,secundario,HOMBRE,25-29,1
2020,F844,secundario,HOMBRE,5-9,2
2020,F844,secundario,MUJER,0-4,1
2020,F844,secundario,MUJER,10-14,3
2020,F845,principal,HOMBRE,10-14,3
2020,F845,principal,HOMBRE,15-19,2
2020,F845,principal,HOMBRE,20-24,2
2020,F845,principal,HOMBRE,25-29,1
2020,F845,principal,HOMBRE,5-9,3
2020,F845,principal,MUJER,15-19,1
2020,F845,principal,MUJER,20-24,1
2020,F845,principal,MUJER,5-9,1
2020,F845,secundario,HOMBRE,0-4,8
2020,F845,secundario,HOMBRE,10-14,57
2020,F845,secundario,HOMBRE,15-19,38
2020,F845,secundario,HOMBRE,20-24,6
2020,F845,secundario,HOMBRE,25-29,7
2020,F845,secundario,HOMBRE,30-34,5
2020,F845,secundario,HOMBRE,35-39,3
2020,F845,secundario,HOMBRE,5-9,29
2020,F845,secundario,HOMBRE,55-59,1
2020,F845,secundario,MUJER,0-4,1
2020,F845,secundario,MUJER,10-14,18
2020,F845,secundario,MUJER,15-19,8
2020,F845,secundario,MUJER,20-24,3
2020,F845,secundario,MUJER,25-29,6
2020,F845,secundario,MUJER,45-49,1
2020,F845,secundario,MUJER,5-9,8
2020,F845,secundario,MUJER,55-59,1
2020,F848,principal,HOMBRE,0-4,2
2020,F848,principal,HOMBRE,10-14,4
2020,F848,principal,HOMBRE,20-24,1
2020,F848,principal,HOMBRE,30-34,1
2020,F848,principal,MUJER,15-19,1
2020,F848,principal,MUJER,20-24,1
2020,F848,secundario,HOMBRE,0-4,27
2020,F848,secundario,HOMBRE,10-14,5
2020,F848,secundario,HOMBRE,15-19,5
2020,F848,secundario,HOMBRE,25-29,1
2020,F848,secundario,HOMBRE,30-34,1
2020,F848,secundario,HOMBRE,35-39,1
2020,F848,secundario,HOMBRE,40-44,1
2020,F848,secundario,HOMBRE,45-49,1
2020,F848,secundario,HOMBRE,5-9,6
2020,F848,secundario,HOMBRE,70-74,1
2020,F848,secundario,MUJER,0-4,23
2020,F848,secundario,MUJER,10-14,2
2020,F848,secundario,MUJER,15-19,3
2020,F848,secundario,MUJER,25-29,2
2020,F848,secundario,MUJER,5-9,5
2020,F848,secundario,MUJER,75-79,1
2020,F849,principal,HOMBRE,0-4,3
2020,F849,principal,HOMBRE,10-14,1
2020,F849,principal,HOMBRE,20-24,1
2020,F849,principal,HOMBRE,5-9,1
2020,F849,secundario,HOMBRE,0-4,49
2020,F849,secundario,HOMBRE,10-14,17
2020,F849,secundario,HOMBRE,15-19,8
2020,F849,secundario,HOMBRE,20-24,5
2020,F849,secundario,HOMBRE,25-29,3
2020,F849,secundario,HOMBRE,30-34,1
2020,F849,secundario,HOMBRE,35-39,1
2020,F849,secundario,HOMBRE,40-44,2
2020,F849,secundario,HOMBRE,5-9,19
2020,F849,secundario,HOMBRE,55-59,1
2020,F849,secundario,HOMBRE,60-64,1
2020,F849,secundario,HOMBRE,80+,1
2020,F849,secundario,MUJER,0-4,31
2020,F849,secundario,MUJER,10-14,5
2020,F849,secundario,MUJER,15-19,1
2020,F849,secundario,MUJER,20-24,1
2020,F849,secundario,MUJER,35-39,2
2020,F849,secundario,MUJER,5-9,11
2021,F840,principal,HOMBRE,0-4,12
2021,F840,principal,HOMBRE,10-14,24
2021,F840,principal,HOMBRE,15-19,30
2021,F840,principal,HOMBRE,20-24,13
2021,F840,principal,HOMBRE,25-29,7
2021,F840,principal,HOMBRE,30-34,6
2021,F840,principal,HOMBRE,35-39,3
2021,F840,principal,HOMBRE,5-9,17
2021,F840,principal,MUJER,0-4,8
2021,F840,principal,MUJER,10-14,11
2021,F840,principal,MUJER,15-19,2
2021,F840,principal,MUJER,5-9,6
2021,F840,secundario,HOMBRE,0-4,294
2021,F840,secundario,HOMBRE,10-14,324
2021,F840,secundario,HOMBRE,15-19,111
2021,F840,secundario,HOMBRE,20-24,36
2021,F840,secundario,HOMBRE,25-29,36
2021,F840,secundario,HOMBRE,30-34,13
2021,F840,secundario,HOMBRE,35-39,12
2021,F840,secundario,HOMBRE,40-44,2
2021,F840,secundario,HOMBRE,45-49,4
2021,F840,secundario,HOMBRE,5-9,466
2021,F840,secundario,HOMBRE,50-54,5
2021,F840,secundario,HOMBRE,60-64,1
2021,F840,secundario,HOMBRE,65-69,3
2021,F840,secundario,HOMBRE,70-74,2
2021,F840,secundario,HOMBRE,80+,1
2021,F840,secundario,MUJER,0-4,80
2021,F840,secundario,MUJER,10-14,141
2021,F840,secundario,MUJER,15-19,49
2021,F840,secundario,MUJER,20-24,6
2021,F840,secundario,MUJER,25-29,10
2021,F840,secundario,MUJER,30-34,4
2021,F840,secundario,MUJER,35-39,3
2021,F840,secundario,MUJER,40-44,1
2021,F840,secundario,MUJER,45-49,1
2021,F840,secundario,MUJER,5-9,101
2021,F840,secundario,MUJER,50-54,2
2021,F840,secundario,,5-9,1
2021,F841,principal,HOMBRE,0-4,2
2021,F841,principal,HOMBRE,10-14,2
2021,F841,principal,HOMBRE,15-19,2
2021,F841,principal,HOMBRE,25-29,1
2021,F841,principal,HOMBRE,30-34,2
2021,F841,principal,HOMBRE,35-39,2
2021,F841,principal,MUJER,0-4,1
2021,F841,principal,MUJER,10-14,2
2021,F841,principal,MUJER,15-19,1
2021,F841,secundario,HOMBRE,0-4,10
2021,F841,secundario,HOMBRE,10-14,6
2021,F841,secundario,HOMBRE,15-19,5
2021,F841,secundario,HOMBRE,20-24,4
2021,F841,secundario,HOMBRE,25-29,4
2021,F841,secundario,HOMBRE,30-34,2
2021,F841,secundario,HOMBRE,40-44,1
2021,F841,secundario,HOMBRE,5-9,9
2021,F841,secundario,HOMBRE,80+,1
2021,F841,secundario,MUJER,0-4,2
2021,F841,secundario,MUJER,10-14,6
2021,F841,secundario,MUJER,15-19,5
2021,F841,secundario,MUJER,20-24,1
2021,F841,secundario,MUJER,25-29,1
2021,F841,secundario,MUJER,30-34,2
2021,F841,secundario,MUJER,35-39,1
2021,F841,secundario,MUJER,75-79,1
2021,F842,principal,HOMBRE,5-9,1
2021,F842,principal,MUJER,0-4,1
2021,F842,principal,MUJER,20-24,1
2021,F842,secundario,HOMBRE,5-9,1
2021,F842,secundario,MUJER,0-4,4
2021,F842,secundario,MUJER,10-14,13
2021,F842,secundario,MUJER,15-19,3
2021,F842,secundario,MUJER,25-29,1
2021,F842,secundario,MUJER,30-34,1
2021,F842,secundario,MUJER,5-9,9
2021,F842,secundario,MUJER,50-54,1
2021,F843,secundario,HOMBRE,0-4,1
2021,F843,secundario,HOMBRE,20-24,1
2021,F843,secundario,MUJER,0-4,2
2021,F844,secundario,HOMBRE,0-4,1
2021,F844,secundario,HOMBRE,15-19,1
2021,F844,secundario,HOMBRE,5-9,4
2021,F844,secundario,HOMBRE,60-64,1
2021,F844,secundario,MUJER,10-14,2
2021,F844,secundario,MUJER,5-9,1
2021,F845,principal,HOMBRE,10-14,2
2021,F845,principal,HOMBRE,15-19,5
2021,F845,principal,HOMBRE,30-34,1
2021,F845,principal,HOMBRE,5-9,2
2021,F845,principal,MUJER,10-14,1
2021,F845,secundario,HOMBRE,0-4,3
2021,F845,secundario,HOMBRE,10-14,56
2021,F845,secundario,HOMBRE,15-19,35
2021,F845,secundario,HOMBRE,20-24,24
2021,F845,secundario,HOMBRE,25-29,7
2021,F845,secundario,HOMBRE,30-34,2
2021,F845,secundario,HOMBRE,35-39,1
2021,F845,secundario,HOMBRE,45-49,1
2021,F845,secundario,HOMBRE,5-9,37
2021,F845,secundario,HOMBRE,50-54,1
2021,F845,secundario,HOMBRE,55-59,3
2021,F845,secundario,HOMBRE,60-64,1
2021,F845,secundario,HOMBRE,75-79,1
2021,F845,secundario,MUJER,0-4,2
2021,F845,secundario,MUJER,10-14,14
2021,F845,secundario,MUJER,15-19,13
2021,F845,secundario,MUJER,20-24,9
2021,F845,secundario,MUJER,25-29,1
2021,F845,secundario,MUJER,30-34,3
2021,F845,secundario,MUJER,35-39,5
2021,F845,secundario,MUJER,40-44,1
2021,F845,secundario,MUJER,5-9,5
2021,F848,principal,HOMBRE,15-19,2
2021,F848,principal,HOMBRE,20-24,2
2021,F848,principal,HOMBRE,30-34,3
2021,F848,principal,MUJER,25-29,2
2021,F848,secundario,HOMBRE,0-4,11
2021,F848,secundario,HOMBRE,10-14,12
2021,F848,secundario,HOMBRE,15-19,3
2021,F848,secundario,HOMBRE,20-24,1
2021,F848,secundario,HOMBRE,25-29,3
2021,F848,secundario,HOMBRE,30-34,1
2021,F848,secundario,HOMBRE,40-44,1
2021,F848,secundario,HOMBRE,5-9,21
2021,F848,secundario,HOMBRE,55-59,1
2021,F848,secundario,HOMBRE,80+,1
2021,F848,secundario,MUJER,0-4,7
2021,F848,secundario,MUJER,10-14,5
2021,F848,secundario,MUJER,15-19,2
2021,F848,secundario,MUJER,20-24,1
2021,F848,secundario,MUJER,30-34,1
2021,F848,secundario,MUJER,35-39,1
2021,F848,secundario,MUJER,5-9,3
2021,F849,principal,HOMBRE,0-4,2
2021,F849,principal,HOMBRE,15-19,2
2021,F849,principal,HOMBRE,20-24,2
2021,F849,principal,HOMBRE,25-29,1
2021,F849,principal,HOMBRE,30-34,1
2021,F849,principal,HOMBRE,5-9,2
2021,F849,principal,MUJER,10-14,1
2021,F849,principal,MUJER,20-24,1
2021,F849,secundario,HOMBRE,0-4,29
2021,F849,secundario,HOMBRE,10-14,24
2021,F849,secundario,HOMBRE,15-19,6
2021,F849,secundario,HOMBRE,20-24,5
2021,F849,secundario,HOMBRE,25-29,4
2021,F849,secundario,HOMBRE,30-34,1
2021,F849,secundario,HOMBRE,35-39,1
2021,F849,secundario,HOMBRE,45-49,1
2021,F849,secundario,HOMBRE,5-9,16
2021,F849,secundario,MUJER,0-4,13
2021,F849,secundario,MUJER,10-14,9
2021,F849,secundario,MUJER,15-19,4
2021,F849,secundario,MUJER,25-29,1
2021,F849,secundario,MUJER,5-9,6
2021,F849,secundario,MUJER,70-74,1
2022,F840,principal,HOMBRE,0-4,21
2022,F840,principal,HOMBRE,10-14,55
2022,F840,principal,HOMBRE,15-19,31
2022,F840,principal,HOMBRE,20-24,16
2022,F840,principal,HOMBRE,25-29,4
2022,F840,principal,HOMBRE,30-34,3
2022,F840,principal,HOMBRE,35-39,2
2022,F840,principal,HOMBRE,45-49,1
2022,F840,principal,HOMBRE,5-9,22
2022,F840,principal,MUJER,0-4,3
2022,F840,principal,MUJER,10-14,31
2022,F840,principal,MUJER,15-19,7
2022,F840,principal,MUJER,25-29,1
2022,F840,principal,MUJER,30-34,1
2022,F840,principal,MUJER,5-9,4
2022,F840,secundario,HOMBRE,0-4,567
2022,F840,secundario,HOMBRE,10-14,460
2022,F840,secundario,HOMBRE,15-19,198
2022,F840,secundario,HOMBRE,20-24,46
2022,F840,secundario,HOMBRE,25-29,37
2022,F840,secundario,HOMBRE,30-34,22
2022,F840,secundario,HOMBRE,35-39,15
2022,F840,secundario,HOMBRE,40-44,9
2022,F840,secundario,HOMBRE,45-49,4
2022,F840,secundario,HOMBRE,5-9,785
2022,F840,secundario,HOMBRE,50-54,1
2022,F840,secundario,HOMBRE,60-64,2
2022,F840,secundario,HOMBRE,75-79,1
2022,F840,secundario,MUJER,0-4,190
2022,F840,secundario,MUJER,10-14,206
2022,F840,secundario,MUJER,15-19,105
2022,F840,secundario,MUJER,20-24,23
2022,F840,secundario,MUJER,25-29,12
2022,F840,secundario,MUJER,30-34,6
2022,F840,secundario,MUJER,35-39,5
2022,F840,secundario,MUJER,40-44,1
2022,F840,secundario,MUJER,45-49,4
2022,F840,secundario,MUJER,5-9,155
2022,F840,secundario,MUJER,55-59,2
2022,F840,secundario,MUJER,65-69,2
2022,F840,secundario,MUJER,75-79,1
2022,F841,principal,HOMBRE,0-4,2
2022,F841,principal,HOMBRE,10-14,1
2022,F841,principal,HOMBRE,15-19,3
2022,F841,principal,HOMBRE,20-24,1
2022,F841,principal,HOMBRE,30-34,4
2022,F841,principal,HOMBRE,35-39,3
2022,F841,principal,HOMBRE,45-49,1
2022,F841,principal,MUJER,10-14,1
2022,F841,principal,MUJER,15-19,2
2022,F841,principal,MUJER,20-24,1
2022,F841,principal,MUJER,45-49,1
2022,F841,secundario,HOMBRE,0-4,10
2022,F841,secundario,HOMBRE,10-14,12
2022,F841,secundario,HOMBRE,15-19,10
2022,F841,secundario,HOMBRE,20-24,4
2022,F841,secundario,HOMBRE,25-29,8
2022,F841,secundario,HOMBRE,30-34,5
2022,F841,secundario,HOMBRE,35-39,3
2022,F841,secundario,HOMBRE,40-44,1
2022,F841,secundario,HOMBRE,45-49,1
2022,F841,secundario,HOMBRE,5-9,10
2022,F841,secundario,HOMBRE,50-54,2
2022,F841,secundario,MUJER,0-4,3
2022,F841,secundario,MUJER,10-14,5
2022,F841,secundario,MUJER,15-19,6
2022,F841,secundario,MUJER,20-24,1
2022,F841,secundario,MUJER,25-29,2
2022,F841,secundario,MUJER,30-34,2
2022,F841,secundario,MUJER,35-39,2
2022,F841,secundario,MUJER,5-9,3
2022,F841,secundario,MUJER,55-59,1
2022,F842,principal,MUJER,0-4,1
2022,F842,principal,MUJER,10-14,4
2022,F842,principal,MUJER,15-19,2
2022,F842,principal,MUJER,5-9,2
2022,F842,secundario,HOMBRE,5-9,1
2022,F842,secundario,MUJER,0-4,10
2022,F842,secundario,MUJER,10-14,13
2022,F842,secundario,MUJER,15-19,10
2022,F842,secundario,MUJER,20-24,1
2022,F842,secundario,MUJER,30-34,2
2022,F842,secundario,MUJER,40-44,1
2022,F842,secundario,MUJER,5-9,10
2022,F843,secundario,HOMBRE,0-4,1
2022,F843,secundario,HOMBRE,10-14,1
2022,F843,secundario,HOMBRE,5-9,1
2022,F843,secundario,MUJER,15-19,1
2022,F843,secundario,MUJER,5-9,1
2022,F844,principal,MUJER,25-29,1
2022,F844,secundario,HOMBRE,15-19,1
2022,F844,secundario,HOMBRE,5-9,5
2022,F845,principal,HOMBRE,10-14,4
2022,F845,principal,HOMBRE,15-19,5
2022,F845,principal,HOMBRE,20-24,4
2022,F845,principal,HOMBRE,30-34,2
2022,F845,principal,HOMBRE,45-49,1
2022,F845,principal,MUJER,10-14,2
2022,F845,principal,MUJER,15-19,4
2022,F845,secundario,HOMBRE,0-4,3
2022,F845,secundario,HOMBRE,10-14,52
2022,F845,secundario,HOMBRE,15-19,41
2022,F845,secundario,HOMBRE,20-24,16
2022,F845,secundario,HOMBRE,25-29,8
2022,F845,secundario,HOMBRE,30-34,5
2022,F845,secundario,HOMBRE,35-39,1
2022,F845,secundario,HOMBRE,40-44,2
2022,F845,secundario,HOMBRE,45-49,1
2022,F845,secundario,HOMBRE,5-9,26
2022,F845,secundario,HOMBRE,50-54,1
2022,F845,secundario,HOMBRE,70-74,2
2022,F845,secundario,MUJER,0-4,1
2022,F845,secundario,MUJER,10-14,8
2022,F845,secundario,MUJER,15-19,10
2022,F845,secundario,MUJER,20-24,1
2022,F845,secundario,MUJER,25-29,3
2022,F845,secundario,MUJER,35-39,1
2022,F845,secundario,MUJER,45-49,1
2022,F845,secundario,MUJER,5-9,3
2022,F845,secundario,MUJER,60-64,1
2022,F845,secundario,MUJER,75-79,1
