era,definition,code,patients
2019-2020,autismo_F840,F840,155
2019-2020,autismo_F840,K029,101
2019-2020,autismo_F840,G409,89
2019-2020,autismo_F840,N47,63
2019-2020,autismo_F840,K358,56
2019-2020,autismo_F840,J353,46
2019-2020,autismo_F840,Z518,32
2019-2020,autismo_F840,K028,26
2019-2020,autismo_F840,R568,23
2019-2020,autismo_F840,K353,22
2019-2020,autismo_F840,A099,22
2019-2020,autismo_F840,K122,21
2019-2020,autismo_F840,K010,18
2019-2020,autismo_F840,K590,18
2019-2020,autismo_F840,J159,16
2019-2020,autismo_F840,J46,15
2019-2020,autismo_F840,K021,15
2019-2020,autismo_F840,G403,15
2019-2020,autismo_F840,F919,13
2019-2020,autismo_F840,N10,13
2019-2020,autismo_F840,K352,13
2019-2020,autismo_F840,J189,13
2019-2020,autismo_F840,S4240,13
2019-2020,autismo_F840,N390,12
2019-2020,autismo_F840,DESCONOCIDO,11
2019-2020,autismo_F840,E101,11
2019-2020,autismo_F840,R458,11
2019-2020,autismo_F840,T435,11
2019-2020,autismo_F840,Q531,11
2019-2020,autismo_F840,J209,10
2019-2020,autismo_F840,R560,10
2019-2020,autismo_F840,G401,10
2019-2020,autismo_F840,F29,9
2019-2020,autismo_F840,J351,9
2019-2020,autismo_F840,J129,9
2019-2020,autismo_F840,K564,8
2019-2020,autismo_F840,F841,8
2019-2020,autismo_F840,Z038,8
2019-2020,autismo_F840,L031,8
2019-2020,autismo_F840,L600,8
2019-2020,autismo_F840,Z138,8
2019-2020,autismo_F840,Z134,8
2019-2020,autismo_F840,A090,7
2019-2020,autismo_F840,J121,7
2019-2020,autismo_F840,G419,7
2019-2020,autismo_F840,R451,7
2019-2020,autismo_F840,F432,7
2019-2020,autismo_F840,A080,7
2019-2020,autismo_F840,F239,7
2019-2020,autismo_F840,T391,6
2019-2020,autismo_F840,Z016,6
2019-2020,autismo_F840,N44,6
2019-2020,autismo_F840,K429,6
2019-2020,autismo_F840,G408,6
2019-2020,autismo_F840,F918,6
2019-2020,autismo_F840,C910,5
2019-2020,autismo_F840,E86,5
2019-2020,autismo_F840,T434,5
2019-2020,autismo_F840,K529,5
2019-2020,autismo_F840,T432,5
2019-2020,autismo_F840,F238,5
2019-2020,autismo_F840,F323,5
2019-2020,autismo_F840,J100,5
2019-2020,autismo_F840,T212,5
2019-2020,autismo_F840,F322,5
2019-2020,autismo_F840,N179,5
2019-2020,autismo_F840,Q532,5
2019-2020,autismo_F840,G410,4
2019-2020,autismo_F840,S5250,4
2019-2020,autismo_F840,K047,4
2019-2020,autismo_F840,F431,4
2019-2020,autismo_F840,T433,4
2019-2020,autismo_F840,F845,4
2019-2020,autismo_F840,T393,4
2019-2020,autismo_F840,F209,4
2019-2020,autismo_F840,J9600,4
2019-2020,autismo_F840,G404,4
2019-2020,autismo_F840,G400,4
2019-2020,autismo_F840,T181,4
2019-2020,autismo_F840,R11,4
2019-2020,autismo_F840,J960,4
2019-2020,autismo_F840,S5240,4
2019-2020,autismo_F840,T751,4
2019-2020,autismo_F840,A499,4
2019-2020,autismo_F840,M4145,4
2019-2020,autismo_F840,T850,4
2019-2020,autismo_F840,Z470,4
2019-2020,autismo_F840,D619,4
2019-2020,autismo_F840,D690,4
2019-2020,autismo_F840,K802,4
2019-2020,autismo_F840,E109,4
2019-2020,autismo_F840,K859,4
2019-2020,autismo_F840,S009,3
2019-2020,autismo_F840,L040,3
2019-2020,autismo_F840,Q381,3
2019-2020,autismo_F840,J352,3
2019-2020,autismo_F840,S8280,3
2019-2020,autismo_F840,T16,3
2019-2020,autismo_F840,J350,3
2019-2020,autismo_F840,C629,3
2019-2020,autismo_F840,S0210,3
2019-2020,autismo_F840,U072,3
2019-2020,autismo_F840,J205,3
2019-2020,autismo_F840,U071,3
2019-2020,autismo_F840,Z133,3
2019-2020,autismo_F840,K36,3
2019-2020,autismo_F840,M2157,3
2019-2020,autismo_F840,S0690,3
2019-2020,autismo_F840,H652,3
2019-2020,autismo_F840,H509,3
2019-2020,autismo_F840,A084,3
2019-2020,autismo_F840,H919,3
2019-2020,autismo_F840,G938,3
2019-2020,autismo_F840,I880,3
2019-2020,autismo_F840,J069,3
2019-2020,autismo_F840,M7953,3
2019-2020,autismo_F840,A38,3
2019-2020,autismo_F840,J101,3
2019-2020,autismo_F840,A419,3
2019-2020,autismo_F840,G473,3
2019-2020,autismo_F840,S0620,3
2019-2020,autismo_F840,G418,3
2019-2020,autismo_F840,K001,3
2019-2020,autismo_F840,J690,3
2019-2020,autismo_F840,K800,3
2019-2020,autismo_F840,Q665,3
2019-2020,autismo_F840,T424,3
2019-2020,autismo_F840,D70,3
2019-2020,autismo_F840,Q539,3
2019-2020,autismo_F840,T232,3
2019-2020,autismo_F840,S5230,3
2019-2020,autismo_F840,D649,3
2019-2020,autismo_F840,K851,3
2019-2020,autismo_F840,F329,3
2019-2020,autismo_F840,F09,3
2019-2020,autismo_F840,K439,3
2019-2020,autismo_F840,F609,3
2019-2020,autismo_F840,D480,3
2019-2020,autismo_F840,R55,3
2019-2020,autismo_F840,K210,2
2019-2020,autismo_F840,M9115,2
2019-2020,autismo_F840,Q668,2
2019-2020,autismo_F840,R100,2
2019-2020,autismo_F840,J068,2
2019-2020,autismo_F840,K259,2
2019-2020,autismo_F840,R104,2
2019-2020,autismo_F840,K858,2
2019-2020,autismo_F840,J00,2
2019-2020,autismo_F840,S099,2
2019-2020,autismo_F840,K566,2
2019-2020,autismo_F840,I608,2
2019-2020,autismo_F840,S398,2
2019-2020,autismo_F840,I471,2
2019-2020,autismo_F840,K291,2
2019-2020,autismo_F840,H918,2
2019-2020,autismo_F840,N319,2
2019-2020,autismo_F840,S519,2
2019-2020,autismo_F840,H669,2
2019-2020,autismo_F840,K519,2
2019-2020,autismo_F840,N049,2
2019-2020,autismo_F840,K650,2
2019-2020,autismo_F840,N921,2
2019-2020,autismo_F840,S0280,2
2019-2020,autismo_F840,K801,2
2019-2020,autismo_F840,K900,2
2019-2020,autismo_F840,K918,2
2019-2020,autismo_F840,K922,2
2019-2020,autismo_F840,Q431,2
2019-2020,autismo_F840,L021,2
2019-2020,autismo_F840,L022,2
2019-2020,autismo_F840,K403,2
2019-2020,autismo_F840,L030,2
2019-2020,autismo_F840,K036,2
2019-2020,autismo_F840,K044,2
2019-2020,autismo_F840,R51,2
2019-2020,autismo_F840,K769,2
2019-2020,autismo_F840,Q549,2
2019-2020,autismo_F840,S017,2
2019-2020,autismo_F840,K051,2
2019-2020,autismo_F840,K053,2
2019-2020,autismo_F840,S0220,2
2019-2020,autismo_F840,L519,2
2019-2020,autismo_F840,J188,2
2019-2020,autismo_F840,Q204,2
2019-2020,autismo_F840,M303,2
2019-2020,autismo_F840,R268,2
2019-2020,autismo_F840,R13,2
2019-2020,autismo_F840,N488,2
2019-2020,autismo_F840,A020,2
2019-2020,autismo_F840,S5200,2
2019-2020,autismo_F840,F231,2
2019-2020,autismo_F840,F842,2
2019-2020,autismo_F840,S8220,2
2019-2020,autismo_F840,G402,2
2019-2020,autismo_F840,S8230,2
2019-2020,autismo_F840,G259,2
2019-2020,autismo_F840,Z137,2
2019-2020,autismo_F840,C920,2
2019-2020,autismo_F840,Z033,2
2019-2020,autismo_F840,T182,2
2019-2020,autismo_F840,D164,2
2019-2020,autismo_F840,D180,2
2019-2020,autismo_F840,D225,2
2019-2020,autismo_F840,F913,2
2019-2020,autismo_F840,T202,2
2019-2020,autismo_F840,F900,2
2019-2020,autismo_F840,F809,2
2019-2020,autismo_F840,Z308,2
2019-2020,autismo_F840,D227,2
2019-2020,autismo_F840,F711,2
2019-2020,autismo_F840,F638,2
2019-2020,autismo_F840,F603,2
2019-2020,autismo_F840,T887,2
2019-2020,autismo_F840,T378,2
2019-2020,autismo_F840,F319,2
2019-2020,autismo_F840,T407,2
2019-2020,autismo_F840,F28,2
2019-2020,autismo_F840,S5260,2
2019-2020,autismo_F840,E111,2
2019-2020,autismo_F840,E669,2
2019-2020,autismo_F840,T509,2
2019-2020,autismo_F840,E162,2
2019-2020,autismo_F840,S8210,2
2019-2020,autismo_F840,F988,2
2019-2020,autismo_F840,S6261,2
2019-2020,autismo_F840,G934,2
2019-2020,autismo_F840,H269,2
2019-2020,autismo_F840,H500,2
2019-2020,autismo_F840,S7200,2
2019-2020,autismo_F840,Z478,2
2019-2020,autismo_F840,Z511,2
2019-2020,autismo_F840,H050,2
2019-2020,autismo_F840,B179,2
2019-2020,autismo_F840,A281,2
2019-2020,autismo_F840,Z514,2
2019-2020,autismo_F840,G930,2
2019-2020,autismo_F840,Q641,1
2019-2020,autismo_F840,T742,1
2019-2020,autismo_F840,Q181,1
2019-2020,autismo_F840,Q542,1
2019-2020,autismo_F840,T71,1
2019-2020,autismo_F840,T781,1
2019-2020,autismo_F840,T784,1
2019-2020,autismo_F840,T814,1
2019-2020,autismo_F840,T818,1
2019-2020,autismo_F840,T824,1
2019-2020,autismo_F840,T827,1
2019-2020,autismo_F840,T780,1
2019-2020,autismo_F840,N392,1
2019-2020,autismo_F840,T658,1
2019-2020,autismo_F840,Z763,1
2019-2020,autismo_F840,N185,1
2019-2020,autismo_F840,T511,1
2019-2020,autismo_F840,Q870,1
2019-2020,autismo_F840,Q851,1
2019-2020,autismo_F840,Q759,1
2019-2020,autismo_F840,N258,1
2019-2020,autismo_F840,Q750,1
2019-2020,autismo_F840,T634,1
2019-2020,autismo_F840,T58,1
2019-2020,autismo_F840,T600,1
2019-2020,autismo_F840,Q742,1
2019-2020,autismo_F840,Q692,1
2019-2020,autismo_F840,Z540,1
2019-2020,autismo_F840,Q680,1
2019-2020,autismo_F840,T846,1
2019-2020,autismo_F840,N480,1
2019-2020,autismo_F840,Z465,1
2019-2020,autismo_F840,P398,1
2019-2020,autismo_F840,P285,1
2019-2020,autismo_F840,Z139,1
2019-2020,autismo_F840,Q315,1
2019-2020,autismo_F840,Q282,1
2019-2020,autismo_F840,Q279,1
2019-2020,autismo_F840,Q250,1
