era,definition,index_role,patients
2019-2020,autismo_F840,principal,173
2019-2020,autismo_F840,solo_secundario,1783
2019-2020,TEA_operacional,principal,239
2019-2020,TEA_operacional,principal_y_secundario,6
2019-2020,TEA_operacional,solo_secundario,2784
2019-2020,F84_historico,principal,249
2019-2020,F84_historico,principal_y_secundario,9
2019-2020,F84_historico,solo_secundario,2837
2021-2024,autismo_F840,principal,526
2021-2024,autismo_F840,solo_secundario,12499
2021-2024,TEA_operacional,mixto_mismo_dia,1
2021-2024,TEA_operacional,principal,678
2021-2024,TEA_operacional,principal_y_secundario,15
2021-2024,TEA_operacional,solo_secundario,14799
2021-2024,F84_historico,mixto_mismo_dia,1
2021-2024,F84_historico,principal,690
2021-2024,F84_historico,principal_y_secundario,16
2021-2024,F84_historico,solo_secundario,14921
