era,definition,index_role,code,patients
2019-2020,autismo_F840,principal,F840,173
2019-2020,autismo_F840,solo_secundario,K029,99
2019-2020,autismo_F840,solo_secundario,G409,85
2019-2020,autismo_F840,solo_secundario,N47,63
2019-2020,autismo_F840,solo_secundario,K358,57
2019-2020,autismo_F840,solo_secundario,J353,43
2019-2020,autismo_F840,solo_secundario,Z518,31
2019-2020,autismo_F840,solo_secundario,K028,27
2019-2020,autismo_F840,solo_secundario,R568,23
2019-2020,autismo_F840,solo_secundario,K353,22
2019-2020,autismo_F840,solo_secundario,K122,21
2019-2020,autismo_F840,solo_secundario,A099,20
2019-2020,autismo_F840,solo_secundario,K590,17
2019-2020,autismo_F840,solo_secundario,K010,17
2019-2020,autismo_F840,solo_secundario,J46,17
2019-2020,autismo_F840,solo_secundario,J159,15
2019-2020,autismo_F840,solo_secundario,K021,15
2019-2020,autismo_F840,solo_secundario,K352,14
2019-2020,autismo_F840,solo_secundario,N10,14
2019-2020,autismo_F840,solo_secundario,F919,13
2019-2020,autismo_F840,solo_secundario,E101,12
2019-2020,autismo_F840,solo_secundario,DESCONOCIDO,12
2019-2020,autismo_F840,solo_secundario,Q531,12
2019-2020,autismo_F840,solo_secundario,N390,12
2019-2020,autismo_F840,solo_secundario,T435,12
2019-2020,autismo_F840,solo_secundario,J209,11
2019-2020,autismo_F840,solo_secundario,G408,11
2019-2020,autismo_F840,solo_secundario,J189,11
2019-2020,autismo_F840,solo_secundario,G403,11
2019-2020,autismo_F840,solo_secundario,G401,11
2019-2020,autismo_F840,solo_secundario,F29,9
2019-2020,autismo_F840,solo_secundario,Z038,9
2019-2020,autismo_F840,solo_secundario,R560,9
2019-2020,autismo_F840,solo_secundario,A090,9
2019-2020,autismo_F840,solo_secundario,R458,9
2019-2020,autismo_F840,solo_secundario,Z134,9
2019-2020,autismo_F840,solo_secundario,S4240,8
2019-2020,autismo_F840,solo_secundario,J129,8
2019-2020,autismo_F840,solo_secundario,L031,8
2019-2020,autismo_F840,solo_secundario,Z470,8
2019-2020,autismo_F840,solo_secundario,K564,8
2019-2020,autismo_F840,solo_secundario,Z138,8
2019-2020,autismo_F840,solo_secundario,L600,7
2019-2020,autismo_F840,solo_secundario,G419,7
2019-2020,autismo_F840,solo_secundario,J351,7
2019-2020,autismo_F840,solo_secundario,F239,7
2019-2020,autismo_F840,solo_secundario,A080,7
2019-2020,autismo_F840,solo_secundario,G410,6
2019-2020,autismo_F840,solo_secundario,J121,6
2019-2020,autismo_F840,solo_secundario,D70,6
2019-2020,autismo_F840,solo_secundario,T432,6
2019-2020,autismo_F840,solo_secundario,F238,6
2019-2020,autismo_F840,solo_secundario,N44,6
2019-2020,autismo_F840,solo_secundario,Z016,6
2019-2020,autismo_F840,solo_secundario,Z511,6
2019-2020,autismo_F840,solo_secundario,R451,6
2019-2020,autismo_F840,solo_secundario,F322,5
2019-2020,autismo_F840,solo_secundario,K429,5
2019-2020,autismo_F840,solo_secundario,Q532,5
2019-2020,autismo_F840,solo_secundario,T391,5
2019-2020,autismo_F840,solo_secundario,F918,5
2019-2020,autismo_F840,solo_secundario,T212,5
2019-2020,autismo_F840,solo_secundario,K802,5
2019-2020,autismo_F840,solo_secundario,K529,5
2019-2020,autismo_F840,solo_secundario,E86,5
2019-2020,autismo_F840,solo_secundario,F432,5
2019-2020,autismo_F840,solo_secundario,G404,5
2019-2020,autismo_F840,solo_secundario,T434,5
2019-2020,autismo_F840,solo_secundario,C910,5
2019-2020,autismo_F840,solo_secundario,S5250,5
2019-2020,autismo_F840,solo_secundario,K859,5
2019-2020,autismo_F840,solo_secundario,T424,4
2019-2020,autismo_F840,solo_secundario,T433,4
2019-2020,autismo_F840,solo_secundario,F323,4
2019-2020,autismo_F840,solo_secundario,M4145,4
2019-2020,autismo_F840,solo_secundario,J205,4
2019-2020,autismo_F840,solo_secundario,T181,4
2019-2020,autismo_F840,solo_secundario,T393,4
2019-2020,autismo_F840,solo_secundario,J960,4
2019-2020,autismo_F840,solo_secundario,G400,4
2019-2020,autismo_F840,solo_secundario,R104,4
2019-2020,autismo_F840,solo_secundario,R11,4
2019-2020,autismo_F840,solo_secundario,K047,4
2019-2020,autismo_F840,solo_secundario,H509,4
2019-2020,autismo_F840,solo_secundario,F209,4
2019-2020,autismo_F840,solo_secundario,J100,4
2019-2020,autismo_F840,solo_secundario,J9600,4
2019-2020,autismo_F840,solo_secundario,N179,4
2019-2020,autismo_F840,solo_secundario,A499,4
2019-2020,autismo_F840,solo_secundario,D690,4
2019-2020,autismo_F840,solo_secundario,T850,4
2019-2020,autismo_F840,solo_secundario,U071,4
2019-2020,autismo_F840,solo_secundario,E109,3
2019-2020,autismo_F840,solo_secundario,K851,3
2019-2020,autismo_F840,solo_secundario,H652,3
2019-2020,autismo_F840,solo_secundario,S5230,3
2019-2020,autismo_F840,solo_secundario,K800,3
2019-2020,autismo_F840,solo_secundario,S5240,3
2019-2020,autismo_F840,solo_secundario,D593,3
2019-2020,autismo_F840,solo_secundario,T202,3
2019-2020,autismo_F840,solo_secundario,J350,3
2019-2020,autismo_F840,solo_secundario,J352,3
2019-2020,autismo_F840,solo_secundario,U072,3
2019-2020,autismo_F840,solo_secundario,S0210,3
2019-2020,autismo_F840,solo_secundario,K439,3
2019-2020,autismo_F840,solo_secundario,T232,3
2019-2020,autismo_F840,solo_secundario,T16,3
2019-2020,autismo_F840,solo_secundario,K36,3
2019-2020,autismo_F840,solo_secundario,J690,3
2019-2020,autismo_F840,solo_secundario,S009,3
2019-2020,autismo_F840,solo_secundario,R13,3
2019-2020,autismo_F840,solo_secundario,R268,3
2019-2020,autismo_F840,solo_secundario,G938,3
2019-2020,autismo_F840,solo_secundario,R509,3
2019-2020,autismo_F840,solo_secundario,G418,3
2019-2020,autismo_F840,solo_secundario,D619,3
2019-2020,autismo_F840,solo_secundario,S8280,3
2019-2020,autismo_F840,solo_secundario,G473,3
2019-2020,autismo_F840,solo_secundario,A38,3
2019-2020,autismo_F840,solo_secundario,T751,3
2019-2020,autismo_F840,solo_secundario,S5200,3
2019-2020,autismo_F840,solo_secundario,A084,3
2019-2020,autismo_F840,solo_secundario,F09,3
2019-2020,autismo_F840,solo_secundario,I880,3
2019-2020,autismo_F840,solo_secundario,N319,3
2019-2020,autismo_F840,solo_secundario,M7953,3
2019-2020,autismo_F840,solo_secundario,F319,3
2019-2020,autismo_F840,solo_secundario,N921,3
2019-2020,autismo_F840,solo_secundario,J068,3
2019-2020,autismo_F840,solo_secundario,J069,3
2019-2020,autismo_F840,solo_secundario,F329,3
2019-2020,autismo_F840,solo_secundario,K900,3
2019-2020,autismo_F840,solo_secundario,H919,3
2019-2020,autismo_F840,solo_secundario,J101,3
2019-2020,autismo_F840,solo_secundario,M2157,3
2019-2020,autismo_F840,solo_secundario,E46,3
2019-2020,autismo_F840,solo_secundario,F609,3
2019-2020,autismo_F840,solo_secundario,L040,3
2019-2020,autismo_F840,solo_secundario,F603,3
2019-2020,autismo_F840,solo_secundario,S0620,3
2019-2020,autismo_F840,solo_secundario,R55,3
2019-2020,autismo_F840,solo_secundario,Q381,3
2019-2020,autismo_F840,solo_secundario,F449,3
2019-2020,autismo_F840,solo_secundario,D225,2
2019-2020,autismo_F840,solo_secundario,K036,2
2019-2020,autismo_F840,solo_secundario,D164,2
2019-2020,autismo_F840,solo_secundario,S0250,2
2019-2020,autismo_F840,solo_secundario,J188,2
2019-2020,autismo_F840,solo_secundario,D180,2
2019-2020,autismo_F840,solo_secundario,J00,2
2019-2020,autismo_F840,solo_secundario,S0280,2
2019-2020,autismo_F840,solo_secundario,S0690,2
2019-2020,autismo_F840,solo_secundario,K001,2
2019-2020,autismo_F840,solo_secundario,S017,2
2019-2020,autismo_F840,solo_secundario,Z033,2
2019-2020,autismo_F840,solo_secundario,J123,2
2019-2020,autismo_F840,solo_secundario,J13,2
2019-2020,autismo_F840,solo_secundario,D227,2
2019-2020,autismo_F840,solo_secundario,J208,2
2019-2020,autismo_F840,solo_secundario,J955,2
2019-2020,autismo_F840,solo_secundario,S015,2
2019-2020,autismo_F840,solo_secundario,T846,2
2019-2020,autismo_F840,solo_secundario,T450,2
2019-2020,autismo_F840,solo_secundario,K051,2
2019-2020,autismo_F840,solo_secundario,L519,2
2019-2020,autismo_F840,solo_secundario,A419,2
2019-2020,autismo_F840,solo_secundario,A281,2
2019-2020,autismo_F840,solo_secundario,Q431,2
2019-2020,autismo_F840,solo_secundario,K922,2
2019-2020,autismo_F840,solo_secundario,L021,2
2019-2020,autismo_F840,solo_secundario,L022,2
2019-2020,autismo_F840,solo_secundario,L030,2
2019-2020,autismo_F840,solo_secundario,Q282,2
2019-2020,autismo_F840,solo_secundario,K801,2
2019-2020,autismo_F840,solo_secundario,M303,2
2019-2020,autismo_F840,solo_secundario,Q204,2
2019-2020,autismo_F840,solo_secundario,A083,2
2019-2020,autismo_F840,solo_secundario,Q070,2
2019-2020,autismo_F840,solo_secundario,N488,2
2019-2020,autismo_F840,solo_secundario,M9115,2
2019-2020,autismo_F840,solo_secundario,N049,2
2019-2020,autismo_F840,solo_secundario,Q539,2
2019-2020,autismo_F840,solo_secundario,K769,2
2019-2020,autismo_F840,solo_secundario,R51,2
2019-2020,autismo_F840,solo_secundario,K291,2
2019-2020,autismo_F840,solo_secundario,K053,2
2019-2020,autismo_F840,solo_secundario,Z133,2
2019-2020,autismo_F840,solo_secundario,C629,2
2019-2020,autismo_F840,solo_secundario,Z137,2
2019-2020,autismo_F840,solo_secundario,K210,2
2019-2020,autismo_F840,solo_secundario,I608,2
2019-2020,autismo_F840,solo_secundario,K259,2
2019-2020,autismo_F840,solo_secundario,Z308,2
2019-2020,autismo_F840,solo_secundario,Q549,2
2019-2020,autismo_F840,solo_secundario,K403,2
2019-2020,autismo_F840,solo_secundario,K519,2
2019-2020,autismo_F840,solo_secundario,A020,2
2019-2020,autismo_F840,solo_secundario,K566,2
2019-2020,autismo_F840,solo_secundario,K650,2
2019-2020,autismo_F840,solo_secundario,Q668,2
2019-2020,autismo_F840,solo_secundario,Q665,2
2019-2020,autismo_F840,solo_secundario,S099,2
2019-2020,autismo_F840,solo_secundario,T887,2
2019-2020,autismo_F840,solo_secundario,S519,2
2019-2020,autismo_F840,solo_secundario,E669,2
2019-2020,autismo_F840,solo_secundario,S5260,2
2019-2020,autismo_F840,solo_secundario,F431,2
2019-2020,autismo_F840,solo_secundario,T407,2
2019-2020,autismo_F840,solo_secundario,H269,2
2019-2020,autismo_F840,solo_secundario,S6261,2
2019-2020,autismo_F840,solo_secundario,G930,2
2019-2020,autismo_F840,solo_secundario,T378,2
2019-2020,autismo_F840,solo_secundario,S7200,2
2019-2020,autismo_F840,solo_secundario,S8210,2
2019-2020,autismo_F840,solo_secundario,S8220,2
2019-2020,autismo_F840,solo_secundario,F809,2
2019-2020,autismo_F840,solo_secundario,F842,2
2019-2020,autismo_F840,solo_secundario,F900,2
2019-2020,autismo_F840,solo_secundario,F911,2
2019-2020,autismo_F840,solo_secundario,T222,2
2019-2020,autismo_F840,solo_secundario,T71,2
