era,definition,code,patients
2019-2020,autismo_F840,G409,13
2019-2020,autismo_F840,F841,7
2019-2020,autismo_F840,J353,6
2019-2020,autismo_F840,S4240,6
2019-2020,autismo_F840,Z518,6
2019-2020,autismo_F840,J159,4
2019-2020,autismo_F840,R458,4
2019-2020,autismo_F840,G403,4
2019-2020,autismo_F840,C910,4
2019-2020,autismo_F840,F845,4
2019-2020,autismo_F840,Z511,4
2019-2020,autismo_F840,K029,4
2019-2020,autismo_F840,T850,3
2019-2020,autismo_F840,A099,3
2019-2020,autismo_F840,F432,2
2019-2020,autismo_F840,F431,2
2019-2020,autismo_F840,J189,2
2019-2020,autismo_F840,K010,2
2019-2020,autismo_F840,J351,2
2019-2020,autismo_F840,T391,2
2019-2020,autismo_F840,G401,2
2019-2020,autismo_F840,Q665,2
2019-2020,autismo_F840,F919,2
2019-2020,autismo_F840,N47,2
2019-2020,autismo_F840,N390,2
2019-2020,autismo_F840,J129,2
2019-2020,autismo_F840,J121,2
2019-2020,autismo_F840,K851,2
2019-2020,autismo_F840,D70,2
2019-2020,autismo_F840,D649,2
2019-2020,autismo_F840,D480,2
2019-2020,autismo_F840,Q282,1
2019-2020,autismo_F840,Q375,1
2019-2020,autismo_F840,Q539,1
2019-2020,autismo_F840,Q641,1
2019-2020,autismo_F840,Q643,1
2019-2020,autismo_F840,Z513,1
2019-2020,autismo_F840,Z480,1
2019-2020,autismo_F840,P351,1
2019-2020,autismo_F840,Q234,1
2019-2020,autismo_F840,Q230,1
2019-2020,autismo_F840,Q211,1
2019-2020,autismo_F840,P398,1
2019-2020,autismo_F840,N938,1
2019-2020,autismo_F840,N832,1
2019-2020,autismo_F840,N831,1
2019-2020,autismo_F840,N44,1
2019-2020,autismo_F840,N359,1
2019-2020,autismo_F840,N311,1
2019-2020,autismo_F840,N179,1
2019-2020,autismo_F840,N131,1
2019-2020,autismo_F840,N10,1
2019-2020,autismo_F840,M8793,1
2019-2020,autismo_F840,M359,1
2019-2020,autismo_F840,Q647,1
2019-2020,autismo_F840,R620,1
2019-2020,autismo_F840,Q668,1
2019-2020,autismo_F840,T824,1
2019-2020,autismo_F840,T424,1
2019-2020,autismo_F840,T439,1
2019-2020,autismo_F840,T634,1
2019-2020,autismo_F840,T781,1
2019-2020,autismo_F840,T810,1
2019-2020,autismo_F840,T814,1
2019-2020,autismo_F840,T827,1
2019-2020,autismo_F840,Q680,1
2019-2020,autismo_F840,Z031,1
2019-2020,autismo_F840,Z048,1
2019-2020,autismo_F840,Z098,1
2019-2020,autismo_F840,Z133,1
2019-2020,autismo_F840,Z139,1
2019-2020,autismo_F840,Z452,1
2019-2020,autismo_F840,T251,1
2019-2020,autismo_F840,T243,1
2019-2020,autismo_F840,T182,1
2019-2020,autismo_F840,S7240,1
2019-2020,autismo_F840,S611,1
2019-2020,autismo_F840,S5240,1
2019-2020,autismo_F840,S519,1
2019-2020,autismo_F840,S099,1
2019-2020,autismo_F840,S0690,1
2019-2020,autismo_F840,S0220,1
2019-2020,autismo_F840,M2117,1
2019-2020,autismo_F840,S011,1
2019-2020,autismo_F840,Z478,1
2019-2020,autismo_F840,R560,1
2019-2020,autismo_F840,R451,1
2019-2020,autismo_F840,Q870,1
2019-2020,autismo_F840,Q828,1
2019-2020,autismo_F840,M2389,1
2019-2020,autismo_F840,A047,1
2019-2020,autismo_F840,M2106,1
2019-2020,autismo_F840,F718,1
2019-2020,autismo_F840,F319,1
2019-2020,autismo_F840,F322,1
2019-2020,autismo_F840,F412,1
2019-2020,autismo_F840,F429,1
2019-2020,autismo_F840,F600,1
2019-2020,autismo_F840,F711,1
2019-2020,autismo_F840,F913,1
2019-2020,autismo_F840,L600,1
2019-2020,autismo_F840,F918,1
2019-2020,autismo_F840,F920,1
2019-2020,autismo_F840,G048,1
2019-2020,autismo_F840,G060,1
2019-2020,autismo_F840,G402,1
2019-2020,autismo_F840,G408,1
2019-2020,autismo_F840,F316,1
2019-2020,autismo_F840,F313,1
2019-2020,autismo_F840,F29,1
2019-2020,autismo_F840,F28,1
2019-2020,autismo_F840,F239,1
2019-2020,autismo_F840,F231,1
2019-2020,autismo_F840,F209,1
2019-2020,autismo_F840,F141,1
2019-2020,autismo_F840,F061,1
2019-2020,autismo_F840,E109,1
2019-2020,autismo_F840,E108,1
2019-2020,autismo_F840,D410,1
2019-2020,autismo_F840,C73,1
2019-2020,autismo_F840,C629,1
2019-2020,autismo_F840,B179,1
2019-2020,autismo_F840,A492,1
2019-2020,autismo_F840,A083,1
2019-2020,autismo_F840,G419,1
2019-2020,autismo_F840,G808,1
2019-2020,autismo_F840,H024,1
2019-2020,autismo_F840,K001,1
2019-2020,autismo_F840,L059,1
2019-2020,autismo_F840,K859,1
2019-2020,autismo_F840,K800,1
2019-2020,autismo_F840,K590,1
2019-2020,autismo_F840,K564,1
2019-2020,autismo_F840,K429,1
2019-2020,autismo_F840,K358,1
2019-2020,autismo_F840,K353,1
2019-2020,autismo_F840,A080,1
2019-2020,autismo_F840,K222,1
2019-2020,autismo_F840,K221,1
2019-2020,autismo_F840,K122,1
2019-2020,autismo_F840,K044,1
2019-2020,autismo_F840,K021,1
2019-2020,autismo_F840,J960,1
2019-2020,autismo_F840,H050,1
2019-2020,autismo_F840,J690,1
2019-2020,autismo_F840,J46,1
2019-2020,autismo_F840,J219,1
2019-2020,autismo_F840,J14,1
2019-2020,autismo_F840,J050,1
2019-2020,autismo_F840,J039,1
2019-2020,autismo_F840,J00,1
2019-2020,autismo_F840,I880,1
2019-2020,autismo_F840,I615,1
2019-2020,autismo_F840,I471,1
2019-2020,autismo_F840,I270,1
2019-2020,autismo_F840,H669,1
2019-2020,autismo_F840,H471,1
2019-2020,autismo_F840,H169,1
2019-2020,autismo_F840,K295,1
2019-2020,TEA_operacional,G409,30
2019-2020,TEA_operacional,Z518,10
2019-2020,TEA_operacional,J189,10
2019-2020,TEA_operacional,J129,9
2019-2020,TEA_operacional,J353,7
2019-2020,TEA_operacional,G404,6
2019-2020,TEA_operacional,A099,6
2019-2020,TEA_operacional,G403,5
2019-2020,TEA_operacional,S4240,5
2019-2020,TEA_operacional,Z511,5
2019-2020,TEA_operacional,T850,5
2019-2020,TEA_operacional,C910,5
2019-2020,TEA_operacional,J690,4
2019-2020,TEA_operacional,J121,4
2019-2020,TEA_operacional,J159,4
2019-2020,TEA_operacional,G408,3
2019-2020,TEA_operacional,K029,3
2019-2020,TEA_operacional,K353,3
2019-2020,TEA_operacional,F609,3
2019-2020,TEA_operacional,A080,3
2019-2020,TEA_operacional,F432,3
2019-2020,TEA_operacional,T391,3
2019-2020,TEA_operacional,R458,3
2019-2020,TEA_operacional,K590,3
2019-2020,TEA_operacional,Q234,3
2019-2020,TEA_operacional,D70,3
2019-2020,TEA_operacional,Z540,3
2019-2020,TEA_operacional,J209,3
2019-2020,TEA_operacional,N390,3
2019-2020,TEA_operacional,J040,2
2019-2020,TEA_operacional,G410,2
2019-2020,TEA_operacional,D480,2
2019-2020,TEA_operacional,S5250,2
2019-2020,TEA_operacional,G401,2
2019-2020,TEA_operacional,N47,2
2019-2020,TEA_operacional,C629,2
2019-2020,TEA_operacional,A419,2
2019-2020,TEA_operacional,Q668,2
2019-2020,TEA_operacional,Q828,2
2019-2020,TEA_operacional,Q211,2
2019-2020,TEA_operacional,K010,2
2019-2020,TEA_operacional,R560,2
2019-2020,TEA_operacional,G934,2
2019-2020,TEA_operacional,J981,2
2019-2020,TEA_operacional,J9609,2
2019-2020,TEA_operacional,K918,2
2019-2020,TEA_operacional,J352,2
2019-2020,TEA_operacional,P590,2
2019-2020,TEA_operacional,T432,2
2019-2020,TEA_operacional,P220,2
2019-2020,TEA_operacional,K859,2
2019-2020,TEA_operacional,F29,2
2019-2020,TEA_operacional,T751,2
2019-2020,TEA_operacional,Q531,2
2019-2020,TEA_operacional,F322,2
2019-2020,TEA_operacional,J069,2
2019-2020,TEA_operacional,F913,2
2019-2020,TEA_operacional,F412,2
2019-2020,TEA_operacional,J351,2
2019-2020,TEA_operacional,J208,2
2019-2020,TEA_operacional,Z033,2
2019-2020,TEA_operacional,Z048,2
2019-2020,TEA_operacional,K358,2
2019-2020,TEA_operacional,J120,2
2019-2020,TEA_operacional,F329,2
2019-2020,TEA_operacional,Q311,1
2019-2020,TEA_operacional,Q641,1
2019-2020,TEA_operacional,Q539,1
2019-2020,TEA_operacional,Q375,1
2019-2020,TEA_operacional,Q419,1
2019-2020,TEA_operacional,Q282,1
2019-2020,TEA_operacional,A047,1
2019-2020,TEA_operacional,Q230,1
2019-2020,TEA_operacional,Q218,1
2019-2020,TEA_operacional,N311,1
2019-2020,TEA_operacional,N359,1
2019-2020,TEA_operacional,N44,1
2019-2020,TEA_operacional,N801,1
2019-2020,TEA_operacional,N831,1
2019-2020,TEA_operacional,O821,1
2019-2020,TEA_operacional,O991,1
2019-2020,TEA_operacional,O993,1
2019-2020,TEA_operacional,P210,1
2019-2020,TEA_operacional,P219,1
2019-2020,TEA_operacional,P290,1
2019-2020,TEA_operacional,P351,1
2019-2020,TEA_operacional,P398,1
2019-2020,TEA_operacional,P598,1
2019-2020,TEA_operacional,Q643,1
2019-2020,TEA_operacional,P916,1
2019-2020,TEA_operacional,Q019,1
2019-2020,TEA_operacional,Q044,1
2019-2020,TEA_operacional,Q079,1
2019-2020,TEA_operacional,Q204,1
2019-2020,TEA_operacional,Q213,1
2019-2020,TEA_operacional,P599,1
2019-2020,TEA_operacional,R230,1
2019-2020,TEA_operacional,Q647,1
2019-2020,TEA_operacional,Q651,1
2019-2020,TEA_operacional,T16,1
2019-2020,TEA_operacional,T182,1
2019-2020,TEA_operacional,T231,1
2019-2020,TEA_operacional,T242,1
2019-2020,TEA_operacional,T243,1
2019-2020,TEA_operacional,T251,1
2019-2020,TEA_operacional,T421,1
2019-2020,TEA_operacional,T439,1
2019-2020,TEA_operacional,T634,1
2019-2020,TEA_operacional,T781,1
2019-2020,TEA_operacional,T810,1
2019-2020,TEA_operacional,T814,1
2019-2020,TEA_operacional,T824,1
2019-2020,TEA_operacional,T827,1
2019-2020,TEA_operacional,T858,1
2019-2020,TEA_operacional,Z018,1
2019-2020,TEA_operacional,Z031,1
2019-2020,TEA_operacional,Z098,1
2019-2020,TEA_operacional,Z133,1
2019-2020,TEA_operacional,Z139,1
2019-2020,TEA_operacional,Z430,1
2019-2020,TEA_operacional,Z452,1
2019-2020,TEA_operacional,Z478,1
2019-2020,TEA_operacional,Z480,1
2019-2020,TEA_operacional,Z513,1
2019-2020,TEA_operacional,S830,1
2019-2020,TEA_operacional,S611,1
2019-2020,TEA_operacional,S5280,1
2019-2020,TEA_operacional,M8793,1
2019-2020,TEA_operacional,Q665,1
2019-2020,TEA_operacional,Q673,1
2019-2020,TEA_operacional,Q680,1
2019-2020,TEA_operacional,Q728,1
2019-2020,TEA_operacional,Q750,1
2019-2020,TEA_operacional,Q753,1
2019-2020,TEA_operacional,Q774,1
2019-2020,TEA_operacional,Q870,1
2019-2020,TEA_operacional,Q909,1
2019-2020,TEA_operacional,R13,1
2019-2020,TEA_operacional,R223,1
2019-2020,TEA_operacional,R568,1
2019-2020,TEA_operacional,S5240,1
2019-2020,TEA_operacional,R620,1
2019-2020,TEA_operacional,S009,1
2019-2020,TEA_operacional,S011,1
2019-2020,TEA_operacional,S0220,1
2019-2020,TEA_operacional,S059,1
2019-2020,TEA_operacional,S0680,1
2019-2020,TEA_operacional,S0690,1
2019-2020,TEA_operacional,S099,1
2019-2020,TEA_operacional,S219,1
2019-2020,TEA_operacional,S519,1
2019-2020,TEA_operacional,S5200,1
2019-2020,TEA_operacional,N10,1
2019-2020,TEA_operacional,K429,1
2019-2020,TEA_operacional,M8618,1
2019-2020,TEA_operacional,G439,1
2019-2020,TEA_operacional,F600,1
2019-2020,TEA_operacional,F719,1
2019-2020,TEA_operacional,F89,1
2019-2020,TEA_operacional,F918,1
2019-2020,TEA_operacional,F919,1
